"","S51","S52","S59","S60","S61","S62","S69","S70"
"ASV_73",0,28,6,2,4,0,0,7
"ASV_44",5,0,8,6,8,3,10,0
"ASV_549",0,0,1,0,1,1,3,0
"ASV_112",0,7,0,28,0,0,0,1
"ASV_54",25,0,6,20,16,13,13,7
"ASV_1",219,387,236,213,284,290,256,249
"ASV_27",0,0,2,8,0,2,0,2
"ASV_36",6,0,0,7,3,6,5,9
"ASV_2",132,68,108,45,83,110,97,104
"ASV_30",4,12,49,22,24,11,30,43
"ASV_5",75,112,47,72,58,51,42,84
"ASV_4",85,116,102,86,61,44,46,69
"ASV_9",27,0,54,9,43,41,44,33
"ASV_29",16,0,9,14,12,12,50,27
"ASV_16",14,0,36,16,22,21,43,53
"ASV_18",38,41,29,22,28,19,22,38
"ASV_11",34,104,33,28,71,45,9,27
"ASV_14",19,0,19,51,22,30,30,24
"ASV_39",17,52,14,32,21,7,2,6
"ASV_50",16,0,0,17,27,35,0,8
"ASV_49",9,0,15,5,1,19,26,19
"ASV_117",0,0,1,1,14,4,4,0
"ASV_38",12,19,21,38,9,0,10,5
"ASV_40",5,0,6,2,10,4,4,2
"ASV_87",9,0,2,0,3,2,0,0
"ASV_21",15,0,13,0,38,24,25,0
"ASV_23",21,0,17,0,22,22,36,0
"ASV_64",1,0,9,0,6,2,5,0
"ASV_77",1,0,2,0,12,0,3,0
"ASV_72",10,0,8,0,20,16,16,0
"ASV_10",11,0,31,0,23,49,32,0
"ASV_169",0,0,2,0,3,11,2,0
"ASV_188",0,0,1,0,2,5,1,0
"ASV_88",2,0,4,0,10,5,2,0
"ASV_217",2,0,2,0,2,3,0,0
"ASV_6",0,0,0,64,39,35,74,16
