"","S29","S30","S31","S32","S41","S42","S43","S44"
"ASV_44",12,12,15,6,2,11,12,4
"ASV_54",3,3,0,7,2,2,4,3
"ASV_1",262,192,353,225,160,436,239,163
"ASV_47",2,6,1,3,10,1,3,9
"ASV_62",1,3,1,8,7,2,5,0
"ASV_27",44,10,6,20,40,3,6,10
"ASV_69",31,6,7,0,3,0,0,3
"ASV_17",12,8,13,27,43,19,22,40
"ASV_8",27,24,14,27,15,7,7,27
"ASV_12",16,37,9,6,47,48,13,8
"ASV_57",0,5,3,4,7,2,10,2
"ASV_85",0,0,1,2,1,0,1,0
"ASV_3",29,21,12,34,34,1,20,25
"ASV_33",7,18,0,6,9,1,13,12
"ASV_20",12,14,7,7,51,0,28,17
"ASV_35",9,11,9,33,25,0,1,8
"ASV_7",25,7,33,18,63,17,25,45
"ASV_13",36,15,44,12,13,55,41,85
"ASV_76",23,0,47,12,4,8,0,9
"ASV_99",7,5,4,0,4,0,4,0
"ASV_32",16,22,5,0,18,1,4,0
"ASV_43",0,3,0,0,7,3,0,44
"ASV_26",7,11,3,34,29,21,25,0
"ASV_66",4,9,1,13,2,0,3,3
"ASV_113",2,0,1,0,0,0,7,0
"ASV_71",8,7,0,3,2,7,0,0
"ASV_28",26,11,0,13,9,21,0,8
"ASV_36",33,0,39,4,0,11,0,20
"ASV_2",121,70,86,114,92,239,57,53
"ASV_63",103,4,36,1,4,0,0,2
"ASV_30",2,0,4,2,0,0,4,4
"ASV_5",7,20,29,3,0,0,14,7
"ASV_4",16,40,26,17,0,0,43,71
"ASV_9",13,16,23,32,7,0,12,19
"ASV_29",5,16,4,0,0,0,8,4
"ASV_16",0,24,14,10,6,0,15,7
"ASV_18",14,11,18,16,0,22,6,15
"ASV_11",7,13,28,10,0,0,26,13
"ASV_14",3,15,37,16,1,0,11,26
"ASV_40",10,5,4,3,7,17,6,7
"ASV_87",21,1,3,3,2,0,0,0
"ASV_21",21,16,36,11,3,0,51,26
"ASV_23",20,17,32,14,20,0,43,17
"ASV_64",9,4,17,6,14,0,18,3
"ASV_186",0,3,2,0,1,0,2,1
"ASV_183",0,2,3,1,0,0,0,1
"ASV_10",24,29,45,27,39,0,24,14
"ASV_52",10,5,24,16,7,0,10,1
"ASV_170",2,0,0,0,1,0,5,0
"ASV_88",20,0,0,0,1,0,1,0
"ASV_177",0,0,3,0,6,0,6,7
"ASV_124",0,39,3,3,0,0,1,3
"ASV_46",0,26,14,8,2,0,18,20
"ASV_67",0,5,0,6,6,0,15,6
"ASV_102",0,9,4,6,9,0,2,2
"ASV_42",0,34,11,33,11,0,33,14
"ASV_198",0,3,0,36,4,0,0,2
"ASV_139",0,13,1,2,8,0,2,0
"ASV_140",0,1,1,2,2,0,1,0
"ASV_100",0,8,1,6,6,0,2,4
"ASV_131",0,0,7,1,3,0,1,2
