"","OTU","contrast","estimate","SE","df","z.ratio","p.value","a","b","p.adjust"
"1","ASV_44","1a - Rainout",0.305798488400439,0.761332647719216,Inf,0.401662124061727,0.687932702891296,"1a","Rainout",0.977588577792894
"2","ASV_54","1a - Rainout",1.66708660208117,0.442807405970629,Inf,3.76481192410713,0.000166674487547246,"1a","Rainout",0.00900042232755129
"3","ASV_1","1a - Rainout",0.127931400832185,0.122786206365253,Inf,1.04190368461769,0.297456335670308,"1a","Rainout",0.923883032468958
"4","ASV_47","1a - Rainout",-0.565238877636247,0.506711793146153,Inf,-1.11550369516111,0.264634635860275,"1a","Rainout",0.923883032468958
"5","ASV_81","1a - Rainout",-23.9986881471246,30296.6064618608,Inf,-0.000792124628787569,0.999367976054554,"1a","Rainout",0.999367976054554
"6","ASV_27","1a - Rainout",0.957495709508685,0.598135127702179,Inf,1.60080166698626,0.109420854283677,"1a","Rainout",0.844103733045506
"7","ASV_103","1a - Rainout",0.913314797673328,0.677003147131774,Inf,1.34905546826883,0.177319150359446,"1a","Rainout",0.923883032468958
"8","ASV_58","1a - Rainout",0.779251389216947,1.28704009463726,Inf,0.605460072661196,0.544873346477774,"1a","Rainout",0.935824823824903
"9","ASV_17","1a - Rainout",-1.02740418331472,0.935067681688181,Inf,-1.09874846862404,0.271877794943756,"1a","Rainout",0.923883032468958
"10","ASV_8","1a - Rainout",0.109970793091209,0.453518174862936,Inf,0.242483761812731,0.808405337672425,"1a","Rainout",0.999367976054554
"11","ASV_12","1a - Rainout",-0.293740396564743,0.417116468720467,Inf,-0.704216732237428,0.481297812451565,"1a","Rainout",0.923883032468958
"12","ASV_57","1a - Rainout",0.646150425150283,0.941721955778718,Inf,0.686137156710948,0.492626621954985,"1a","Rainout",0.923883032468958
"13","ASV_3","1a - Rainout",-0.366355652974637,0.707691436980767,Inf,-0.517677103085527,0.604683576210586,"1a","Rainout",0.935824823824903
"14","ASV_33","1a - Rainout",-0.0951896369064277,0.689051586772403,Inf,-0.138145878674058,0.890125127413539,"1a","Rainout",0.999367976054554
"15","ASV_20","1a - Rainout",0.313568358810446,1.10590905009488,Inf,0.283539011443611,0.776763681256662,"1a","Rainout",0.999367976054554
"16","ASV_65","1a - Rainout",23.9327552240598,21875.0136792848,Inf,0.00109406812607956,0.999127060107884,"1a","Rainout",0.999367976054554
"17","ASV_35","1a - Rainout",0.620792798168632,0.33479138400568,Inf,1.85426754637778,0.0637008927009561,"1a","Rainout",0.687969641170326
"18","ASV_7","1a - Rainout",0.262004029601316,0.265033581445981,Inf,0.988569177429758,0.322873972802442,"1a","Rainout",0.923883032468958
"19","ASV_51","1a - Rainout",-24.0318602143726,27079.6258275893,Inf,-0.000887451708800511,0.999291916076034,"1a","Rainout",0.999367976054554
"20","ASV_13","1a - Rainout",-0.934032142871625,0.947627007793212,Inf,-0.985653780643877,0.324303037298253,"1a","Rainout",0.923883032468958
"21","ASV_32","1a - Rainout",0.18460445214275,0.427494209876674,Inf,0.431829128623767,0.665865607139406,"1a","Rainout",0.971803859068322
