"","OTU","contrast","estimate","SE","df","z.ratio","p.value","a","b","p.adjust"
"1","ASV_1","1a - Rainout",-0.44750962559848,0.605320984275145,Inf,-0.739293097751039,0.459729039636509,"1a","Rainout",0.881821414637286
"2","ASV_47","1a - Rainout",0.285483268798125,0.460239249957046,Inf,0.620293181915209,0.535064782914552,"1a","Rainout",0.881821414637286
"3","ASV_81","1a - Rainout",-2.56798954075812,2.13587513416945,Inf,-1.20231257889366,0.229242445159268,"1a","Rainout",0.700463026875541
"4","ASV_62","1a - Rainout",0.0280531541623137,1.245651395267,Inf,0.02252087082221,0.982032463712618,"1a","Rainout",0.999979779099299
"5","ASV_27","1a - Rainout",0.89794512316532,1.22812480466484,Inf,0.731151361616195,0.46468670509628,"1a","Rainout",0.881821414637286
"6","ASV_144","1a - Rainout",1.2709700884051,0.964843123790035,Inf,1.31728159435138,0.187744252387821,"1a","Rainout",0.700463026875541
"7","ASV_103","1a - Rainout",0.658856626463921,0.746517341962971,Inf,0.882573772139645,0.377466604581093,"1a","Rainout",0.881821414637286
"8","ASV_69","1a - Rainout",1.96892556117717,1.35479490478908,Inf,1.45330156927605,0.146140041797624,"1a","Rainout",0.669808524905777
"9","ASV_90","1a - Rainout",3.00428411476556,1.28133579529841,Inf,2.34465011107092,0.01904494243161,"1a","Rainout",0.34915727791285
"10","ASV_58","1a - Rainout",-0.20559480866112,0.815099894296144,Inf,-0.252232652831658,0.800861240506441,"1a","Rainout",0.999979779099299
"11","ASV_17","1a - Rainout",0.755010543907929,1.09324058116272,Inf,0.690617012318489,0.489806253546855,"1a","Rainout",0.881821414637286
"12","ASV_8","1a - Rainout",0.562930801244595,0.290012358852989,Inf,1.94105797239473,0.0522512460206959,"1a","Rainout",0.574763706227654
"13","ASV_12","1a - Rainout",1.22067000098019,0.283189544138303,Inf,4.31043457022567,1.62934033903405e-05,"1a","Rainout",0.000896137186468726
"14","ASV_57","1a - Rainout",1.00349057920683,0.626258634553813,Inf,1.60235807354862,0.109076450512538,"1a","Rainout",0.58259787235139
"15","ASV_85","1a - Rainout",0.0606677750094469,0.488680873370234,Inf,0.124145998575811,0.901199678242133,"1a","Rainout",0.999979779099299
"16","ASV_3","1a - Rainout",0.43248543517684,0.275547209474964,Inf,1.56955113427173,0.116519574470278,"1a","Rainout",0.58259787235139
"17","ASV_33","1a - Rainout",-0.286170540598097,0.404990404128541,Inf,-0.706610669489514,0.479808456649279,"1a","Rainout",0.881821414637286
"18","ASV_53","1a - Rainout",0.789731965790474,1.35126906135471,Inf,0.58443724375568,0.558926175588516,"1a","Rainout",0.881821414637286
"19","ASV_56","1a - Rainout",1.05709260551744,0.872129885178733,Inf,1.21208162165065,0.225481138059659,"1a","Rainout",0.700463026875541
"20","ASV_153","1a - Rainout",23.4966261905784,37342.5157210315,Inf,0.000629219155080786,0.999497955783928,"1a","Rainout",0.999979779099299
"21","ASV_133","1a - Rainout",15.7042794204179,940.96229322641,Inf,0.0166895948259207,0.986684248132515,"1a","Rainout",0.999979779099299
"22","ASV_20","1a - Rainout",0.632089232009987,0.360402617829946,Inf,1.75384195546614,0.0794575917677326,"1a","Rainout",0.58259787235139
"23","ASV_35","1a - Rainout",-0.0414939049111895,0.839766947375126,Inf,-0.0494112146719845,0.960591591063916,"1a","Rainout",0.999979779099299
"24","ASV_60","1a - Rainout",2.57547996001607,2.33131095537499,Inf,1.1047346361403,0.269274590573669,"1a","Rainout",0.779479077976409
"25","ASV_7","1a - Rainout",-0.276560960781276,0.694491763807783,Inf,-0.398220648816537,0.690467546408714,"1a","Rainout",0.919925620418245
"26","ASV_13","1a - Rainout",0.484694138540646,0.950088640043601,Inf,0.510156756024788,0.609941645460406,"1a","Rainout",0.890615271454562
"27","ASV_32","1a - Rainout",0.474951937074115,0.548151677681038,Inf,0.866460792537213,0.386237518388107,"1a","Rainout",0.881821414637286
"28","ASV_151","1a - Rainout",0.846391388390037,0.973544270263722,Inf,0.8693917824207,0.384632876275424,"1a","Rainout",0.881821414637286
"29","ASV_43","1a - Rainout",0.506657211151645,0.392307041688742,Inf,1.29148130752552,0.196536832744969,"1a","Rainout",0.700463026875541
"30","ASV_61","1a - Rainout",0.794452502205654,1.11971364166351,Inf,0.709513997726568,0.478005568178083,"1a","Rainout",0.881821414637286
"31","ASV_78","1a - Rainout",0.805841235590833,1.41045897247567,Inf,0.571332630949485,0.567774186446131,"1a","Rainout",0.881821414637286
"32","ASV_82","1a - Rainout",0.21806701024409,1.11171289982688,Inf,0.196154070244258,0.844489576260546,"1a","Rainout",0.999979779099299
"33","ASV_134","1a - Rainout",-0.45947593285008,0.58075788253538,Inf,-0.791166072243693,0.428847087045779,"1a","Rainout",0.881821414637286
"34","ASV_55","1a - Rainout",1.08742374960894,1.94107648797674,Inf,0.560216846860272,0.575331537262536,"1a","Rainout",0.881821414637286
"35","ASV_26","1a - Rainout",0.453436763273693,1.18712157272749,Inf,0.381963207215494,0.702488655592114,"1a","Rainout",0.919925620418245
"36","ASV_114","1a - Rainout",16.2502929215762,790.570394912523,Inf,0.0205551498337783,0.983600518146387,"1a","Rainout",0.999979779099299
"37","ASV_66","1a - Rainout",-0.0236798395917863,1.56451042841616,Inf,-0.0151356227236905,0.987923981389021,"1a","Rainout",0.999979779099299
"38","ASV_71","1a - Rainout",1.99482053112322,0.756342552299235,Inf,2.63745643433533,0.00835303541937221,"1a","Rainout",0.229708474032736
"39","ASV_28","1a - Rainout",-0.244403042000798,0.906928784900407,Inf,-0.269484270507123,0.787557044970168,"1a","Rainout",0.999979779099299
"40","ASV_2","1a - Rainout",-0.299824523835665,0.147220045444425,Inf,-2.03657404758,0.041692745708695,"1a","Rainout",0.573275253494557
