"","S73","S74","S81","S82","S87","S88","S95","S96"
"ASV_1",146,300,36,186,64,89,88,197
"ASV_47",2,7,12,8,0,4,10,3
"ASV_62",2,1,17,0,0,4,0,1
"ASV_27",3,5,46,20,0,105,0,2
"ASV_101",0,0,0,9,0,5,3,15
"ASV_17",22,0,34,39,0,38,9,7
"ASV_8",31,18,57,24,0,32,44,37
"ASV_12",11,4,69,33,0,28,6,6
"ASV_57",3,7,8,1,13,3,12,5
"ASV_85",1,0,5,7,12,0,0,0
"ASV_3",158,37,50,42,270,16,103,85
"ASV_33",57,0,18,13,35,11,25,11
"ASV_53",15,0,15,8,10,0,29,0
"ASV_56",14,0,14,6,0,0,28,5
"ASV_20",14,11,32,14,0,31,34,13
"ASV_65",0,12,0,13,0,54,0,0
"ASV_35",10,8,11,16,30,16,6,2
"ASV_7",21,18,42,13,0,88,20,4
"ASV_13",41,25,68,18,0,28,72,24
"ASV_76",0,0,5,5,0,14,1,1
"ASV_32",3,11,10,29,0,33,6,0
"ASV_43",6,13,5,0,0,0,9,7
"ASV_78",1,0,1,1,0,10,6,0
"ASV_82",2,0,2,2,59,8,0,0
"ASV_26",4,17,31,13,42,17,4,0
"ASV_66",5,3,11,11,0,13,0,5
"ASV_71",3,0,6,1,0,13,13,0
"ASV_37",0,24,0,15,0,16,115,37
"ASV_145",0,0,0,3,0,14,0,5
"ASV_2",63,92,103,172,302,121,146,73
"ASV_5",30,16,0,2,0,0,0,15
"ASV_4",32,14,0,7,0,0,11,38
"ASV_16",1,24,0,5,0,0,6,26
"ASV_18",8,31,0,4,0,0,22,72
"ASV_11",32,14,0,20,0,0,0,24
"ASV_15",0,4,28,18,264,160,0,0
"ASV_40",4,14,6,10,14,15,13,7
"ASV_275",1,0,0,1,2,5,1,1
"ASV_6",27,30,22,7,0,20,39,51
"ASV_84",0,9,0,4,0,0,15,11
