"","S123","S124","S131","S132","S133","S134","S141","S142"
"ASV_73",1,2,8,4,8,3,19,6
"ASV_44",14,3,16,7,5,3,7,1
"ASV_112",5,0,16,1,6,0,1,0
"ASV_54",17,19,0,24,0,9,0,14
"ASV_94",22,3,5,0,0,4,12,0
"ASV_138",1,7,0,0,4,0,5,0
"ASV_1",262,158,225,173,390,215,353,196
"ASV_71",0,3,4,0,0,5,0,8
"ASV_28",6,1,0,24,0,0,7,14
"ASV_36",4,16,0,3,0,9,12,11
"ASV_2",58,43,102,153,92,109,79,73
"ASV_30",26,12,19,38,15,13,29,18
"ASV_5",63,55,22,97,97,65,11,80
"ASV_4",126,91,53,23,64,62,47,67
"ASV_9",22,27,15,28,39,39,38,73
"ASV_29",19,10,15,11,8,15,14,22
"ASV_16",11,14,9,18,19,44,63,53
"ASV_18",17,12,11,22,18,21,53,53
"ASV_11",37,27,17,46,32,33,4,24
"ASV_14",15,26,15,16,29,25,29,35
"ASV_39",24,12,21,16,1,14,10,15
"ASV_70",10,5,4,0,2,13,5,13
"ASV_50",22,4,3,0,24,15,0,0
"ASV_49",7,6,4,4,50,7,19,11
"ASV_117",0,1,1,11,3,2,1,4
"ASV_38",30,18,9,29,5,0,5,10
"ASV_40",0,3,6,0,0,2,5,3
"ASV_87",22,3,3,2,0,2,2,2
"ASV_121",0,4,8,9,1,2,0,0
"ASV_21",16,41,24,18,16,43,11,3
"ASV_23",22,19,41,13,7,38,27,19
"ASV_64",10,6,9,4,2,9,12,2
"ASV_77",6,1,0,9,6,4,0,2
"ASV_104",3,1,5,5,0,4,7,0
"ASV_160",0,0,0,1,2,3,3,1
"ASV_72",10,11,13,10,0,14,0,0
"ASV_10",23,42,42,18,13,65,30,11
"ASV_256",0,1,1,0,0,1,1,1
"ASV_412",0,1,2,1,0,0,0,1
"ASV_89",0,2,11,5,0,5,10,1
"ASV_6",0,58,91,50,35,34,42,45
"ASV_206",0,0,9,0,2,0,5,0
"ASV_156",9,0,2,0,2,2,0,6
