"","OTU","contrast","estimate","SE","df","z.ratio","p.value","a","b","p.adjust"
"1","ASV_44","1a - Rainout",0.826933202662467,0.78836203158925,Inf,1.04892570865629,0.294212312121884,"1a","Rainout",0.643589432766622
"2","ASV_1","1a - Rainout",0.415627314924569,0.252464886568453,Inf,1.64627770845224,0.0997065967530343,"1a","Rainout",0.410556574865435
"3","ASV_47","1a - Rainout",-0.942827409880719,0.782107510543481,Inf,-1.20549591606089,0.228011913660654,"1a","Rainout",0.643589432766622
"4","ASV_81","1a - Rainout",0.849123977844771,1.47270991646321,Inf,0.576572458942888,0.5642283084876,"1a","Rainout",0.882349571933942
"5","ASV_62","1a - Rainout",-0.790865572336931,0.73708891372324,Inf,-1.07295817046284,0.283289884431446,"1a","Rainout",0.643589432766622
"6","ASV_27","1a - Rainout",-0.510401619695717,0.413398719872166,Inf,-1.2346473154381,0.216961791430518,"1a","Rainout",0.643589432766622
"7","ASV_130","1a - Rainout",-1.37687258221597,1.16322214956381,Inf,-1.18367122112682,0.236543235342396,"1a","Rainout",0.643589432766622
"8","ASV_115","1a - Rainout",-1.94138979686242,1.07907791712323,Inf,-1.79911919802611,0.0719998274275581,"1a","Rainout",0.338594579980822
"9","ASV_103","1a - Rainout",-1.03801634464973,0.677003143838892,Inf,-1.53325188235278,0.125213805363728,"1a","Rainout",0.486942576414499
"10","ASV_58","1a - Rainout",-1.51618835904434,0.615207768824653,Inf,-2.4645143248776,0.0137199079221665,"1a","Rainout",0.157941964055816
"11","ASV_17","1a - Rainout",-0.119515861510366,0.296501602999756,Inf,-0.403086729721541,0.686884422570042,"1a","Rainout",0.924652107305825
"12","ASV_8","1a - Rainout",-0.761987527170185,0.456991565387754,Inf,-1.66739954275446,0.0954349847396568,"1a","Rainout",0.410556574865435
"13","ASV_110","1a - Rainout",-0.50653452611039,1.80443809162037,Inf,-0.280715935039659,0.778928285613938,"1a","Rainout",0.937981623079784
"14","ASV_12","1a - Rainout",-0.35990318269899,0.54151371101444,Inf,-0.664624321376403,0.506290809163762,"1a","Rainout",0.864398942474715
"15","ASV_57","1a - Rainout",-1.74717663865593,0.909832475400765,Inf,-1.92032784704276,0.0548165010554223,"1a","Rainout",0.338594579980822
"16","ASV_207","1a - Rainout",-0.653305348590171,1.60744715150997,Inf,-0.406424153961442,0.684430975264024,"1a","Rainout",0.924652107305825
"17","ASV_85","1a - Rainout",-2.05014705611788,1.08542748282078,Inf,-1.88879228558872,0.0589196668854249,"1a","Rainout",0.338594579980822
"18","ASV_3","1a - Rainout",-0.660567445971411,0.232855904455329,Inf,-2.8368077997272,0.0045567033294014,"1a","Rainout",0.0644372586996086
"19","ASV_33","1a - Rainout",-1.44900351627115,0.511364512300327,Inf,-2.83360202246523,0.00460266133568633,"1a","Rainout",0.0644372586996086
"20","ASV_53","1a - Rainout",-3.35477900124774,1.02147583568341,Inf,-3.28424705123177,0.00102255242994926,"1a","Rainout",0.0357893350482243
"21","ASV_56","1a - Rainout",-1.23625278725318,1.2400205188498,Inf,-0.996961557055427,0.318783170247414,"1a","Rainout",0.656318291685852
"22","ASV_20","1a - Rainout",-0.378657120164001,0.359769666719038,Inf,-1.05249873792087,0.292570789262002,"1a","Rainout",0.643589432766622
"23","ASV_65","1a - Rainout",0.166086481006091,0.64786449622307,Inf,0.256359905465332,0.797672944367287,"1a","Rainout",0.937981623079784
"24","ASV_35","1a - Rainout",-0.783494738672349,0.572123842035846,Inf,-1.36944955113977,0.170858794221542,"1a","Rainout",0.569529314071808
"25","ASV_7","1a - Rainout",-0.841071085652329,0.277521305681747,Inf,-3.03065410991127,0.00244024619725165,"1a","Rainout",0.0569390779358719
"26","ASV_51","1a - Rainout",-0.429135404394217,0.810176843743667,Inf,-0.529681152587954,0.596333017677696,"1a","Rainout",0.890778295083795
"27","ASV_13","1a - Rainout",-0.431244736811135,0.290287871020726,Inf,-1.48557614651542,0.13739126832222,"1a","Rainout",0.499809364860065
"28","ASV_79","1a - Rainout",-1.90473040250638,0.87833859134851,Inf,-2.16856053151673,0.0301160643692971,"1a","Rainout",0.234236056205644
"29","ASV_32","1a - Rainout",-0.383372832221661,0.670064059765641,Inf,-0.572143553492107,0.567224724814677,"1a","Rainout",0.882349571933942
