"","OTU","contrast","estimate","SE","df","z.ratio","p.value","a","b","p.adjust"
"1","ASV_44","1a - Rainout",2.03184299704608,1.33134055389198,Inf,1.52616322781297,0.126969218798788,"1a","Rainout",0.968419751534572
"2","ASV_1","1a - Rainout",-0.507463797029651,0.435262179076516,Inf,-1.16588075285182,0.243662661836719,"1a","Rainout",0.999502938505909
"3","ASV_47","1a - Rainout",0.547275718591685,0.511826330319829,Inf,1.06926057955968,0.284952268212497,"1a","Rainout",0.999502938505909
"4","ASV_81","1a - Rainout",-1.81641933830996,1.81187686351829,Inf,-1.00250705491258,0.316098760938591,"1a","Rainout",0.999502938505909
"5","ASV_62","1a - Rainout",0.355057015527916,0.511292143894292,Inf,0.694430805886434,0.487412080158993,"1a","Rainout",0.999502938505909
"6","ASV_27","1a - Rainout",-0.374678949278149,0.60929399077532,Inf,-0.614939511878945,0.538594667752114,"1a","Rainout",0.999502938505909
"7","ASV_144","1a - Rainout",-2.99253099716576,1.40502043799716,Inf,-2.12988431786201,0.0331811651526042,"1a","Rainout",0.761392756054199
"8","ASV_130","1a - Rainout",-0.751793220011435,0.631220098130292,Inf,-1.19101597404501,0.233647313955717,"1a","Rainout",0.999502938505909
"9","ASV_103","1a - Rainout",0.553207448014712,1.26218830786137,Inf,0.438292324979666,0.661174388879574,"1a","Rainout",0.999502938505909
"10","ASV_69","1a - Rainout",0.802333097373056,1.38998551638653,Inf,0.577224070261421,0.563788098842908,"1a","Rainout",0.999502938505909
"11","ASV_58","1a - Rainout",0.698757806795553,0.987493351570197,Inf,0.707607606354483,0.479188967984746,"1a","Rainout",0.999502938505909
"12","ASV_17","1a - Rainout",0.237312389618569,0.870056693609999,Inf,0.27275508752645,0.785041485830211,"1a","Rainout",0.999502938505909
"13","ASV_8","1a - Rainout",0.130105026378352,0.293965746680267,Inf,0.442585668050166,0.658065453103428,"1a","Rainout",0.999502938505909
"14","ASV_110","1a - Rainout",1.8750717965522,2.11814774217989,Inf,0.88524126963045,0.376026518207698,"1a","Rainout",0.999502938505909
"15","ASV_12","1a - Rainout",0.555947098221746,0.329664732168834,Inf,1.68640149816518,0.0917184930835556,"1a","Rainout",0.968419751534572
"16","ASV_57","1a - Rainout",-0.243181949848905,0.567319559614564,Inf,-0.428650741416571,0.668177413062749,"1a","Rainout",0.999502938505909
"17","ASV_207","1a - Rainout",23.3409004463132,37466.8790846373,Inf,0.000622974237955245,0.999502938505909,"1a","Rainout",0.999502938505909
"18","ASV_85","1a - Rainout",1.68119437271146,1.27029152827931,Inf,1.32347129401764,0.185678696421574,"1a","Rainout",0.999502938505909
"19","ASV_3","1a - Rainout",0.44958677507772,0.270888736365515,Inf,1.65967319686222,0.0969802142499455,"1a","Rainout",0.968419751534572
"20","ASV_33","1a - Rainout",0.870537812068813,0.339739597475551,Inf,2.56236782093515,0.0103961151559252,"1a","Rainout",0.675747485135139
"21","ASV_53","1a - Rainout",3.08994661231865,1.86515822683993,Inf,1.65666728315798,0.0975867610536998,"1a","Rainout",0.968419751534572
"22","ASV_56","1a - Rainout",1.21087569762482,1.27583323172156,Inf,0.949086187378038,0.342576778900945,"1a","Rainout",0.999502938505909
"23","ASV_153","1a - Rainout",0.294838475072096,0.752443751534343,Inf,0.39184121666354,0.695175538862318,"1a","Rainout",0.999502938505909
"24","ASV_20","1a - Rainout",-0.13493527480314,0.317841698628781,Inf,-0.424536098898514,0.671174884427129,"1a","Rainout",0.999502938505909
"25","ASV_65","1a - Rainout",-0.845113643815163,1.10803894934153,Inf,-0.762711134222663,0.445635688854045,"1a","Rainout",0.999502938505909
"26","ASV_35","1a - Rainout",0.238448213764342,0.227076668075687,Inf,1.05007800134211,0.293682251989373,"1a","Rainout",0.999502938505909
"27","ASV_60","1a - Rainout",0.774822308076122,1.28773169461595,Inf,0.601695455129107,0.547376875848097,"1a","Rainout",0.999502938505909
"28","ASV_7","1a - Rainout",-0.0321990924731295,0.514070489518508,Inf,-0.0626355589936471,0.950056713015694,"1a","Rainout",0.999502938505909
"29","ASV_13","1a - Rainout",0.252989578183395,0.310976995243055,Inf,0.813531489638524,0.415913399579985,"1a","Rainout",0.999502938505909
"30","ASV_76","1a - Rainout",-0.81697400118315,0.743904503871144,Inf,-1.09822429751637,0.272106558886732,"1a","Rainout",0.999502938505909
