"","S169","S170","S177","S178","S183","S184","S191","S192"
"ASV_1",171,257,164,148,99,57,78,238
"ASV_47",15,4,12,7,1,17,3,10
"ASV_81",0,0,8,10,3,0,2,0
"ASV_62",6,2,12,6,12,2,0,0
"ASV_27",6,11,31,33,2,24,0,0
"ASV_103",5,0,0,4,1,1,5,4
"ASV_69",3,18,0,2,13,0,13,7
"ASV_90",10,3,0,0,2,0,19,0
"ASV_58",19,0,2,3,22,4,7,9
"ASV_17",1,22,42,41,15,46,22,6
"ASV_8",59,34,17,20,24,35,39,63
"ASV_12",18,13,8,24,20,36,30,22
"ASV_57",6,1,1,6,5,1,24,7
"ASV_85",6,0,3,5,9,11,0,1
"ASV_3",76,41,38,44,58,97,126,61
"ASV_33",4,6,4,10,10,5,18,17
"ASV_53",1,8,9,6,0,38,44,13
"ASV_56",6,0,7,1,0,11,34,7
"ASV_153",2,0,0,0,3,9,29,7
"ASV_133",5,0,0,0,3,17,7,19
"ASV_20",25,16,33,17,50,22,19,3
"ASV_65",6,0,10,5,9,0,0,0
"ASV_35",10,0,15,16,17,27,10,3
"ASV_7",11,25,51,56,69,58,14,1
"ASV_13",28,16,38,38,26,56,27,9
"ASV_99",0,2,5,5,8,15,0,0
"ASV_79",0,0,4,3,26,0,3,4
"ASV_92",7,0,2,0,0,7,7,0
"ASV_32",10,22,17,31,16,15,13,5
"ASV_43",16,0,15,10,6,8,16,2
"ASV_78",1,0,6,6,1,11,0,0
"ASV_26",2,7,15,36,23,26,3,3
"ASV_66",2,6,4,2,6,2,0,0
"ASV_71",3,2,7,10,1,0,9,0
"ASV_28",3,14,13,9,0,0,15,0
"ASV_37",0,17,0,7,0,13,42,8
"ASV_2",65,103,117,102,202,100,70,82
"ASV_5",20,17,8,21,0,0,0,3
"ASV_4",32,48,0,9,0,0,7,59
"ASV_9",16,20,14,4,0,0,0,19
"ASV_29",11,20,4,2,0,0,0,13
"ASV_16",9,15,2,6,0,0,17,27
"ASV_18",8,13,12,3,0,0,17,46
"ASV_11",19,38,4,5,0,0,0,15
"ASV_14",21,15,0,8,0,0,0,36
"ASV_40",0,6,12,10,29,10,0,8
"ASV_348",1,0,1,0,2,0,0,0
"ASV_306",0,3,0,1,0,1,0,0
"ASV_244",4,1,1,4,0,0,1,0
"ASV_172",2,1,3,1,10,0,0,0
"ASV_87",1,1,1,1,22,0,0,0
"ASV_21",28,7,1,0,4,0,0,0
"ASV_77",1,9,4,1,27,0,0,0
"ASV_104",1,0,5,0,11,0,0,0
"ASV_10",33,29,32,12,79,0,0,0
"ASV_52",6,0,12,18,33,0,0,0
"ASV_88",2,4,1,0,15,0,0,0
"ASV_89",1,5,4,0,0,0,13,6
"ASV_6",41,51,16,0,0,0,117,69
"ASV_84",1,6,7,0,0,0,14,0
