"","S147","S148","S155","S156","S157","S158","S165","S166"
"ASV_73",3,0,1,10,4,0,2,17
"ASV_54",15,14,6,16,15,15,14,15
"ASV_94",7,9,4,7,4,5,5,15
"ASV_1",204,271,318,327,259,264,251,207
"ASV_8",2,13,9,0,3,0,8,0
"ASV_36",11,6,10,6,5,11,6,7
"ASV_2",99,104,79,89,97,105,96,97
"ASV_95",3,0,2,1,1,2,2,0
"ASV_30",6,9,11,3,18,22,9,19
"ASV_5",91,60,54,84,79,72,8,70
"ASV_4",77,90,66,45,50,78,60,53
"ASV_9",30,28,14,17,37,20,46,47
"ASV_29",19,9,20,22,18,28,19,9
"ASV_16",6,30,23,26,28,45,66,38
"ASV_18",16,32,19,14,11,16,27,53
"ASV_11",44,24,30,83,51,33,6,27
"ASV_14",38,15,40,38,31,43,45,44
"ASV_39",10,7,7,34,10,10,22,16
"ASV_70",7,7,0,16,26,17,7,3
"ASV_50",33,15,11,14,20,12,14,0
"ASV_49",6,8,3,7,9,21,4,17
"ASV_38",4,8,2,56,10,7,5,9
"ASV_87",3,0,2,0,1,1,5,4
"ASV_21",30,13,42,0,22,11,10,5
"ASV_23",16,10,15,0,30,26,23,14
"ASV_64",11,4,2,0,6,0,7,0
"ASV_77",11,0,4,0,6,9,3,1
"ASV_104",4,1,8,0,1,3,6,0
"ASV_10",27,9,43,0,14,18,28,11
"ASV_6",15,0,38,0,21,24,57,66
