"","OTU","contrast","estimate","SE","df","z.ratio","p.value","a","b","p.adjust"
"1","ASV_73","1a - Rainout",-0.360930667486519,0.895074250230436,Inf,-0.403241035471189,0.686770914480274,"1a","Rainout",0.897165891203322
"2","ASV_44","1a - Rainout",0.960084831410941,0.545292637454331,Inf,1.76067814869653,0.0782928932165243,"1a","Rainout",0.234878679649573
"3","ASV_1","1a - Rainout",0.026273006661076,0.121079773275973,Inf,0.216989229086124,0.828216738918256,"1a","Rainout",0.993860086701907
"4","ASV_8","1a - Rainout",0.499918616546049,0.890398386319875,Inf,0.561454989392191,0.57448740624428,"1a","Rainout",0.860925850563585
"5","ASV_2","1a - Rainout",-0.213541041575159,0.176821342499239,Inf,-1.20766553718524,0.227175939214307,"1a","Rainout",0.419401733934105
"6","ASV_30","1a - Rainout",-0.609640030043451,0.298151881361126,Inf,-2.0447297775225,0.0408815062106154,"1a","Rainout",0.163526024842462
"7","ASV_5","1a - Rainout",-0.0746792248608149,0.472640725051767,Inf,-0.158004211026537,0.874453480481311,"1a","Rainout",0.999375406264355
"8","ASV_4","1a - Rainout",-0.293876568462492,0.132366462209529,Inf,-2.22017392893149,0.026406963332318,"1a","Rainout",0.126753423995126
"9","ASV_9","1a - Rainout",1.0749513996175,0.775890839634785,Inf,1.38544153984791,0.165917496541028,"1a","Rainout",0.331834993082057
"10","ASV_16","1a - Rainout",-0.138237752311308,0.270880800226846,Inf,-0.510326875125674,0.609822477482539,"1a","Rainout",0.860925850563585
"11","ASV_18","1a - Rainout",-0.784101357991937,0.269035187721032,Inf,-2.91449369368362,0.00356266006644448,"1a","Rainout",0.0855038415946676
"12","ASV_11","1a - Rainout",-0.676482242796337,0.47778327123898,Inf,-1.41587678664867,0.156811582535837,"1a","Rainout",0.331834993082057
"13","ASV_14","1a - Rainout",0.364125515862226,0.234489275769093,Inf,1.55284507006959,0.120460152355283,"1a","Rainout",0.289104365652678
"14","ASV_39","1a - Rainout",0.0328734151309877,0.824913233143986,Inf,0.0398507549766143,0.968212111722848,"1a","Rainout",0.999410925286944
"15","ASV_50","1a - Rainout",-0.660306165529362,0.874370720575613,Inf,-0.755178724528506,0.450141752403474,"1a","Rainout",0.720226803845559
"16","ASV_49","1a - Rainout",0.175920388394606,0.47352564337587,Inf,0.371511851270462,0.710256330535963,"1a","Rainout",0.897165891203322
"17","ASV_38","1a - Rainout",-0.879055956425467,0.453382699105308,Inf,-1.93888288670955,0.0525156002275658,"1a","Rainout",0.180053486494511
"18","ASV_21","1a - Rainout",2.32747334797513,1.04156769747184,Inf,2.23458672309493,0.0254444932822708,"1a","Rainout",0.126753423995126
"19","ASV_23","1a - Rainout",1.80354117609598,1.06251183552937,Inf,1.69743161044169,0.0896150905485276,"1a","Rainout",0.238973574796074
"20","ASV_64","1a - Rainout",1.97422849405404,0.83773552682839,Inf,2.35662500971916,0.0184418592249961,"1a","Rainout",0.126753423995126
"21","ASV_77","1a - Rainout",24.3965093515931,33044.3591437492,Inf,0.000738295732880271,0.999410925286944,"1a","Rainout",0.999410925286944
"22","ASV_10","1a - Rainout",2.3315760183761,0.939221143020818,Inf,2.48245691198673,0.0130479846996394,"1a","Rainout",0.126753423995126
"23","ASV_88","1a - Rainout",23.505941828556,27849.0188021202,Inf,0.000844049192381834,0.999326546260804,"1a","Rainout",0.999410925286944
"24","ASV_6","1a - Rainout",0.890608502108034,0.796694806906348,Inf,1.11787913563333,0.263618617186085,"1a","Rainout",0.451917629461861
