"","S125","S126","S127","S128","S137","S138","S139","S140"
"ASV_1",323,68,336,319,304,267,247,198
"ASV_47",10,48,0,7,13,16,5,3
"ASV_62",0,7,0,4,8,6,3,1
"ASV_27",17,8,2,16,21,18,4,18
"ASV_130",1,7,0,14,12,1,0,2
"ASV_103",0,2,0,3,3,2,0,1
"ASV_58",0,6,0,2,2,5,4,12
"ASV_17",24,12,10,28,21,11,7,14
"ASV_8",19,88,10,22,24,33,11,11
"ASV_12",6,31,6,3,20,28,13,8
"ASV_57",1,14,1,2,1,1,0,2
"ASV_85",0,12,0,2,3,1,0,3
"ASV_3",24,37,21,39,44,37,13,68
"ASV_33",6,19,0,9,7,6,1,17
"ASV_53",0,9,0,4,0,5,1,9
"ASV_20",3,31,25,17,26,22,16,18
"ASV_65",12,7,2,5,13,2,0,3
"ASV_35",8,32,2,8,9,16,5,2
"ASV_7",18,50,25,25,34,76,10,39
"ASV_13",15,47,17,12,21,27,20,25
"ASV_79",2,28,0,4,4,3,0,4
"ASV_32",15,13,18,14,10,26,0,2
"ASV_43",2,6,3,1,8,1,5,10
"ASV_26",1,15,7,12,17,19,0,6
"ASV_66",1,6,5,2,9,11,3,7
"ASV_71",0,1,1,4,2,1,4,5
"ASV_36",31,9,7,11,7,4,15,20
"ASV_2",90,20,121,158,172,250,50,62
"ASV_5",16,12,18,33,3,3,22,20
"ASV_16",24,13,16,10,0,3,13,7
"ASV_18",13,4,14,26,0,4,12,2
"ASV_40",5,8,2,7,11,10,6,4
"ASV_21",19,0,27,11,12,5,42,41
"ASV_23",37,0,31,18,27,7,68,49
"ASV_64",13,0,13,0,10,4,6,9
"ASV_10",43,0,42,26,53,32,36,24
"ASV_52",16,0,13,8,12,2,11,4
