"","OTU","contrast","estimate","SE","df","z.ratio","p.value","a","b","p.adjust"
"1","ASV_44","1a - Rainout",-0.296895294785776,0.32292113247652,Inf,-0.919404972071201,0.357883789628953,"1a","Rainout",0.54624367890735
"2","ASV_1","1a - Rainout",-0.11640558340573,0.119954601047,Inf,-0.970413659748823,0.331840342598198,"1a","Rainout",0.54624367890735
"3","ASV_27","1a - Rainout",-0.185504688592548,0.612869123647597,Inf,-0.302682385904,0.762131922500976,"1a","Rainout",0.81858613898253
"4","ASV_17","1a - Rainout",-0.595856235872615,0.187271221458611,Inf,-3.18178218325076,0.00146371855566029,"1a","Rainout",0.0424478381141484
"5","ASV_8","1a - Rainout",-0.497316115680342,0.707007494300427,Inf,-0.703409963387204,0.481800299173553,"1a","Rainout",0.63566632724802
"6","ASV_12","1a - Rainout",-0.890859451340641,0.503000029443534,Inf,-1.77109224491735,0.0765453634129128,"1a","Rainout",0.246646170997163
"7","ASV_57","1a - Rainout",-0.804136306374878,0.594253463123921,Inf,-1.35318741290565,0.175995765405179,"1a","Rainout",0.482899416375795
"8","ASV_85","1a - Rainout",-1.05066709717088,0.583874159615845,Inf,-1.79947524627937,0.0719435361454029,"1a","Rainout",0.246646170997163
"9","ASV_3","1a - Rainout",-0.880960761795365,0.84234154700878,Inf,-1.04584745335633,0.295631468132311,"1a","Rainout",0.54624367890735
"10","ASV_20","1a - Rainout",-0.376174193775841,0.398232624140211,Inf,-0.9446091831075,0.344858437021598,"1a","Rainout",0.54624367890735
"11","ASV_35","1a - Rainout",-0.577263581792381,0.562596026080318,Inf,-1.02607120390497,0.30485802249164,"1a","Rainout",0.54624367890735
"12","ASV_7","1a - Rainout",-0.594695773012723,0.565784717965602,Inf,-1.05109903843122,0.293213105681646,"1a","Rainout",0.54624367890735
"13","ASV_13","1a - Rainout",0.708149768521804,0.532018781601247,Inf,1.33106159596555,0.183168744142543,"1a","Rainout",0.482899416375795
"14","ASV_32","1a - Rainout",-0.0662958556360247,0.405919704087485,Inf,-0.163322585645501,0.870264451881215,"1a","Rainout",0.870264451881215
"15","ASV_43","1a - Rainout",0.491434869748672,0.719046133348376,Inf,0.6834538800177,0.49432008357768,"1a","Rainout",0.63566632724802
"16","ASV_26","1a - Rainout",-1.34230502584338,0.663303436229417,Inf,-2.02366662454484,0.0430044648525225,"1a","Rainout",0.187304172382711
"17","ASV_28","1a - Rainout",-0.20453369354148,0.268590662501219,Inf,-0.761507089028277,0.446354246285709,"1a","Rainout",0.63566632724802
"18","ASV_2","1a - Rainout",0.0859680905794123,0.260734948882566,Inf,0.329714489552882,0.741615704359207,"1a","Rainout",0.81858613898253
"19","ASV_4","1a - Rainout",-0.516502789831901,1.0414261070196,Inf,-0.495957213239114,0.619924598809295,"1a","Rainout",0.749075556894564
"20","ASV_16","1a - Rainout",-0.223720802088798,1.00254719306961,Inf,-0.223152389867859,0.82341690498253,"1a","Rainout",0.852824651589049
"21","ASV_18","1a - Rainout",0.976864741047538,0.769963924904509,Inf,1.26871494813045,0.204542749093366,"1a","Rainout",0.4943116436423
"22","ASV_40","1a - Rainout",0.299868565867162,0.448921424110466,Inf,0.66797561836428,0.504149156093257,"1a","Rainout",0.63566632724802
"23","ASV_266","1a - Rainout",-0.326748257944303,0.763762552495226,Inf,-0.427813928395429,0.668786595511953,"1a","Rainout",0.775792450793865
"24","ASV_21","1a - Rainout",1.62313487289085,0.630792334824244,Inf,2.57316835237559,0.0100772175777366,"1a","Rainout",0.0974131032514542
"25","ASV_23","1a - Rainout",1.30833920294531,0.610666667014,Inf,2.1424768594997,0.0321551288368438,"1a","Rainout",0.186499747253694
"26","ASV_64","1a - Rainout",1.1452544568472,0.423541018499212,Inf,2.70399892058939,0.00685105117130224,"1a","Rainout",0.0974131032514542
"27","ASV_10","1a - Rainout",0.834882440700943,0.416882026132884,Inf,2.00268274563322,0.0452113519544475,"1a","Rainout",0.187304172382711
"28","ASV_52","1a - Rainout",1.84340823960135,0.759624319976493,Inf,2.42673673172865,0.0152353070343067,"1a","Rainout",0.110455975998724
"29","ASV_164","1a - Rainout",1.00670348259579,0.986694809652276,Inf,1.02027848200657,0.307596405539673,"1a","Rainout",0.54624367890735
