"","S121","S122","S129","S130","S135","S136","S143","S144"
"ASV_1",191,262,158,75,69,149,100,165
"ASV_47",13,11,2,20,14,3,8,0
"ASV_62",2,3,1,22,6,5,3,0
"ASV_27",5,9,42,20,18,21,24,0
"ASV_130",4,4,0,2,4,2,0,2
"ASV_90",6,11,6,2,0,3,9,2
"ASV_58",12,6,0,2,2,2,15,15
"ASV_17",17,19,41,60,38,24,15,30
"ASV_8",28,47,50,39,18,29,92,21
"ASV_12",13,16,27,43,32,20,44,10
"ASV_57",17,6,18,20,6,2,21,1
"ASV_3",76,65,67,65,74,39,177,56
"ASV_33",9,14,9,14,9,14,43,6
"ASV_20",10,15,25,17,24,18,15,1
"ASV_35",7,1,20,12,7,10,5,6
"ASV_7",19,10,38,38,87,49,17,0
"ASV_13",24,33,21,35,28,7,10,6
"ASV_32",6,4,33,29,36,9,8,5
"ASV_43",22,9,9,8,7,0,18,0
"ASV_61",10,4,3,9,0,2,12,1
"ASV_26",8,2,16,28,37,14,5,7
"ASV_71",1,0,4,0,6,12,7,2
"ASV_37",5,14,0,16,18,11,35,12
"ASV_2",65,51,91,75,76,223,76,92
"ASV_40",4,6,7,8,7,7,9,2
"ASV_89",1,2,7,7,0,4,0,4
"ASV_6",51,43,31,14,0,7,41,144
"ASV_84",1,6,4,7,0,3,10,3
