"","OTU","contrast","estimate","SE","df","z.ratio","p.value","a","b","p.adjust"
"1","ASV_1","1a - Rainout",-0.467897089527757,0.446666581280108,Inf,-1.04753099770035,0.294854743359516,"1a","Rainout",0.689491496126029
"2","ASV_47","1a - Rainout",0.601867460485202,0.491742347122864,Inf,1.22394880979169,0.22097153902085,"1a","Rainout",0.689491496126029
"3","ASV_62","1a - Rainout",0.406663020593145,0.446536990715505,Inf,0.910703993282912,0.362451359491813,"1a","Rainout",0.732465100522785
"4","ASV_27","1a - Rainout",-0.342157279193057,0.54557705867193,Inf,-0.627147483118063,0.530562564335787,"1a","Rainout",0.810875011519136
"5","ASV_130","1a - Rainout",-0.75601495623529,0.669096809413912,Inf,-1.12990369345433,0.258516807483603,"1a","Rainout",0.689491496126029
"6","ASV_17","1a - Rainout",0.252539939806178,0.794666043549002,Inf,0.317793797603742,0.750641355802193,"1a","Rainout",0.882178691878906
"7","ASV_8","1a - Rainout",0.164032828309674,0.344978853159397,Inf,0.475486618404065,0.634440168931979,"1a","Rainout",0.856494228058172
"8","ASV_12","1a - Rainout",0.598338170591503,0.326750695179648,Inf,1.8311764272224,0.0670742139705577,"1a","Rainout",0.603667925735019
"9","ASV_57","1a - Rainout",-0.192446554345313,0.596373174858813,Inf,-0.322694853588733,0.746926350058864,"1a","Rainout",0.882178691878906
"10","ASV_85","1a - Rainout",1.70272088681115,1.23534466495059,Inf,1.37833669834908,0.168099357677028,"1a","Rainout",0.648383236754251
"11","ASV_3","1a - Rainout",0.494604634829421,0.294872235562701,Inf,1.67735234172038,0.0934736029251198,"1a","Rainout",0.630946819744559
"12","ASV_33","1a - Rainout",0.929432935057062,0.362056052202873,Inf,2.56709680559702,0.010255397741738,"1a","Rainout",0.276895739026925
"13","ASV_20","1a - Rainout",-0.0811220154061924,0.30142332025817,Inf,-0.269129858090313,0.787829754367428,"1a","Rainout",0.882178691878906
"14","ASV_35","1a - Rainout",0.285424735122731,0.195973954787453,Inf,1.45644218606648,0.145270420779195,"1a","Rainout",0.648383236754251
"15","ASV_7","1a - Rainout",0.00833717283893272,0.457534068376054,Inf,0.0182219716851342,0.985461774675497,"1a","Rainout",0.985461774675497
"16","ASV_13","1a - Rainout",0.293940217025839,0.273796039863532,Inf,1.07357366151953,0.283013807599966,"1a","Rainout",0.689491496126029
"17","ASV_79","1a - Rainout",1.88369765947165,1.84185238022377,Inf,1.02271912760066,0.306440664944902,"1a","Rainout",0.689491496126029
"18","ASV_32","1a - Rainout",0.321475426006695,0.525345784030334,Inf,0.611931104767622,0.540583341012757,"1a","Rainout",0.810875011519136
"19","ASV_43","1a - Rainout",0.17457346358741,0.920020535435764,Inf,0.189749529345804,0.849505406994502,"1a","Rainout",0.882178691878906
"20","ASV_26","1a - Rainout",0.181659418007341,0.816115320521955,Inf,0.222590378393043,0.823854325526457,"1a","Rainout",0.882178691878906
"21","ASV_28","1a - Rainout",2.76454026158713,1.80064938545162,Inf,1.5353018105153,0.124709709632713,"1a","Rainout",0.648383236754251
"22","ASV_37","1a - Rainout",-0.363803581295035,0.452260637611944,Inf,-0.804411330634507,0.421159459571756,"1a","Rainout",0.75808702722916
"23","ASV_2","1a - Rainout",-0.327310171991579,0.372675638568921,Inf,-0.878270909385046,0.379796718789592,"1a","Rainout",0.732465100522785
"24","ASV_4","1a - Rainout",0.210651969451399,1.01810485473028,Inf,0.206905966976463,0.836083296381284,"1a","Rainout",0.882178691878906
"25","ASV_18","1a - Rainout",-2.06264332884079,1.05361306438708,Inf,-1.95768579430124,0.0502668931628059,"1a","Rainout",0.603667925735019
"26","ASV_14","1a - Rainout",1.03458112813336,1.39304576959481,Inf,0.742675618213379,0.457678094655039,"1a","Rainout",0.772331784730379
"27","ASV_40","1a - Rainout",0.135270750364548,0.26927610932386,Inf,0.502349616919997,0.615421613118498,"1a","Rainout",0.856494228058172
