"","RR_M_042822","RR_M_060122","RR_M_070522","RR_D_042822","RR_D_060122","RR_D_070522","RR_K_042822","RR_K_060122","RR_K_070522"
"ASV_3",-0.808270628239339,0,0,0,0,0,0.827420545111709,0,0
"ASV_43",-1.71989208080726,0,-1.40599235967584,0,0,0,0,0,0
"ASV_44",0,0,0,-1.58496250072116,0,0,0,0,0
"ASV_112",0,0,0,-4.8073549220576,0,0,0,0,0
"ASV_54",0,0,0,1.95693127810811,0,0,0,0,0
"ASV_1",0,0,0,-0.729167223605799,0,0,-0.506081711936119,0,0
"ASV_58",0,0,0,0,0,0,2.05889368905357,0,0
"ASV_33",0,-1.23349013021978,0,0,0,0,1.86507041991389,0,0
"ASV_53",0,0,0,0,0,0,4.75488750216347,0,0
"ASV_7",0,0,0,0,0,0,1.12691211248222,0,0
"ASV_79",0,0,0,0,0,0,2.70043971814109,0,0
"ASV_64",0,0,0,0,-2.70043971814109,-2.76553474636298,-1.69187770463767,0,-1.66296501272243
"ASV_10",0,0,0,0,-1.55942740861402,-2.13750352374994,-1.08539149123064,0,-0.97893838447217
"ASV_52",0,0,0,0,0,0,-1.89308479608349,0,-2.35049724708413
"ASV_49",0,0,0,0,1.2684888359259,0,0,0,0
"ASV_21",0,0,0,0,-1.84245872301352,-1.63226821549951,0,-1.07346216194102,-2.05363796360207
"ASV_104",0,0,0,0,-2.24792751344359,0,0,0,0
"ASV_17",0,0,0,0,0,0,0,1.28950661719498,0.807354922057604
"ASV_66",0,0,0,0,0,0,0,1.76553474636298,0
"ASV_20",0,0,-1.13070369164459,0,0,0,0,0,0
"ASV_30",0,0,0,0,0,0.816553858904069,0,0,0
"ASV_4",0,0,0,0,0,0.333737397176996,0,0,0
"ASV_18",0,0,0,0,0,1.07400058144378,0,0,0
"ASV_26",0,0,0,0,0,0,0,0,2.07324898203064
"ASV_23",0,0,0,0,0,0,0,0,-1.36099765956595
