"","OTU","contrast","estimate","SE","df","z.ratio","p.value","a","b","p.adjust"
"1","ASV_73","1a - Rainout",-0.417699809791874,0.92310403956423,Inf,-0.452494834698218,0.650912541507819,"1a","Rainout",0.889580473394019
"2","ASV_44","1a - Rainout",0.905407269603806,0.553321730306276,Inf,1.63631251044965,0.101774199124047,"1a","Rainout",0.379340196735085
"3","ASV_54","1a - Rainout",-0.0706728596150037,0.766293227327897,Inf,-0.0922269140514834,0.92651775484771,"1a","Rainout",0.999340390022378
"4","ASV_138","1a - Rainout",2.52632905889296,1.88690633451202,Inf,1.33887359042987,0.180611828504723,"1a","Rainout",0.427096703719127
"5","ASV_1","1a - Rainout",-0.0299901292265316,0.116943168137923,Inf,-0.256450459689627,0.797603028985936,"1a","Rainout",0.97135111278733
"6","ASV_8","1a - Rainout",0.454825111906931,0.904067545591181,Inf,0.503087533807571,0.614902730936795,"1a","Rainout",0.879522005428537
"7","ASV_12","1a - Rainout",16.1808997517758,896.306350598633,Inf,0.0180528674609621,0.98559667813382,"1a","Rainout",0.999340390022378
"8","ASV_33","1a - Rainout",-2.24817922017777,1.15478108753178,Inf,-1.94684450970964,0.0515533789395104,"1a","Rainout",0.264211067064991
"9","ASV_36","1a - Rainout",0.824665925533672,1.23091138479235,Inf,0.669963683594321,0.502880941246722,"1a","Rainout",0.76363402189317
"10","ASV_2","1a - Rainout",-0.272063979270288,0.181457412807602,Inf,-1.49932689472849,0.133788848527905,"1a","Rainout",0.384879289509203
"11","ASV_24","1a - Rainout",4.30985032905696,3.21952043399997,Inf,1.33866220681269,0.180680664960099,"1a","Rainout",0.427096703719127
"12","ASV_34","1a - Rainout",3.76418419289932,3.13032542806309,Inf,1.20248973450292,0.22917384102002,"1a","Rainout",0.427096703719127
"13","ASV_95","1a - Rainout",-2.78470712343846,2.21385651849103,Inf,-1.25785347884086,0.208444750776005,"1a","Rainout",0.427096703719127
"14","ASV_19","1a - Rainout",5.55370864406393,3.69027737830157,Inf,1.50495696521869,0.132335141186763,"1a","Rainout",0.384879289509203
"15","ASV_30","1a - Rainout",-0.674817187229731,0.313541657359827,Inf,-2.15224092681024,0.0313783837606181,"1a","Rainout",0.183787676312192
"16","ASV_5","1a - Rainout",-0.135188943096816,0.50039231525332,Inf,-0.270165905782101,0.787032620943817,"1a","Rainout",0.97135111278733
"17","ASV_4","1a - Rainout",-0.350600647707177,0.142561290712081,Inf,-2.45929765335288,0.0139209147094233,"1a","Rainout",0.141377008578406
"18","ASV_9","1a - Rainout",1.02438420654568,0.795210612022749,Inf,1.2881923242196,0.197679023270363,"1a","Rainout",0.427096703719127
"19","ASV_29","1a - Rainout",0.192231088746102,1.02261590892938,Inf,0.187979755710389,0.850892520875186,"1a","Rainout",0.996759810168075
"20","ASV_16","1a - Rainout",-0.204375199622402,0.29231612787889,Inf,-0.699158137819466,0.484453208881932,"1a","Rainout",0.76363402189317
"21","ASV_18","1a - Rainout",-0.845152469440772,0.29874527810296,Inf,-2.82900695471243,0.00466926842687172,"1a","Rainout",0.141377008578406
"22","ASV_11","1a - Rainout",-0.741016907490377,0.503140512016677,Inf,-1.47278322812896,0.140809496161904,"1a","Rainout",0.384879289509203
"23","ASV_14","1a - Rainout",0.307248191997816,0.203996375637391,Inf,1.50614534713086,0.132029865730867,"1a","Rainout",0.384879289509203
"24","ASV_39","1a - Rainout",-0.0248329972048528,0.836215913509141,Inf,-0.0296968723073473,0.976308806360298,"1a","Rainout",0.999340390022378
"25","ASV_70","1a - Rainout",2.35371132748078,1.95172523682986,Inf,1.20596448878422,0.227831183100092,"1a","Rainout",0.427096703719127
"26","ASV_50","1a - Rainout",-0.704526346374608,0.860508089730451,Inf,-0.818732972743227,0.412938779998995,"1a","Rainout",0.677219599198352
"27","ASV_86","1a - Rainout",-2.11314452126588,1.73790707059197,Inf,-1.21591341506315,0.224017907216048,"1a","Rainout",0.427096703719127
"28","ASV_49","1a - Rainout",0.115368359793651,0.468554950382702,Inf,0.246221621817081,0.805510678896811,"1a","Rainout",0.97135111278733
"29","ASV_117","1a - Rainout",-0.45967184414026,0.932633766551553,Inf,-0.492874974750178,0.622100930668965,"1a","Rainout",0.879522005428537
"30","ASV_38","1a - Rainout",-0.93674524486554,0.494822619714047,Inf,-1.89309301463801,0.0583455009658715,"1a","Rainout",0.265796171066748
"31","ASV_121","1a - Rainout",-0.0656388214412255,1.28029172278813,Inf,-0.0512686446947279,0.959111453142188,"1a","Rainout",0.999340390022378
"32","ASV_21","1a - Rainout",2.22298396665595,0.985261835945708,Inf,2.25623675408294,0.0240558079015681,"1a","Rainout",0.164381353994049
"33","ASV_23","1a - Rainout",1.71227959104473,1.01987330620003,Inf,1.67891401866822,0.0931688020069685,"1a","Rainout",0.379340196735085
"34","ASV_64","1a - Rainout",1.91909676877818,0.804954780009365,Inf,2.38410506582228,0.017120713592214,"1a","Rainout",0.141377008578406
"35","ASV_77","1a - Rainout",23.9429506013786,27134.3656152505,Inf,0.000882384756691046,0.99929595891731,"1a","Rainout",0.999340390022378
"36","ASV_72","1a - Rainout",1.86832176124501,1.6657578746335,Inf,1.1216046399637,0.262030577934939,"1a","Rainout",0.467097986753587
"37","ASV_10","1a - Rainout",2.21799953559822,0.877288143459319,Inf,2.52824519758379,0.0114634261557117,"1a","Rainout",0.141377008578406
"38","ASV_263","1a - Rainout",2.63327891240779,1.10571100313494,Inf,2.38152546636676,0.0172410986071227,"1a","Rainout",0.141377008578406
"39","ASV_88","1a - Rainout",23.487836914396,28411.6082863909,Inf,0.000826698604233773,0.999340390022378,"1a","Rainout",0.999340390022378
"40","ASV_6","1a - Rainout",0.839109461137596,0.813787714560584,Inf,1.03111591158719,0.302486467000123,"1a","Rainout",0.516747714458543
"41","ASV_84","1a - Rainout",-0.392565455024832,1.37001272873649,Inf,-0.286541465484688,0.774463439333338,"1a","Rainout",0.97135111278733
