"","S149","S150","S151","S152","S161","S162","S163","S164"
"ASV_44",13,8,13,7,3,4,6,2
"ASV_1",247,222,225,281,218,186,297,230
"ASV_47",4,9,2,1,9,20,1,5
"ASV_62",12,0,1,0,11,8,0,2
"ASV_27",17,9,4,8,30,26,0,26
"ASV_69",6,5,1,2,7,0,0,0
"ASV_90",3,6,0,2,1,3,0,0
"ASV_17",6,23,27,33,22,64,8,34
"ASV_8",21,21,1,27,32,11,11,14
"ASV_12",9,16,3,24,23,19,0,8
"ASV_3",47,12,20,42,55,29,31,55
"ASV_33",2,0,0,5,4,10,4,14
"ASV_20",8,18,18,6,18,24,13,14
"ASV_35",14,9,5,10,6,5,10,9
"ASV_7",38,21,15,33,21,63,15,17
"ASV_51",0,10,3,5,11,9,0,11
"ASV_13",4,8,33,4,36,13,16,69
"ASV_76",0,0,0,2,1,9,4,1
"ASV_32",14,10,1,14,17,36,0,12
"ASV_43",8,10,5,0,10,17,0,7
"ASV_78",1,0,1,0,1,19,0,1
"ASV_82",4,0,0,9,12,14,0,1
"ASV_167",7,0,0,2,1,1,1,0
"ASV_55",25,0,7,0,12,41,0,0
"ASV_26",11,3,3,12,16,41,0,9
"ASV_467",0,0,0,2,0,1,0,3
"ASV_66",3,3,4,5,3,10,0,16
"ASV_59",4,0,0,9,5,1,0,4
"ASV_71",4,18,0,7,13,10,7,2
"ASV_28",22,24,24,13,13,16,0,0
"ASV_36",7,19,9,7,10,5,0,19
"ASV_31",23,0,21,21,23,93,0,0
"ASV_2",75,99,107,93,181,198,73,71
"ASV_108",2,0,3,0,4,10,0,0
"ASV_30",5,5,2,2,0,0,8,4
"ASV_5",24,19,13,5,0,0,19,12
"ASV_4",54,53,43,10,9,0,83,36
"ASV_9",11,34,37,13,0,8,35,8
"ASV_16",14,33,40,10,10,3,14,9
"ASV_18",9,23,8,10,0,0,10,7
"ASV_11",19,29,8,0,0,0,37,17
"ASV_14",11,38,15,5,0,0,20,3
"ASV_50",4,6,4,0,0,0,10,5
"ASV_38",2,2,10,0,0,0,8,4
"ASV_40",13,6,4,8,7,12,3,5
"ASV_244",0,1,0,0,2,1,0,1
"ASV_123",0,1,1,9,6,0,1,3
"ASV_87",1,0,2,2,0,3,2,2
"ASV_21",33,18,35,15,31,6,42,28
"ASV_23",17,18,32,17,25,0,24,22
"ASV_64",5,3,6,11,9,6,6,3
"ASV_186",0,1,2,3,1,0,1,0
"ASV_183",0,2,0,3,0,0,1,1
"ASV_77",18,0,0,3,1,4,0,1
"ASV_192",3,0,0,1,0,3,0,1
"ASV_10",25,18,33,66,71,13,36,29
"ASV_52",9,3,6,11,11,4,7,2
"ASV_170",2,0,1,2,2,0,3,5
"ASV_88",19,1,1,0,0,4,1,0
"ASV_211",2,0,1,0,0,0,1,0
"ASV_6",15,18,20,0,0,0,24,13
"ASV_46",0,10,2,44,18,0,29,25
"ASV_67",0,11,13,12,6,0,3,6
"ASV_164",5,0,2,5,1,1,1,0
"ASV_102",0,0,10,21,2,0,1,0
"ASV_42",0,12,16,16,5,0,15,25
"ASV_116",0,2,4,9,0,0,1,7
"ASV_139",0,2,5,6,7,0,2,3
"ASV_140",0,0,1,5,4,0,1,1
"ASV_100",0,1,1,23,2,0,8,2
"ASV_131",0,7,12,14,1,0,0,7
