"","OTU","contrast","estimate","SE","df","z.ratio","p.value","a","b","p.adjust"
"1","ASV_1","1a - Rainout",-0.273322398841683,0.322153769011131,Inf,-0.848422167093254,0.396202901796193,"1a","Rainout",0.821309450394724
"2","ASV_47","1a - Rainout",-0.381993533675504,0.574253801684658,Inf,-0.66519983421071,0.505922686527593,"1a","Rainout",0.829299767342905
"3","ASV_81","1a - Rainout",1.44040903675673,1.74069552010762,Inf,0.827490517507434,0.407959094521395,"1a","Rainout",0.821309450394724
"4","ASV_62","1a - Rainout",1.04254687451952,0.729567126624627,Inf,1.42899376421043,0.153006025732622,"1a","Rainout",0.821309450394724
"5","ASV_27","1a - Rainout",-0.950690787870739,1.27486471273426,Inf,-0.745718960117543,0.455837203284606,"1a","Rainout",0.82879491506292
"6","ASV_103","1a - Rainout",0.134924786385571,0.656062861676837,Inf,0.205658320668716,0.837057817826743,"1a","Rainout",0.965835943646242
"7","ASV_69","1a - Rainout",0.145541417031903,0.928878456175545,Inf,0.156685103486131,0.875493027758774,"1a","Rainout",0.972088083399234
"8","ASV_90","1a - Rainout",2.59973774263103,1.48082539104777,Inf,1.75560046332779,0.079156653071668,"1a","Rainout",0.821309450394724
"9","ASV_58","1a - Rainout",1.08550561703656,0.635793564603976,Inf,1.70732400808853,0.0877618461506904,"1a","Rainout",0.821309450394724
"10","ASV_17","1a - Rainout",-0.595661163297448,0.714087640753773,Inf,-0.83415694279302,0.404192550726867,"1a","Rainout",0.821309450394724
"11","ASV_8","1a - Rainout",-0.15337265772469,0.309796421503951,Inf,-0.495075627343017,0.620546737349714,"1a","Rainout",0.886495339071019
"12","ASV_12","1a - Rainout",-0.292362301591978,0.296866479675457,Inf,-0.984827596270205,0.324708762870534,"1a","Rainout",0.821309450394724
"13","ASV_57","1a - Rainout",0.68356792397024,0.692312805398636,Inf,0.987368597893605,0.323461972862721,"1a","Rainout",0.821309450394724
"14","ASV_85","1a - Rainout",0.156967211254637,0.883651460454892,Inf,0.177634755646567,0.859009827545113,"1a","Rainout",0.972088083399234
"15","ASV_3","1a - Rainout",0.126533385113096,0.293383293991792,Inf,0.431290355328262,0.666257262242111,"1a","Rainout",0.905255397231861
"16","ASV_33","1a - Rainout",-0.135025322690352,0.387284850404541,Inf,-0.348646022557583,0.727355072075561,"1a","Rainout",0.928538389883694
"17","ASV_53","1a - Rainout",-1.0858132857939,1.02277881892412,Inf,-1.06163059471263,0.288403418820449,"1a","Rainout",0.821309450394724
"18","ASV_56","1a - Rainout",0.763338429986509,1.12319137447315,Inf,0.679615644613157,0.496747861086531,"1a","Rainout",0.829299767342905
"19","ASV_153","1a - Rainout",0.56515484071771,1.41722412509224,Inf,0.398775910395208,0.690058328616851,"1a","Rainout",0.905255397231861
"20","ASV_133","1a - Rainout",-0.18793821118164,1.37244479316384,Inf,-0.136936809493367,0.891080743115965,"1a","Rainout",0.972088083399234
"21","ASV_20","1a - Rainout",0.76628249354184,0.344400756044957,Inf,2.22497331986638,0.0260830292741287,"1a","Rainout",0.821309450394724
"22","ASV_65","1a - Rainout",2.26870693144604,1.44253474164007,Inf,1.57272255978158,0.11578307374537,"1a","Rainout",0.821309450394724
"23","ASV_35","1a - Rainout",0.560760617895761,0.718264596676558,Inf,0.780715937400263,0.434969584893399,"1a","Rainout",0.821309450394724
"24","ASV_7","1a - Rainout",0.221921979221027,0.815813972080612,Inf,0.272025224886806,0.785602623782624,"1a","Rainout",0.957216804467258
"25","ASV_13","1a - Rainout",0.109875996439253,0.395908850987386,Inf,0.277528517397945,0.781374311745736,"1a","Rainout",0.957216804467258
"26","ASV_99","1a - Rainout",-0.718349707615686,1.18731386638903,Inf,-0.605020903024065,0.545165107886188,"1a","Rainout",0.829299767342905
"27","ASV_79","1a - Rainout",1.26779834096961,1.0833240532233,Inf,1.17028541662804,0.241886128637618,"1a","Rainout",0.821309450394724
"28","ASV_92","1a - Rainout",1.76247355255834,1.64991064005556,Inf,1.06822364179613,0.285419642773829,"1a","Rainout",0.821309450394724
"29","ASV_32","1a - Rainout",-0.251758517253366,0.324631354038933,Inf,-0.775521261643668,0.438031706877186,"1a","Rainout",0.821309450394724
"30","ASV_43","1a - Rainout",1.05880742480396,0.52578454704747,Inf,2.01376672393601,0.0440340309177417,"1a","Rainout",0.821309450394724
"31","ASV_78","1a - Rainout",-0.594666621951506,1.28183112906172,Inf,-0.463919629090918,0.642705328872688,"1a","Rainout",0.896798133310728
"32","ASV_26","1a - Rainout",-0.594248125532105,0.736806698796198,Inf,-0.806518353460946,0.419944029789032,"1a","Rainout",0.821309450394724
"33","ASV_66","1a - Rainout",0.149799143610357,0.584354213793701,Inf,0.256349898870142,0.797680670389381,"1a","Rainout",0.957216804467258
"34","ASV_71","1a - Rainout",0.920018698820065,0.937331974182702,Inf,0.981529195803085,0.326331844198691,"1a","Rainout",0.821309450394724
"35","ASV_28","1a - Rainout",0.699828555542247,1.37309547144806,Inf,0.509672175092248,0.610281149796809,"1a","Rainout",0.886495339071019
"36","ASV_37","1a - Rainout",-2.75686164378457,1.75782762169682,Inf,-1.56833446565334,0.116803096476861,"1a","Rainout",0.821309450394724
"37","ASV_2","1a - Rainout",0.0234855866344991,0.225457469079022,Inf,0.104168589891637,0.917035559968243,"1a","Rainout",0.982538099965975
"38","ASV_5","1a - Rainout",-0.935102632855324,1.55002483927229,Inf,-0.603282353393988,0.546320870262331,"1a","Rainout",0.829299767342905
"39","ASV_4","1a - Rainout",-1.8662307836195,1.81779881140322,Inf,-1.02664319720778,0.30458850551554,"1a","Rainout",0.821309450394724
"40","ASV_9","1a - Rainout",-0.912325793571875,1.53437960179762,Inf,-0.59458936530636,0.552117990480494,"1a","Rainout",0.829299767342905
"41","ASV_29","1a - Rainout",-1.08995086672634,1.33597195276557,Inf,-0.815848614538687,0.41458672462031,"1a","Rainout",0.821309450394724
"42","ASV_16","1a - Rainout",-0.615198619441868,1.0366124626818,Inf,-0.593470213400968,0.552866511561936,"1a","Rainout",0.829299767342905
"43","ASV_18","1a - Rainout",-0.073108074384749,1.13680791762669,Inf,-0.0643099623526345,0.948723421066899,"1a","Rainout",0.998656232701999
"44","ASV_11","1a - Rainout",-1.46268052865315,1.51360897133399,Inf,-0.966352972501246,0.333867587567322,"1a","Rainout",0.821309450394724
"45","ASV_14","1a - Rainout",-3.28417890730757,2.47928048156544,Inf,-1.32465000701894,0.18528726167223,"1a","Rainout",0.821309450394724
"46","ASV_40","1a - Rainout",-0.827562401429913,1.00473142126164,Inf,-0.823665293945665,0.41012976463306,"1a","Rainout",0.821309450394724
"47","ASV_348","1a - Rainout",24.14092382335,89375.4006821341,Inf,0.000270107027650794,0.999784485775494,"1a","Rainout",0.999784485775494
"48","ASV_306","1a - Rainout",-23.0316133616564,43818.1110216621,Inf,-0.000525618581555704,0.999580617068216,"1a","Rainout",0.999784485775494
"49","ASV_244","1a - Rainout",0.217367235610843,0.922882430529357,Inf,0.235530798312156,0.813796777506072,"1a","Rainout",0.957407973536555
"50","ASV_172","1a - Rainout",1.88129734108585,0.95492348912365,Inf,1.97010269672217,0.0488266019283972,"1a","Rainout",0.821309450394724
"51","ASV_87","1a - Rainout",1.8021135705493,1.36791534453202,Inf,1.317416006592,0.187699218457317,"1a","Rainout",0.821309450394724
"52","ASV_21","1a - Rainout",2.24391286920075,2.03255678918301,Inf,1.10398532584307,0.269599503214391,"1a","Rainout",0.821309450394724
"53","ASV_77","1a - Rainout",1.22148782000187,1.47262357458649,Inf,0.829463714340481,0.40684206112709,"1a","Rainout",0.821309450394724
"54","ASV_104","1a - Rainout",16.9980310170791,1255.56580951237,Inf,0.0135381442281235,0.989198453693129,"1a","Rainout",0.999784485775494
"55","ASV_10","1a - Rainout",1.99768373506576,1.86877555527704,Inf,1.06898002246696,0.285078671410513,"1a","Rainout",0.821309450394724
"56","ASV_52","1a - Rainout",3.02466251979635,2.40595436485993,Inf,1.2571570616521,0.208696768091305,"1a","Rainout",0.821309450394724
"57","ASV_88","1a - Rainout",1.7045746971828,1.5541461083288,Inf,1.09679179328625,0.272732418515979,"1a","Rainout",0.821309450394724
"58","ASV_89","1a - Rainout",0.441576997447524,1.1224827177782,Inf,0.393393136886387,0.69402913787776,"1a","Rainout",0.905255397231861
"59","ASV_6","1a - Rainout",1.44248520562121,2.29069411101543,Inf,0.629715333306452,0.528880848656508,"1a","Rainout",0.829299767342905
"60","ASV_84","1a - Rainout",2.05844364403518,1.77382901594778,Inf,1.16045212110555,0.24586477652903,"1a","Rainout",0.821309450394724
