OTU,Species,contrast,estimate,SE,df,z.ratio,p.value,a,b,p.adjust
ASV_3,Nitrosospira-sp_2636913388,D - K,-2.348286506,0.246788309,Inf,-9.515387979,2.51E-14,1a,K,2.26E-13
ASV_3,Nitrosospira-sp_2636913388,D - M,-2.717374946,0.2466344,Inf,-11.01782615,2.00E-14,1a,M,2.26E-13
ASV_1,Nitrosospira-sp-17Nsp14_2671457573,D - M,0.913260584,0.164605198,Inf,5.548188003,8.65E-08,1a,M,5.19E-07
ASV_44,Nitrosomonas-communis-Nm44_2676397764,D - M,2.281277005,0.539089819,Inf,4.231719697,6.88E-05,1a,M,0.000309725
ASV_1,Nitrosospira-sp-17Nsp14_2671457573,D - K,0.535542659,0.164356911,Inf,3.258412767,0.00321394,1a,K,0.011570186
ASV_15,Nitrosospira-sp_2630434854,D - M,-3.788645803,1.280078339,Inf,-2.959698394,0.00864961,1a,M,0.025948831
ASV_15,Nitrosospira-sp_2630434854,D - K,-3.740335385,1.304859928,Inf,-2.866465054,0.011565407,1a,K,0.029739618
ASV_6,Nitrosolobus-multiformis-Nl1_2667636517,K - M,0.553084571,0.208327069,Inf,2.654885772,0.021636685,K,M,0.048682541
ASV_175,Nitrosovibrio-tenuis-Nv1_2671436084,K - M,-2.10434834,0.813192036,Inf,-2.587763094,0.026141379,K,M,0.052282759
ASV_44,Nitrosomonas-communis-Nm44_2676397764,K - M,1.249643706,0.536349957,Inf,2.329903619,0.051771496,K,M,0.080878979
ASV_1,Nitrosospira-sp-17Nsp14_2671457573,K - M,0.377717926,0.162108379,Inf,2.330033322,0.051754602,K,M,0.080878979
ASV_6,Nitrosolobus-multiformis-Nl1_2667636517,D - M,0.490031532,0.211796062,Inf,2.313695199,0.053919319,1a,M,0.080878979
ASV_44,Nitrosomonas-communis-Nm44_2676397764,D - K,1.031633299,0.507605587,Inf,2.032352136,0.104516811,1a,K,0.144715584
ASV_3,Nitrosospira-sp_2636913388,K - M,-0.36908844,0.237444082,Inf,-1.55442257,0.26565889,K,M,0.34156143
ASV_15,Nitrosospira-sp_2630434854,K - M,-0.048310418,1.13590145,Inf,-0.042530466,0.999003235,K,M,0.999999167
ASV_175,Nitrosovibrio-tenuis-Nv1_2671436084,D - K,-21.1164462,17181.16078,Inf,-0.001229047,0.999999167,1a,K,0.999999167
ASV_175,Nitrosovibrio-tenuis-Nv1_2671436084,D - M,-23.22079454,17181.16078,Inf,-0.001351527,0.999998993,1a,M,0.999999167
ASV_6,Nitrosolobus-multiformis-Nl1_2667636517,D - K,-0.063053039,0.210792527,Inf,-0.29912369,0.951875695,1a,K,0.999999167
