,Taxonomy
AOB_ASV 40,Nitrosolobus-multiformis-Nl1_2667636517
AOB_ASV 87,Nitrosolobus-multiformis-Nl1_2667636517
AOB_ASV 64,Nitrosolobus-multiformis-Nl1_2667636517
AOB_ASV 21,Nitrosolobus-multiformis-Nl1_2667636517
AOB_ASV 23,Nitrosolobus-multiformis-Nl1_2667636517
AOB_ASV 72,Nitrosolobus-multiformis-Nl1_2667636517
AOB_ASV 10,Nitrosolobus-multiformis-Nl1_2667636517
AOB_ASV 52,Nitrosolobus-multiformis-Nl1_2667636517
AOB_ASV 44,Nitrosomonas-communis-Nm44_2676397764
AOB_ASV 112,Nitrosomonas-europaea-ATCC-19718_637427314
AOB_ASV 63,Nitrosospira-sp-17Nsp14_2671457573
AOB_ASV 71,Nitrosospira-sp-17Nsp14_2671457573
AOB_ASV 1,Nitrosospira-sp-17Nsp14_2671457573
AOB_ASV 5,Nitrosospira-sp-17Nsp14_2671457573
AOB_ASV 54,Nitrosospira-sp-17Nsp14_2671457573
AOB_ASV 86,Nitrosospira-sp-17Nsp14_2671457573
AOB_ASV 117,Nitrosospira-sp-17Nsp14_2671457573
AOB_ASV 28,Nitrosospira-sp-17Nsp14_2671457573
AOB_ASV 2,Nitrosospira-sp-17Nsp14_2671457573
AOB_ASV 49,Nitrosospira-sp-17Nsp14_2671457573
AOB_ASV 104,Nitrosospira-sp-17Nsp14_2671457573
AOB_ASV 17,Nitrosospira-sp-17Nsp14_2671457573
AOB_ASV 30,Nitrosospira-sp-17Nsp14_2671457573
AOB_ASV 4,Nitrosospira-sp-17Nsp14_2671457573
AOB_ASV 18,Nitrosospira-sp-17Nsp14_2671457573
AOB_ASV 59,Nitrosospira-sp_2630434854
AOB_ASV 8,Nitrosospira-sp_2636913388
AOB_ASV 12,Nitrosospira-sp_2636913388
AOB_ASV 20,Nitrosospira-sp_2636913388
AOB_ASV 57,Nitrosospira-sp_2636913388
AOB_ASV 3,Nitrosospira-sp_2636913388
AOB_ASV 33,Nitrosospira-sp_2636913388
AOB_ASV 53,Nitrosospira-sp_2636913388
AOB_ASV 56,Nitrosospira-sp_2636913388
AOB_ASV 35,Nitrosospira-sp_2636913388
AOB_ASV 43,Nitrosospira-sp_2636913388
AOB_ASV 134,Nitrosospira-sp_2636913388
AOB_ASV 58,Nitrosospira-sp_2636913388
AOB_ASV 7,Nitrosospira-sp_2636913388
AOB_ASV 79,Nitrosospira-sp_2636913388
AOB_ASV 66,Nitrosospira-sp_2636913388
AOB_ASV 26,Nitrosospira-sp_2636913388
AOA_ASV 93,NS-Beta-1.3_OTU1_1-EU885554
AOA_ASV 106,NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
AOA_ASV 80,NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
AOA_ASV 86,NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
AOA_ASV 84,NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
AOA_ASV 39,NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
AOA_ASV 6,NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
AOA_ASV 31,NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
AOA_ASV 111,NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
AOA_ASV 43,NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
AOA_ASV 5,NS-Delta-1.Incertae_sedis.2_OTU2_1-EU885632
AOA_ASV 1,NS-Delta-1.Incertae_sedis.2_OTU2_1-EU885632
AOA_ASV 125,NS-Delta-1.Incertae_sedis.2_OTU2_1-EU885632
AOA_ASV 16,NS-Delta-1.Incertae_sedis.2_OTU2_1-EU885632
