"","OTU","contrast","estimate","SE","df","z.ratio","p.value","a","b","p.adjust"
"1","ASV_13","1a - Rainout",0.401721478487007,0.628387040847094,Inf,0.639289884058507,0.522634368061354,"1a","Rainout",0.749343707247186
"2","ASV_44","1a - Rainout",0.536627028138355,1.06605898992803,Inf,0.503374609855859,0.614700919244504,"1a","Rainout",0.749343707247186
"3","ASV_23","1a - Rainout",1.89704499747274,0.891639456148688,Inf,2.12759202656504,0.0333709238934564,"1a","Rainout",0.3253665079612
"4","ASV_33","1a - Rainout",1.51671305952343,0.484751494856929,Inf,3.12884658555014,0.00175493909234802,"1a","Rainout",0.06271318516701
"5","ASV_1","1a - Rainout",0.216099200537444,0.312132437755536,Inf,0.692331761771888,0.48872900823227,"1a","Rainout",0.749343707247186
"6","ASV_53","1a - Rainout",0.186758029270911,0.324607714199285,Inf,0.575334537971749,0.565065067410493,"1a","Rainout",0.749343707247186
"7","ASV_2","1a - Rainout",0.154630531703411,0.260581569363991,Inf,0.593405481749238,0.552909821178298,"1a","Rainout",0.749343707247186
"8","ASV_24","1a - Rainout",0.304480078627884,0.32931620588266,Inf,0.924582735950671,0.355182996649374,"1a","Rainout",0.749343707247186
"9","ASV_5","1a - Rainout",0.124846016245862,0.276898760210145,Inf,0.450872427710089,0.652081496698454,"1a","Rainout",0.749343707247186
"10","ASV_28","1a - Rainout",2.17371039019753,1.88129076505337,Inf,1.15543563524369,0.247912076122456,"1a","Rainout",0.749343707247186
"11","ASV_3","1a - Rainout",-0.00562109732150983,0.201644810206677,Inf,-0.0278762310606877,0.977760865940766,"1a","Rainout",0.977760865940766
"12","ASV_19","1a - Rainout",0.447194716196291,0.297191097989397,Inf,1.50473792526667,0.132391468518065,"1a","Rainout",0.749343707247186
"13","ASV_11","1a - Rainout",0.0709326159237688,0.237122761476826,Inf,0.299138789890911,0.764834150493142,"1a","Rainout",0.828570329700903
"14","ASV_8","1a - Rainout",0.483726234112132,0.668276921500068,Inf,0.723840998468601,0.469163356014022,"1a","Rainout",0.749343707247186
"15","ASV_9","1a - Rainout",-0.196193674822356,0.508561514039093,Inf,-0.385781600467853,0.699658423165792,"1a","Rainout",0.779619385813311
"16","ASV_27","1a - Rainout",-0.657831178486046,0.652572825634633,Inf,-1.00805787897512,0.313426677083024,"1a","Rainout",0.749343707247186
"17","ASV_21","1a - Rainout",-0.327133358627298,0.409707414153222,Inf,-0.798456037959218,0.424605895018318,"1a","Rainout",0.749343707247186
"18","ASV_32","1a - Rainout",0.645637307016416,0.521196564228588,Inf,1.23875971433544,0.215434497097523,"1a","Rainout",0.749343707247186
"19","ASV_68","1a - Rainout",-0.59058887882119,0.627350565285984,Inf,-0.941401684322967,0.346499050779484,"1a","Rainout",0.749343707247186
"20","ASV_22","1a - Rainout",-0.318001796336965,0.391114202932423,Inf,-0.813066347252824,0.416180019638579,"1a","Rainout",0.749343707247186
"21","ASV_18","1a - Rainout",0.119192088381987,0.265332066483147,Inf,0.449218558321364,0.653274001189855,"1a","Rainout",0.749343707247186
"22","ASV_15","1a - Rainout",-0.066030053583329,0.441385617162018,Inf,-0.14959720257285,0.881082415370612,"1a","Rainout",0.90426879472247
"23","ASV_43","1a - Rainout",0.193916685276012,0.939786723589873,Inf,0.206341162743046,0.836524427065409,"1a","Rainout",0.881741963663539
"24","ASV_45","1a - Rainout",-0.263097704367201,0.299827989471553,Inf,-0.877495476092513,0.380217574966102,"1a","Rainout",0.749343707247186
"25","ASV_26","1a - Rainout",0.581838827804355,1.19023247226511,Inf,0.488844693253134,0.624951653734225,"1a","Rainout",0.749343707247186
"26","ASV_67","1a - Rainout",1.02883615988629,0.685191763849583,Inf,1.50153024914664,0.133218468893524,"1a","Rainout",0.749343707247186
