"","S75","S76","S83","S84","S85","S86","S93","S94"
"ASV_13",318,690,126,0,382,578,453,204
"ASV_44",80,55,121,31,27,78,90,0
"ASV_23",83,54,92,29,20,9,22,57
"ASV_33",20,49,19,0,21,5,10,8
"ASV_1",69,196,266,105,278,234,339,237
"ASV_53",14,0,27,0,13,20,22,20
"ASV_2",536,957,849,187,544,714,801,651
"ASV_24",84,60,75,44,91,98,137,111
"ASV_5",370,567,274,49,364,449,511,581
"ASV_28",45,106,23,0,159,37,81,197
"ASV_40",48,24,27,19,28,52,54,0
"ASV_25",0,89,47,19,0,13,22,9
"ASV_3",76,84,94,1,75,118,63,56
"ASV_19",108,104,171,74,78,123,82,88
"ASV_11",100,72,365,89,161,129,212,159
"ASV_42",39,0,10,0,73,47,85,22
"ASV_8",143,109,119,28,441,269,478,251
"ASV_9",621,427,391,661,146,235,58,73
"ASV_27",152,112,89,174,88,142,25,27
"ASV_21",186,161,205,252,111,166,65,60
"ASV_6",33,56,7,0,42,0,63,113
"ASV_32",28,87,24,12,34,15,72,50
"ASV_22",58,0,87,127,66,45,107,108
"ASV_18",102,86,59,123,90,104,74,51
"ASV_15",83,405,169,0,93,175,205,71
"ASV_43",0,9,77,38,18,91,74,53
"ASV_26",74,35,56,333,211,148,13,0
"ASV_20",69,62,188,109,173,39,68,11
"ASV_16",510,65,176,664,136,182,18,180
"ASV_63",20,97,14,16,76,28,13,17
"ASV_36",78,0,38,54,106,120,13,38
"ASV_12",266,0,97,267,218,389,346,1220
