"","S77","S78","S79","S80","S89","S90","S91","S92"
"ASV_48",0,67,19,4,11,6,10,9
"ASV_4",552,189,451,146,554,1217,335,375
"ASV_41",23,24,22,0,38,97,24,0
"ASV_17",141,0,17,49,252,73,8,0
"ASV_30",18,22,104,172,62,60,66,5
"ASV_7",368,254,138,72,497,495,26,32
"ASV_23",32,201,18,40,20,0,114,56
"ASV_33",73,118,70,26,35,33,44,27
"ASV_1",1684,1403,1734,1919,1959,1781,1008,1241
"ASV_10",255,133,144,304,308,365,66,106
"ASV_2",336,738,413,474,319,130,805,576
"ASV_25",54,58,52,110,100,0,38,39
"ASV_3",679,385,501,676,593,521,298,317
"ASV_11",35,142,85,176,22,0,131,192
"ASV_8",51,13,366,79,42,17,304,709
"ASV_93",11,0,12,6,29,3,7,0
"ASV_6",316,212,100,244,32,52,374,210
"ASV_32",37,51,33,5,19,1,54,38
"ASV_57",36,18,29,12,26,0,4,9
"ASV_18",30,146,67,27,10,0,100,129
"ASV_15",54,137,128,161,57,10,170,224
