"","OTU","contrast","estimate","SE","df","z.ratio","p.value","a","b","p.adjust"
"1","ASV_4","1a - Rainout",0.296214840107516,0.282363726075922,Inf,1.04905415516393,0.294153194370359,"1a","Rainout",0.54139481663043
"2","ASV_17","1a - Rainout",0.872638774722861,0.962644374179513,Inf,0.906501713539472,0.36467035833022,"1a","Rainout",0.576562451698245
"3","ASV_30","1a - Rainout",0.197452691384772,0.252466857091274,Inf,0.782093513816696,0.434159618337197,"1a","Rainout",0.576562451698245
"4","ASV_7","1a - Rainout",-0.0411308485892061,0.888614704341874,Inf,-0.0462864820807444,0.963081913498848,"1a","Rainout",0.963081913498848
"5","ASV_71","1a - Rainout",-0.625395156179324,1.3577441112702,Inf,-0.460613418234053,0.645075982945579,"1a","Rainout",0.679027350469031
"6","ASV_116","1a - Rainout",2.73722075210419,1.69997715514266,Inf,1.61015149163842,0.107364788260549,"1a","Rainout",0.357882627535163
"7","ASV_23","1a - Rainout",1.93323650586167,1.43270824176092,Inf,1.34935812436282,0.177221964393437,"1a","Rainout",0.443054910983592
"8","ASV_47","1a - Rainout",-2.26224038580237,0.969071836806191,Inf,-2.33444033752764,0.0195726767011307,"1a","Rainout",0.195726767011307
"9","ASV_33","1a - Rainout",-0.237390164964168,0.332039697106576,Inf,-0.714945131659881,0.474642947932701,"1a","Rainout",0.576562451698245
"10","ASV_1","1a - Rainout",-0.280009400861574,0.0841130047762151,Inf,-3.32896680610266,0.000871687926740894,"1a","Rainout",0.0174337585348179
"11","ASV_10","1a - Rainout",-0.531813282296573,0.292847540216657,Inf,-1.8160073391879,0.0693692463213068,"1a","Rainout",0.32392629968301
"12","ASV_2","1a - Rainout",0.205998126816492,0.24773857716407,Inf,0.831514127410465,0.405683250752719,"1a","Rainout",0.576562451698245
"13","ASV_25","1a - Rainout",0.951590413053795,0.801270797131318,Inf,1.18760151556833,0.234990440464719,"1a","Rainout",0.522200978810487
"14","ASV_3","1a - Rainout",0.411611344476395,0.235877868596674,Inf,1.74501892409502,0.0809815749207524,"1a","Rainout",0.32392629968301
"15","ASV_8","1a - Rainout",1.10264592534613,1.61825008381628,Inf,0.681381658109225,0.495630025711182,"1a","Rainout",0.576562451698245
"16","ASV_59","1a - Rainout",-0.14044203502362,0.217728661010602,Inf,-0.645032373651445,0.518906206528421,"1a","Rainout",0.576562451698245
"17","ASV_6","1a - Rainout",1.22171098564195,1.51130086221005,Inf,0.80838370187613,0.418869731311735,"1a","Rainout",0.576562451698245
"18","ASV_32","1a - Rainout",3.4288312885692,1.63710772970055,Inf,2.09444450500296,0.0362204017294727,"1a","Rainout",0.241469344863151
"19","ASV_57","1a - Rainout",-0.715069466498365,0.479005695170446,Inf,-1.49282038545266,0.135484209644195,"1a","Rainout",0.387097741840559
"20","ASV_15","1a - Rainout",0.906316282660998,0.87042551278637,Inf,1.04123359132677,0.297767149146736,"1a","Rainout",0.54139481663043
