"","OTU","contrast","estimate","SE","df","z.ratio","p.value","a","b","p.adjust"
"1","ASV_4","1a - Rainout",-0.252169188197666,0.653143158316594,Inf,-0.38608563067185,0.699433251444245,"1a","Rainout",0.882603851150551
"2","ASV_7","1a - Rainout",0.526404971902587,0.87378939365808,Inf,0.602439186974811,0.546881831846592,"1a","Rainout",0.882603851150551
"3","ASV_54","1a - Rainout",-0.448911307694426,0.977444963807687,Inf,-0.459270162839317,0.646040171342996,"1a","Rainout",0.882603851150551
"4","ASV_33","1a - Rainout",0.357199306839322,0.262507697516321,Inf,1.36071936258979,0.173602393242393,"1a","Rainout",0.882603851150551
"5","ASV_1","1a - Rainout",-0.137864847560976,0.193057109643457,Inf,-0.714114325111305,0.475156488609552,"1a","Rainout",0.882603851150551
"6","ASV_10","1a - Rainout",-0.348297273430991,0.528668418645153,Inf,-0.658819897590235,0.510011428459336,"1a","Rainout",0.882603851150551
"7","ASV_2","1a - Rainout",-0.349929417220332,0.668716852484801,Inf,-0.523284878973924,0.600776022037462,"1a","Rainout",0.882603851150551
"8","ASV_3","1a - Rainout",-0.028850454687056,0.279773723305349,Inf,-0.103120673186196,0.917867197660092,"1a","Rainout",0.917867197660092
"9","ASV_6","1a - Rainout",0.297632566938307,1.18917572541368,Inf,0.250284764965892,0.802367137409591,"1a","Rainout",0.882603851150551
"10","ASV_32","1a - Rainout",0.516457387339652,1.5809782430085,Inf,0.326669509604931,0.743917863925443,"1a","Rainout",0.882603851150551
"11","ASV_15","1a - Rainout",-0.472031095026991,1.03587253473135,Inf,-0.455684535693779,0.648616843889728,"1a","Rainout",0.882603851150551
