"","RR_M_042822","RR_M_060122","RR_M_070522","RR_M_072022","RR_M_091322","RR_D_042822","RR_D_060122","RR_D_070522","RR_D_072022","RR_D_091322","RR_K_042822","RR_K_060122","RR_K_070522","RR_K_072022","RR_K_091322"
"ASV_23",0,0,0,0,0,-1.43423106451215,-1.00461662807037,0,0,0,0,0,0,0,0
"ASV_33",0,0,0,0,0,-1.9577717646107,0,0,0,0,0,0,0,0,0
"ASV_143",0,0,0,0,0,-1.27301849440642,0,0,0,0,0,0,0,0,0
"ASV_153",0,0,0,0,0,3.77258950389693,0,0,0,0,0,0,0,0,0
"ASV_74",0,0,0,0,0,0,0,0,0,0,2.55019708256048,0,0,0,0
"ASV_59",0,0,0,0,0,0,0,0,0,0,1.40109830832097,0,0,0,0
"ASV_3",0,-0.836038442246895,0,0,-0.943211637921452,0,0,0,0,0,0,0,0,0,0
"ASV_119",0,0,0,0,0,0,-2.32192809488736,0,0,-1.5405683813627,0,0,0,0,0
"ASV_128",0,0,0,0,0,0,0,2.58496250072116,0,0,0,0,0,0,0
"ASV_48",0,0,0,0,0,0,0,0,0,0,0,0,2.21501289097085,0,0
"ASV_4",0,0,0,0,0,0,0,0,0,0,0,0,0.393544438211204,0,0
"ASV_25",0,0,0,-2.32192809488736,-1.92376441417291,0,0,0,0,0,0,0,0,0,0
"ASV_11",0,0,0,0,0,0,0,0,-0.900234798958204,0,0,0,0,0,0
"ASV_93",0,0,0,0,-2.20945336562895,0,0,0,0,0,0,0,0,-2.71271804791953,0
"ASV_47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94341647163363
"ASV_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.414131874510143
"ASV_32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.33703498727757
