"","OTU","contrast","estimate","SE","df","z.ratio","p.value","a","b","p.adjust"
"1","ASV_60","1a - Rainout",2.55045330655757,1.59243971637475,Inf,1.60160116601699,0.109243832814352,"1a","Rainout",0.593037949563625
"2","ASV_13","1a - Rainout",1.06545283217745,1.24647568625663,Inf,0.854772254224373,0.392677241223118,"1a","Rainout",0.811027812788436
"3","ASV_44","1a - Rainout",0.412803266648985,1.17081723505828,Inf,0.352577032766721,0.724405558389757,"1a","Rainout",0.917580373960358
"4","ASV_23","1a - Rainout",-0.816644242931565,0.98283199404295,Inf,-0.830909298721789,0.40602487021883,"1a","Rainout",0.811027812788436
"5","ASV_33","1a - Rainout",-2.62455028798185,1.63070377449835,Inf,-1.60945864541783,0.10751609067376,"1a","Rainout",0.593037949563625
"6","ASV_1","1a - Rainout",-0.358884761316082,0.358218393112606,Inf,-1.0018602288891,0.316411103326258,"1a","Rainout",0.751476370399863
"7","ASV_10","1a - Rainout",-1.3490049392007,1.16420202834039,Inf,-1.15873783618446,0.246563063219194,"1a","Rainout",0.751476370399863
"8","ASV_2","1a - Rainout",0.289948285828202,0.190777380083099,Inf,1.51982528380412,0.128554892763488,"1a","Rainout",0.610635740626569
"9","ASV_24","1a - Rainout",0.584288906501172,0.181099004314553,Inf,3.22635073954528,0.00125379608377778,"1a","Rainout",0.0476442511835557
"10","ASV_5","1a - Rainout",0.19900069558275,0.365249957084336,Inf,0.54483427505729,0.585867503054421,"1a","Rainout",0.867567254974008
"11","ASV_40","1a - Rainout",-0.221165935762853,0.21530602595915,Inf,-1.02721665488738,0.304318457372071,"1a","Rainout",0.751476370399863
"12","ASV_25","1a - Rainout",-2.11066241953649,0.942985334209448,Inf,-2.23827703673246,0.0252029946350984,"1a","Rainout",0.478856898066869
"13","ASV_3","1a - Rainout",-0.351114210165092,0.458280676322809,Inf,-0.766155389710933,0.443583848542679,"1a","Rainout",0.811027812788436
"14","ASV_19","1a - Rainout",0.075871383075868,0.326790244682356,Inf,0.23217150545487,0.81640480846548,"1a","Rainout",0.932129143187635
"15","ASV_11","1a - Rainout",0.152405640028589,0.151606305720559,Inf,1.00527243444282,0.314765684706469,"1a","Rainout",0.751476370399863
"16","ASV_42","1a - Rainout",1.30270207528707,1.47140319281975,Inf,0.885346777582159,0.37596962805773,"1a","Rainout",0.811027812788436
"17","ASV_8","1a - Rainout",0.144964214837692,0.710200601381523,Inf,0.204117279759689,0.838261851302483,"1a","Rainout",0.932129143187635
"18","ASV_9","1a - Rainout",0.0445696468879967,0.588536684455629,Inf,0.0757295986217438,0.939634227307803,"1a","Rainout",0.939634227307803
"19","ASV_27","1a - Rainout",-0.585503899961896,0.565393190806298,Inf,-1.03556942227571,0.300403063460265,"1a","Rainout",0.751476370399863
"20","ASV_21","1a - Rainout",-0.0927970159552887,0.43451710300046,Inf,-0.213563552077697,0.8308874248368,"1a","Rainout",0.932129143187635
"21","ASV_6","1a - Rainout",0.952411661366672,0.849908742610451,Inf,1.12060461743385,0.262456198676788,"1a","Rainout",0.751476370399863
"22","ASV_32","1a - Rainout",-1.59622383573305,0.906279021298365,Inf,-1.76129403662709,0.0781886488639407,"1a","Rainout",0.593037949563625
"23","ASV_22","1a - Rainout",-0.0860412791140842,0.58500068497276,Inf,-0.147078937382937,0.883069714598812,"1a","Rainout",0.932129143187635
"24","ASV_18","1a - Rainout",-0.0670683174288903,0.420468894381104,Inf,-0.159508392475999,0.873268346732249,"1a","Rainout",0.932129143187635
"25","ASV_15","1a - Rainout",0.433023231887325,0.570954384702789,Inf,0.758420013032627,0.448199580751504,"1a","Rainout",0.811027812788436
"26","ASV_43","1a - Rainout",0.400187215519374,0.85376263666362,Inf,0.468733578085881,0.639260082612427,"1a","Rainout",0.867567254974008
"27","ASV_45","1a - Rainout",0.281578841367385,0.494435122964734,Inf,0.569496033532126,0.569019561742447,"1a","Rainout",0.867567254974008
"28","ASV_26","1a - Rainout",-0.0680976569270343,0.658835265245087,Inf,-0.103360673781939,0.917676722702017,"1a","Rainout",0.939634227307803
"29","ASV_20","1a - Rainout",0.62208901685677,1.04942084348467,Inf,0.592792701535338,0.553319892746413,"1a","Rainout",0.867567254974008
"30","ASV_50","1a - Rainout",0.359956614166879,0.703569105888512,Inf,0.511615150742446,0.608920379826629,"1a","Rainout",0.867567254974008
"31","ASV_37","1a - Rainout",0.579199010177124,1.17694912378715,Inf,0.492118986684315,0.622635230723734,"1a","Rainout",0.867567254974008
"32","ASV_16","1a - Rainout",-0.53293727709091,0.514403439502397,Inf,-1.03602976995341,0.300188254243258,"1a","Rainout",0.751476370399863
"33","ASV_63","1a - Rainout",-0.140280376322428,0.496349058307379,Inf,-0.282624443372178,0.777464740841958,"1a","Rainout",0.932129143187635
"34","ASV_164","1a - Rainout",-0.315637083700435,0.804662880668073,Inf,-0.392260027501674,0.694866095167134,"1a","Rainout",0.910514193667279
"35","ASV_36","1a - Rainout",0.24624188218733,0.513634496249393,Inf,0.479410717125527,0.631646470735407,"1a","Rainout",0.867567254974008
"36","ASV_105","1a - Rainout",1.81556470156004,1.03130407946519,Inf,1.7604552698963,0.0783306452450408,"1a","Rainout",0.593037949563625
"37","ASV_115","1a - Rainout",1.73178906368691,0.951994381110268,Inf,1.81911689611781,0.0688935978487286,"1a","Rainout",0.593037949563625
"38","ASV_12","1a - Rainout",-0.631639099279271,0.505161071909049,Inf,-1.2503716822285,0.211163804034453,"1a","Rainout",0.751476370399863
