"","S147","S148","S155","S156","S157","S158","S165","S166"
"ASV_13",277,580,159,36,513,363,456,545
"ASV_44",39,97,126,28,13,32,32,8
"ASV_23",46,26,65,79,13,4,27,78
"ASV_1",68,161,274,161,86,266,408,273
"ASV_53",15,34,30,0,6,29,18,0
"ASV_2",609,824,756,125,616,613,908,593
"ASV_24",38,36,162,70,117,67,206,65
"ASV_5",396,457,299,114,389,279,500,700
"ASV_28",26,0,59,22,72,28,189,171
"ASV_25",26,29,35,0,23,33,31,0
"ASV_3",61,98,158,52,34,94,22,45
"ASV_19",60,128,222,59,135,56,89,100
"ASV_11",147,167,333,191,142,175,292,171
"ASV_8",102,168,74,96,205,414,223,130
"ASV_9",467,335,433,739,300,302,84,179
"ASV_27",151,145,147,152,110,117,18,50
"ASV_21",196,139,260,232,200,138,53,97
"ASV_90",6,8,41,26,23,24,9,0
"ASV_32",16,48,28,18,8,10,51,32
"ASV_22",44,11,52,60,50,61,67,84
"ASV_18",140,57,84,186,123,97,58,44
"ASV_15",135,243,157,38,135,150,167,64
"ASV_43",21,18,97,18,22,156,70,35
"ASV_45",33,41,91,55,9,40,144,54
"ASV_26",211,134,114,203,203,232,9,6
"ASV_58",5,5,16,41,34,7,12,0
"ASV_39",33,25,43,114,55,9,15,0
"ASV_46",11,15,25,46,0,29,0,12
"ASV_130",1,2,4,3,13,2,1,0
"ASV_20",39,119,71,41,62,88,25,11
"ASV_50",12,48,20,49,28,0,15,0
"ASV_128",11,12,13,6,0,7,9,21
"ASV_143",9,8,0,4,0,4,1,4
"ASV_16",438,138,120,730,186,143,4,179
"ASV_164",8,3,0,1,9,11,4,10
"ASV_36",162,39,66,23,264,118,37,13
"ASV_105",23,7,24,0,45,25,16,13
"ASV_136",9,3,15,24,12,7,1,0
"ASV_12",233,188,37,236,128,453,275,874
