"","S149","S150","S151","S152","S161","S162","S163","S164"
"ASV_171",8,1,2,0,11,4,1,0
"ASV_4",552,236,396,411,685,890,210,412
"ASV_41",131,29,27,20,78,78,0,22
"ASV_30",42,6,87,93,54,90,0,95
"ASV_7",116,92,42,305,273,231,0,62
"ASV_23",51,132,16,11,16,62,88,34
"ASV_33",23,46,36,43,49,27,27,25
"ASV_1",1261,1580,1401,1294,1284,1934,487,928
"ASV_10",163,292,120,191,253,272,46,71
"ASV_2",507,510,643,449,313,194,1148,643
"ASV_25",146,23,105,130,136,42,157,95
"ASV_3",1261,489,803,1143,979,656,561,411
"ASV_8",25,73,208,71,2,12,71,490
"ASV_6",192,177,103,122,210,15,397,427
"ASV_32",14,24,31,11,0,2,30,25
"ASV_57",32,19,18,13,35,33,31,37
"ASV_22",21,99,18,4,0,16,65,52
"ASV_18",55,77,53,27,4,0,59,125
"ASV_15",109,108,88,247,68,14,292,147
"ASV_38",0,17,16,12,0,10,25,18
