"","OTU","contrast","estimate","SE","df","z.ratio","p.value","a","b","p.adjust"
"1","ASV_48","1a - Rainout",-2.17618654923502,1.07952861138415,Inf,-2.01586741313391,0.0438138419637684,"1a","Rainout",0.242536325620912
"2","ASV_4","1a - Rainout",-0.522096590180641,0.260054645180066,Inf,-2.0076418547307,0.0446813635098103,"1a","Rainout",0.242536325620912
"3","ASV_17","1a - Rainout",1.26006923488238,0.577305819878959,Inf,2.18267197643456,0.029059975070495,"1a","Rainout",0.242536325620912
"4","ASV_101","1a - Rainout",-0.904198005891506,1.10997964778161,Inf,-0.814607734203615,0.415296881918353,"1a","Rainout",0.683086943683384
"5","ASV_30","1a - Rainout",-0.171839030681972,0.458003538411738,Inf,-0.375191491484704,0.707518057600592,"1a","Rainout",0.885168533588674
"6","ASV_7","1a - Rainout",-1.71050974134078,1.25885923963165,Inf,-1.35877760395299,0.174217072234251,"1a","Rainout",0.435542680585628
"7","ASV_23","1a - Rainout",-0.0975369299719553,0.415497566711759,Inf,-0.234747295258215,0.814404876931424,"1a","Rainout",0.891652231079568
"8","ASV_47","1a - Rainout",-0.575019986675615,0.740078703619577,Inf,-0.776971400289331,0.437175643957366,"1a","Rainout",0.683086943683384
"9","ASV_33","1a - Rainout",-0.456746929392654,0.231510748705426,Inf,-1.9728972928761,0.0485072651241824,"1a","Rainout",0.242536325620912
"10","ASV_1","1a - Rainout",-0.249849589018897,0.158722687407494,Inf,-1.57412650390331,0.115458206320932,"1a","Rainout",0.423041334327988
"11","ASV_10","1a - Rainout",0.0556116965289181,0.387561954543348,Inf,0.143491113812871,0.885902328778727,"1a","Rainout",0.922814925811174
"12","ASV_53","1a - Rainout",1.27851616361618,1.46461673325632,Inf,0.87293565243763,0.382698152112127,"1a","Rainout",0.683086943683384
"13","ASV_2","1a - Rainout",0.555841436984941,0.359811651234046,Inf,1.54481222350241,0.12239168977531,"1a","Rainout",0.423041334327988
"14","ASV_24","1a - Rainout",2.10536960707839,1.47077208895711,Inf,1.43147236943506,0.152294880358076,"1a","Rainout",0.423041334327988
"15","ASV_5","1a - Rainout",2.05954960665164,1.74203575920981,Inf,1.18226597574889,0.237100181483425,"1a","Rainout",0.538864048825966
"16","ASV_25","1a - Rainout",0.704466108395585,0.309093227339457,Inf,2.27913796254719,0.0226588654726629,"1a","Rainout",0.242536325620912
"17","ASV_3","1a - Rainout",0.328156062645966,0.223443084527915,Inf,1.46863378358424,0.141932146437777,"1a","Rainout",0.423041334327988
"18","ASV_8","1a - Rainout",0.514490520091082,1.37431197841999,Inf,0.374362246833196,0.708134826870939,"1a","Rainout",0.885168533588674
"19","ASV_6","1a - Rainout",0.373367511756795,0.858695822634303,Inf,0.434807648896416,0.663702052450188,"1a","Rainout",0.885168533588674
"20","ASV_32","1a - Rainout",0.22194817013762,0.24719635239545,Inf,0.897861833262656,0.369259214618529,"1a","Rainout",0.683086943683384
"21","ASV_57","1a - Rainout",0.119942715864032,0.376941143184926,Inf,0.318200117001259,0.750333144019614,"1a","Rainout",0.891652231079568
"22","ASV_22","1a - Rainout",-0.284982064172214,1.2546905373199,Inf,-0.227133349376296,0.820320052593203,"1a","Rainout",0.891652231079568
"23","ASV_18","1a - Rainout",0.414918152799081,1.0277394523421,Inf,0.403719203202263,0.686419216741938,"1a","Rainout",0.885168533588674
"24","ASV_15","1a - Rainout",0.403122898986588,0.44988391855833,Inf,0.896059810891685,0.370220819956935,"1a","Rainout",0.683086943683384
"25","ASV_70","1a - Rainout",-24.9841654409368,24172.5550021212,Inf,-0.00103357569933109,0.999175326053913,"1a","Rainout",0.999175326053913
