"","OTU","contrast","estimate","SE","df","z.ratio","p.value","a","b","p.adjust"
"1","ASV_4","1a - Rainout",0.0217577928479625,1.19125442243504,Inf,0.0182646061481036,0.985427762956058,"1a","Rainout",0.985427762956058
"2","ASV_30","1a - Rainout",-2.00208684306073,1.71621260390333,Inf,-1.16657274192441,0.243382956576741,"1a","Rainout",0.406035914004984
"3","ASV_54","1a - Rainout",-3.92977681018611,1.79465643370622,Inf,-2.18970981653049,0.0285452886994466,"1a","Rainout",0.285452886994466
"4","ASV_33","1a - Rainout",-0.384410508401673,0.329688079147439,Inf,-1.16598243223032,0.24362154840299,"1a","Rainout",0.406035914004984
"5","ASV_1","1a - Rainout",-0.405491764096713,0.264369152559808,Inf,-1.53380891896977,0.125076668161969,"1a","Rainout",0.406035914004984
"6","ASV_10","1a - Rainout",-0.20672760046511,0.534720601268518,Inf,-0.386608632573142,0.699045966123606,"1a","Rainout",0.77671774013734
"7","ASV_2","1a - Rainout",0.849013748674142,0.854598656201785,Inf,0.993464876773309,0.320483458839149,"1a","Rainout",0.457833512627356
"8","ASV_3","1a - Rainout",0.35013169733254,0.280450958899957,Inf,1.24845961912878,0.211862787504362,"1a","Rainout",0.406035914004984
"9","ASV_6","1a - Rainout",-0.853268180646422,1.63411181743276,Inf,-0.522160216665549,0.601558782931141,"1a","Rainout",0.751948478663926
"10","ASV_15","1a - Rainout",1.67775221061837,0.912138277890049,Inf,1.83936169689023,0.0658620039580975,"1a","Rainout",0.329310019790487
