"","RR_M_042822","RR_M_060122","RR_M_070522","RR_D_042822","RR_D_060122","RR_D_070522","RR_K_042822","RR_K_060122","RR_K_070522"
"ASV_24",0,0,0,-0.870192652669146,-1.135849372939,0,0,0,0
"ASV_25",0,0,0,1.74193184705956,0,0,0,-0.907553751235405,-1.0431976894011
"ASV_10",0,0,0,0,0,0,1.20778608815125,0,0
"ASV_59",0,0,0,0,0,0,3.31227792485364,0,0
"ASV_57",0,0,0,0,0,0,1.83289001416474,0,0
"ASV_105",0,0,0,0,-1.26303440583379,0,0,0,0
"ASV_12",0,0,0,0,1.37950067382324,0,0,0,0
"ASV_171",0,0,0,0,0,0,0,-2.13750352374993,0
"ASV_54",0,0,1.84966572691557,0,0,0,0,0,0
"ASV_48",0,0,0,0,0,3,0,0,1.82312223791592
"ASV_1",0,0,0,0,0,0.569496500385127,0,0,0
"ASV_8",0,0,0,0,0,1.28144902553229,0,0,0
"ASV_18",0,0,0,0,0,0.850104569516941,0,0,0
"ASV_4",0,0,0,0,0,0,0,0,0.849215399060567
"ASV_17",0,0,0,0,0,0,0,0,-1.62943712986176
"ASV_33",0,0,0,0,0,0,0,0,0.635427567704144
