,RR_M_042822,RR_M_060122,RR_M_070522,RR_D_042822,RR_D_060122,RR_D_070522,RR_K_042822,RR_K_060122,RR_K_070522
ASV 1,0,0,0,-0.729167224,0,0,0,0,0
ASV 10,0,0,0,0,0,0,0,0,0
ASV 12,0,0,0,0,0,0,0,0,0
ASV 17,0,0,0,0,0,0,0,0,0.807354922
ASV 21,0,0,0,0,0,0,0,-1.073462162,0
ASV 28,0,0,0,0,0,0,0,0,0
ASV 33,0,0,0,0,0,0,0,0,0
ASV 35,0,0,0,0,0,0,0,0,0
ASV 44,0,0,0,0,0,0,0,0,0
ASV 52,0,0,0,0,0,0,-1.893084796,0,0
ASV 53,0,0,0,0,0,0,4.754887502,0,0
ASV 54,0,0,0,0,0,0,0,0,0
ASV 59,0,0,0,0,0,0,0,0,0
ASV 64,0,0,0,0,0,0,0,0,0
ASV 71,0,0,0,0,0,0,0,0,0
ASV 87,0,0,0,0,0,0,0,0,0
ASV 7,0,0,0,0,0,0,1.126912112,0,0
