,CONMIN_Apr,CONMIN_Jun,CONMIN_Jul,BIODYN_Apr,BIODYN_Jun,BIODYN_Jul,CONFYM_Apr,CONFYM_Jun,CONFYM_Jul
AOB_ASV 3,-0.808270628,0,0,0,0,0,0.827420545,0,0
AOB_ASV 43,-1.719892081,0,-1.40599236,0,0,0,0,0,0
AOB_ASV 44,0,0,0,-1.584962501,0,0,0,0,0
AOB_ASV 112,0,0,0,-4.807354922,0,0,0,0,0
AOB_ASV 54,0,0,0,1.956931278,0,0,0,0,0
AOB_ASV 1,0,0,0,-0.729167224,0,0,-0.506081712,0,0
AOB_ASV 58,0,0,0,0,0,0,2.058893689,0,0
AOB_ASV 33,0,-1.23349013,0,0,0,0,1.86507042,0,0
AOB_ASV 53,0,0,0,0,0,0,4.754887502,0,0
AOB_ASV 7,0,0,0,0,0,0,1.126912112,0,0
AOB_ASV 79,0,0,0,0,0,0,2.700439718,0,0
AOB_ASV 64,0,0,0,0,-2.700439718,-2.765534746,-1.691877705,0,-1.662965013
AOB_ASV 10,0,0,0,0,-1.559427409,-2.137503524,-1.085391491,0,-0.978938384
AOB_ASV 52,0,0,0,0,0,0,-1.893084796,0,-2.350497247
AOB_ASV 49,0,0,0,0,1.268488836,0,0,0,0
AOB_ASV 21,0,0,0,0,-1.842458723,-1.632268215,0,-1.073462162,-2.053637964
AOB_ASV 104,0,0,0,0,-2.247927513,0,0,0,0
AOB_ASV 17,0,0,0,0,0,0,0,1.289506617,0.807354922
AOB_ASV 66,0,0,0,0,0,0,0,1.765534746,0
AOB_ASV 20,0,0,-1.130703692,0,0,0,0,0,0
AOB_ASV 30,0,0,0,0,0,0.816553859,0,0,0
AOB_ASV 4,0,0,0,0,0,0.333737397,0,0,0
AOB_ASV 18,0,0,0,0,0,1.074000581,0,0,0
AOB_ASV 26,0,0,0,0,0,0,0,0,2.073248982
AOB_ASV 23,0,0,0,0,0,0,0,0,-1.36099766
AOB_ASV 40,0,0,0,0,0,0,0,0,0
AOB_ASV 87,0,0,0,0,0,0,0,0,0
AOB_ASV 8,0,0,0,0,0,0,0,0,0
AOB_ASV 12,0,0,0,0,0,0,0,0,0
AOB_ASV 63,0,0,0,0,0,0,0,0,0
AOB_ASV 57,0,0,0,0,0,0,0,0,0
AOB_ASV 71,0,0,0,0,0,0,0,0,0
AOB_ASV 5,0,0,0,0,0,0,0,0,0
AOB_ASV 72,0,0,0,0,0,0,0,0,0
AOB_ASV 59,0,0,0,0,0,0,0,0,0
AOB_ASV 86,0,0,0,0,0,0,0,0,0
AOB_ASV 117,0,0,0,0,0,0,0,0,0
AOB_ASV 56,0,0,0,0,0,0,0,0,0
AOB_ASV 35,0,0,0,0,0,0,0,0,0
AOB_ASV 28,0,0,0,0,0,0,0,0,0
AOB_ASV 2,0,0,0,0,0,0,0,0,0
AOB_ASV 134,0,0,0,0,0,0,0,0,0
AOA_ASV 39,0,0,0,0.662965013,0,0,0,0,0
AOA_ASV 49,0,0,0,1.800691192,0,0,0,0,0
AOA_ASV 61,0,0,0,0,1.337869639,0,0,0,0
AOA_ASV 6,0,0,0,0,0,0,0,-0.232015955,-0.282933963
AOA_ASV 31,0,0,0,0,0,0,0,0.721283972,0
AOA_ASV 15,0,0,0.680485112,0,0,0,0,0,0.643408773
AOA_ASV 80,0,0,0,0,0,-1.693896872,0,0,0
AOA_ASV 93,0,0,0,0,0,3.137503524,0,0,0
AOA_ASV 111,0,0,0,0,0,4.807354922,0,0,0
AOA_ASV 84,0,0,0,0,0,1.502500341,0,0,0
AOA_ASV 43,0,0,0,0,0,0,0,0,2.014950341
AOA_ASV 5,0,0,0,0,0,0,0,0,0.386124807
AOA_ASV 18,0,0,0,0,0,0,0,0,0
AOA_ASV 106,0,0,0,0,0,0,0,0,0
AOA_ASV 1,0,0,0,0,0,0,0,0,0
AOA_ASV 29,0,0,0,0,0,0,0,0,0
AOA_ASV 27,0,0,0,0,0,0,0,0,0
AOA_ASV 53,0,0,0,0,0,0,0,0,0
AOA_ASV 86,0,0,0,0,0,0,0,0,0
AOA_ASV 125,0,0,0,0,0,0,0,0,0
AOA_ASV 38,0,0,0,0,0,0,0,0,0
AOA_ASV 95,0,0,0,0,0,0,0,0,0
AOA_ASV 16,0,0,0,0,0,0,0,0,0
COM_ASV 24,0,0,0,-0.870192653,-1.135849373,0,0,0,0
COM_ASV 25,0,0,0,1.741931847,0,0,0,-0.907553751,-1.043197689
COM_ASV 10,0,0,0,0,0,0,1.207786088,0,0
COM_ASV 59,0,0,0,0,0,0,3.312277925,0,0
COM_ASV 57,0,0,0,0,0,0,1.832890014,0,0
COM_ASV 105,0,0,0,0,-1.263034406,0,0,0,0
COM_ASV 12,0,0,0,0,1.379500674,0,0,0,0
COM_ASV 171,0,0,0,0,0,0,0,-2.137503524,0
COM_ASV 54,0,0,1.849665727,0,0,0,0,0,0
COM_ASV 48,0,0,0,0,0,3,0,0,1.823122238
COM_ASV 1,0,0,0,0,0,0.5694965,0,0,0
COM_ASV 8,0,0,0,0,0,1.281449026,0,0,0
COM_ASV 18,0,0,0,0,0,0.85010457,0,0,0
COM_ASV 4,0,0,0,0,0,0,0,0,0.849215399
COM_ASV 17,0,0,0,0,0,0,0,0,-1.62943713
COM_ASV 33,0,0,0,0,0,0,0,0,0.635427568
COM_ASV 23,0,0,0,0,0,0,0,0,0
COM_ASV 143,0,0,0,0,0,0,0,0,0
COM_ASV 153,0,0,0,0,0,0,0,0,0
COM_ASV 74,0,0,0,0,0,0,0,0,0
COM_ASV 3,0,0,0,0,0,0,0,0,0
COM_ASV 119,0,0,0,0,0,0,0,0,0
COM_ASV 128,0,0,0,0,0,0,0,0,0
COM_ASV 11,0,0,0,0,0,0,0,0,0
COM_ASV 93,0,0,0,0,0,0,0,0,0
COM_ASV 47,0,0,0,0,0,0,0,0,0
COM_ASV 32,0,0,0,0,0,0,0,0,0
