SampleID;SampleName;Time;Scenario;InocDens;Soil;SampleType;ScenarioByTime;InocDensByTime;SoilByTime;ScenarioByInocDens;ScenarioBySol;InocDensBySoil;TimeByScenarioBySoilBySampleType;Maize
1;J-30    Ni S1.1;J-30;Ni;Ni;1;Bulk;Ni_J-30;Ni_J-30;1_J-30;Ni_Ni;Ni_1;Ni_1;J-30_Ni_1_Bulk;1
2;J-30    Ni S1.2;J-30;Ni;Ni;1;Bulk;Ni_J-30;Ni_J-30;1_J-30;Ni_Ni;Ni_1;Ni_1;J-30_Ni_1_Bulk;2
3;J-30    Ni S1.3;J-30;Ni;Ni;1;Bulk;Ni_J-30;Ni_J-30;1_J-30;Ni_Ni;Ni_1;Ni_1;J-30_Ni_1_Bulk;3
4;J-30    Ni S1.4;J-30;Ni;Ni;1;Bulk;Ni_J-30;Ni_J-30;1_J-30;Ni_Ni;Ni_1;Ni_1;J-30_Ni_1_Bulk;4
5;J-30    Ni S1.5;J-30;Ni;Ni;1;Bulk;Ni_J-30;Ni_J-30;1_J-30;Ni_Ni;Ni_1;Ni_1;J-30_Ni_1_Bulk;5
6;J-30    Ni S2.1;J-30;Ni;Ni;2;Bulk;Ni_J-30;Ni_J-30;2_J-30;Ni_Ni;Ni_2;Ni_2;J-30_Ni_2_Bulk;6
7;J-30    Ni S2.2;J-30;Ni;Ni;2;Bulk;Ni_J-30;Ni_J-30;2_J-30;Ni_Ni;Ni_2;Ni_2;J-30_Ni_2_Bulk;7
8;J-30    Ni S2.3;J-30;Ni;Ni;2;Bulk;Ni_J-30;Ni_J-30;2_J-30;Ni_Ni;Ni_2;Ni_2;J-30_Ni_2_Bulk;8
9;J-30    Ni S2.4;J-30;Ni;Ni;2;Bulk;Ni_J-30;Ni_J-30;2_J-30;Ni_Ni;Ni_2;Ni_2;J-30_Ni_2_Bulk;9
10;J-30    Ni S2.5;J-30;Ni;Ni;2;Bulk;Ni_J-30;Ni_J-30;2_J-30;Ni_Ni;Ni_2;Ni_2;J-30_Ni_2_Bulk;10
11;J-30    Ni S3.1;J-30;Ni;Ni;3;Bulk;Ni_J-30;Ni_J-30;3_J-30;Ni_Ni;Ni_3;Ni_3;J-30_Ni_3_Bulk;11
12;J-30    Ni S3.2;J-30;Ni;Ni;3;Bulk;Ni_J-30;Ni_J-30;3_J-30;Ni_Ni;Ni_3;Ni_3;J-30_Ni_3_Bulk;12
13;J-30    Ni S3.3;J-30;Ni;Ni;3;Bulk;Ni_J-30;Ni_J-30;3_J-30;Ni_Ni;Ni_3;Ni_3;J-30_Ni_3_Bulk;13
14;J-30    Ni S3.4;J-30;Ni;Ni;3;Bulk;Ni_J-30;Ni_J-30;3_J-30;Ni_Ni;Ni_3;Ni_3;J-30_Ni_3_Bulk;14
15;J-30    Ni S3.5;J-30;Ni;Ni;3;Bulk;Ni_J-30;Ni_J-30;3_J-30;Ni_Ni;Ni_3;Ni_3;J-30_Ni_3_Bulk;15
106;J45    Ni S1.1;J45;Ni;Ni;1;Bulk;Ni_J45;Ni_J45;1_J45;Ni_Ni;Ni_1;Ni_1;J45_Ni_1_Bulk;1
107;J45    Ni S1.2;J45;Ni;Ni;1;Bulk;Ni_J45;Ni_J45;1_J45;Ni_Ni;Ni_1;Ni_1;J45_Ni_1_Bulk;2
108;J45    Ni S1.3;J45;Ni;Ni;1;Bulk;Ni_J45;Ni_J45;1_J45;Ni_Ni;Ni_1;Ni_1;J45_Ni_1_Bulk;3
109;J45    Ni S1.4;J45;Ni;Ni;1;Bulk;Ni_J45;Ni_J45;1_J45;Ni_Ni;Ni_1;Ni_1;J45_Ni_1_Bulk;4
110;J45    Ni S1.5;J45;Ni;Ni;1;Bulk;Ni_J45;Ni_J45;1_J45;Ni_Ni;Ni_1;Ni_1;J45_Ni_1_Bulk;5
111;J45    Ni S2.1;J45;Ni;Ni;2;Bulk;Ni_J45;Ni_J45;2_J45;Ni_Ni;Ni_2;Ni_2;J45_Ni_2_Bulk;6
112;J45    Ni S2.2;J45;Ni;Ni;2;Bulk;Ni_J45;Ni_J45;2_J45;Ni_Ni;Ni_2;Ni_2;J45_Ni_2_Bulk;7
113;J45    Ni S2.3;J45;Ni;Ni;2;Bulk;Ni_J45;Ni_J45;2_J45;Ni_Ni;Ni_2;Ni_2;J45_Ni_2_Bulk;8
114;J45    Ni S2.4;J45;Ni;Ni;2;Bulk;Ni_J45;Ni_J45;2_J45;Ni_Ni;Ni_2;Ni_2;J45_Ni_2_Bulk;9
115;J45    Ni S2.5;J45;Ni;Ni;2;Bulk;Ni_J45;Ni_J45;2_J45;Ni_Ni;Ni_2;Ni_2;J45_Ni_2_Bulk;10
116;J45    Ni S3.1;J45;Ni;Ni;3;Bulk;Ni_J45;Ni_J45;3_J45;Ni_Ni;Ni_3;Ni_3;J45_Ni_3_Bulk;11
117;J45    Ni S3.2;J45;Ni;Ni;3;Bulk;Ni_J45;Ni_J45;3_J45;Ni_Ni;Ni_3;Ni_3;J45_Ni_3_Bulk;12
118;J45    Ni S3.3;J45;Ni;Ni;3;Bulk;Ni_J45;Ni_J45;3_J45;Ni_Ni;Ni_3;Ni_3;J45_Ni_3_Bulk;13
119;J45    Ni S3.4;J45;Ni;Ni;3;Bulk;Ni_J45;Ni_J45;3_J45;Ni_Ni;Ni_3;Ni_3;J45_Ni_3_Bulk;14
120;J45    Ni S3.5;J45;Ni;Ni;3;Bulk;Ni_J45;Ni_J45;3_J45;Ni_Ni;Ni_3;Ni_3;J45_Ni_3_Bulk;15
121;J45    A S1.1;J45;A;H;1;Bulk;A_J45;H_J45;1_J45;A_H;A_1;H_1;J45_A_1_Bulk;16
122;J45    A S1.2;J45;A;H;1;Bulk;A_J45;H_J45;1_J45;A_H;A_1;H_1;J45_A_1_Bulk;17
123;J45    A S1.3;J45;A;H;1;Bulk;A_J45;H_J45;1_J45;A_H;A_1;H_1;J45_A_1_Bulk;18
124;J45    A S1.4;J45;A;H;1;Bulk;A_J45;H_J45;1_J45;A_H;A_1;H_1;J45_A_1_Bulk;19
125;J45    A S1.5;J45;A;H;1;Bulk;A_J45;H_J45;1_J45;A_H;A_1;H_1;J45_A_1_Bulk;20
126;J45    A S2.1;J45;A;H;2;Bulk;A_J45;H_J45;2_J45;A_H;A_2;H_2;J45_A_2_Bulk;21
127;J45    A S2.2;J45;A;H;2;Bulk;A_J45;H_J45;2_J45;A_H;A_2;H_2;J45_A_2_Bulk;22
128;J45    A S2.3;J45;A;H;2;Bulk;A_J45;H_J45;2_J45;A_H;A_2;H_2;J45_A_2_Bulk;23
129;J45    A S2.4;J45;A;H;2;Bulk;A_J45;H_J45;2_J45;A_H;A_2;H_2;J45_A_2_Bulk;24
130;J45    A S2.5;J45;A;H;2;Bulk;A_J45;H_J45;2_J45;A_H;A_2;H_2;J45_A_2_Bulk;25
131;J45    A S3.1;J45;A;H;3;Bulk;A_J45;H_J45;3_J45;A_H;A_3;H_3;J45_A_3_Bulk;26
132;J45    A S3.2;J45;A;H;3;Bulk;A_J45;H_J45;3_J45;A_H;A_3;H_3;J45_A_3_Bulk;27
133;J45    A S3.3;J45;A;H;3;Bulk;A_J45;H_J45;3_J45;A_H;A_3;H_3;J45_A_3_Bulk;28
134;J45    A S3.4;J45;A;H;3;Bulk;A_J45;H_J45;3_J45;A_H;A_3;H_3;J45_A_3_Bulk;29
135;J45    A S3.5;J45;A;H;3;Bulk;A_J45;H_J45;3_J45;A_H;A_3;H_3;J45_A_3_Bulk;30
136;J45    B S1.1;J45;B;H;1;Bulk;B_J45;H_J45;1_J45;B_H;B_1;H_1;J45_B_1_Bulk;31
137;J45    B S1.2;J45;B;H;1;Bulk;B_J45;H_J45;1_J45;B_H;B_1;H_1;J45_B_1_Bulk;32
138;J45    B S1.3;J45;B;H;1;Bulk;B_J45;H_J45;1_J45;B_H;B_1;H_1;J45_B_1_Bulk;33
139;J45    B S1.4;J45;B;H;1;Bulk;B_J45;H_J45;1_J45;B_H;B_1;H_1;J45_B_1_Bulk;34
140;J45    B S1.5;J45;B;H;1;Bulk;B_J45;H_J45;1_J45;B_H;B_1;H_1;J45_B_1_Bulk;35
141;J45    B S2.1;J45;B;H;2;Bulk;B_J45;H_J45;2_J45;B_H;B_2;H_2;J45_B_2_Bulk;36
142;J45    B S2.2;J45;B;H;2;Bulk;B_J45;H_J45;2_J45;B_H;B_2;H_2;J45_B_2_Bulk;37
143;J45    B S2.3;J45;B;H;2;Bulk;B_J45;H_J45;2_J45;B_H;B_2;H_2;J45_B_2_Bulk;38
144;J45    B S2.4;J45;B;H;2;Bulk;B_J45;H_J45;2_J45;B_H;B_2;H_2;J45_B_2_Bulk;39
145;J45    B S2.5;J45;B;H;2;Bulk;B_J45;H_J45;2_J45;B_H;B_2;H_2;J45_B_2_Bulk;40
146;J45    B S3.1;J45;B;H;3;Bulk;B_J45;H_J45;3_J45;B_H;B_3;H_3;J45_B_3_Bulk;41
147;J45    B S3.2;J45;B;H;3;Bulk;B_J45;H_J45;3_J45;B_H;B_3;H_3;J45_B_3_Bulk;42
148;J45    B S3.3;J45;B;H;3;Bulk;B_J45;H_J45;3_J45;B_H;B_3;H_3;J45_B_3_Bulk;43
149;J45    B S3.4;J45;B;H;3;Bulk;B_J45;H_J45;3_J45;B_H;B_3;H_3;J45_B_3_Bulk;44
150;J45    B S3.5;J45;B;H;3;Bulk;B_J45;H_J45;3_J45;B_H;B_3;H_3;J45_B_3_Bulk;45
151;J45    C S1.1;J45;C;H;1;Bulk;C_J45;H_J45;1_J45;C_H;C_1;H_1;J45_C_1_Bulk;46
152;J45    C S1.2;J45;C;H;1;Bulk;C_J45;H_J45;1_J45;C_H;C_1;H_1;J45_C_1_Bulk;47
153;J45    C S1.3;J45;C;H;1;Bulk;C_J45;H_J45;1_J45;C_H;C_1;H_1;J45_C_1_Bulk;48
154;J45    C S1.4;J45;C;H;1;Bulk;C_J45;H_J45;1_J45;C_H;C_1;H_1;J45_C_1_Bulk;49
155;J45    C S1.5;J45;C;H;1;Bulk;C_J45;H_J45;1_J45;C_H;C_1;H_1;J45_C_1_Bulk;50
156;J45    C S2.1;J45;C;H;2;Bulk;C_J45;H_J45;2_J45;C_H;C_2;H_2;J45_C_2_Bulk;51
157;J45    C S2.2;J45;C;H;2;Bulk;C_J45;H_J45;2_J45;C_H;C_2;H_2;J45_C_2_Bulk;52
158;J45    C S2.3;J45;C;H;2;Bulk;C_J45;H_J45;2_J45;C_H;C_2;H_2;J45_C_2_Bulk;53
159;J45    C S2.4;J45;C;H;2;Bulk;C_J45;H_J45;2_J45;C_H;C_2;H_2;J45_C_2_Bulk;54
160;J45    C S2.5;J45;C;H;2;Bulk;C_J45;H_J45;2_J45;C_H;C_2;H_2;J45_C_2_Bulk;55
161;J45    C S3.1;J45;C;H;3;Bulk;C_J45;H_J45;3_J45;C_H;C_3;H_3;J45_C_3_Bulk;56
162;J45    C S3.2;J45;C;H;3;Bulk;C_J45;H_J45;3_J45;C_H;C_3;H_3;J45_C_3_Bulk;57
163;J45    C S3.3;J45;C;H;3;Bulk;C_J45;H_J45;3_J45;C_H;C_3;H_3;J45_C_3_Bulk;58
164;J45    C S3.4;J45;C;H;3;Bulk;C_J45;H_J45;3_J45;C_H;C_3;H_3;J45_C_3_Bulk;59
165;J45    C S3.5;J45;C;H;3;Bulk;C_J45;H_J45;3_J45;C_H;C_3;H_3;J45_C_3_Bulk;60
166;J45    D S1.1;J45;D;L;1;Bulk;D_J45;L_J45;1_J45;D_L;D_1;L_1;J45_D_1_Bulk;61
167;J45    D S1.2;J45;D;L;1;Bulk;D_J45;L_J45;1_J45;D_L;D_1;L_1;J45_D_1_Bulk;62
168;J45    D S1.3;J45;D;L;1;Bulk;D_J45;L_J45;1_J45;D_L;D_1;L_1;J45_D_1_Bulk;63
169;J45    D S1.4;J45;D;L;1;Bulk;D_J45;L_J45;1_J45;D_L;D_1;L_1;J45_D_1_Bulk;64
170;J45    D S1.5;J45;D;L;1;Bulk;D_J45;L_J45;1_J45;D_L;D_1;L_1;J45_D_1_Bulk;65
171;J45    D S2.1;J45;D;L;2;Bulk;D_J45;L_J45;2_J45;D_L;D_2;L_2;J45_D_2_Bulk;66
172;J45    D S2.2;J45;D;L;2;Bulk;D_J45;L_J45;2_J45;D_L;D_2;L_2;J45_D_2_Bulk;67
173;J45    D S2.3;J45;D;L;2;Bulk;D_J45;L_J45;2_J45;D_L;D_2;L_2;J45_D_2_Bulk;68
174;J45    D S2.4;J45;D;L;2;Bulk;D_J45;L_J45;2_J45;D_L;D_2;L_2;J45_D_2_Bulk;69
175;J45    D S2.5;J45;D;L;2;Bulk;D_J45;L_J45;2_J45;D_L;D_2;L_2;J45_D_2_Bulk;70
176;J45    D S3.1;J45;D;L;3;Bulk;D_J45;L_J45;3_J45;D_L;D_3;L_3;J45_D_3_Bulk;71
177;J45    D S3.2;J45;D;L;3;Bulk;D_J45;L_J45;3_J45;D_L;D_3;L_3;J45_D_3_Bulk;72
178;J45    D S3.3;J45;D;L;3;Bulk;D_J45;L_J45;3_J45;D_L;D_3;L_3;J45_D_3_Bulk;73
179;J45    D S3.4;J45;D;L;3;Bulk;D_J45;L_J45;3_J45;D_L;D_3;L_3;J45_D_3_Bulk;74
180;J45    D S3.5;J45;D;L;3;Bulk;D_J45;L_J45;3_J45;D_L;D_3;L_3;J45_D_3_Bulk;75
181;J45    E S1.1;J45;E;L;1;Bulk;E_J45;L_J45;1_J45;E_L;E_1;L_1;J45_E_1_Bulk;76
182;J45    E S1.2;J45;E;L;1;Bulk;E_J45;L_J45;1_J45;E_L;E_1;L_1;J45_E_1_Bulk;77
183;J45    E S1.3;J45;E;L;1;Bulk;E_J45;L_J45;1_J45;E_L;E_1;L_1;J45_E_1_Bulk;78
184;J45    E S1.4;J45;E;L;1;Bulk;E_J45;L_J45;1_J45;E_L;E_1;L_1;J45_E_1_Bulk;79
185;J45    E S1.5;J45;E;L;1;Bulk;E_J45;L_J45;1_J45;E_L;E_1;L_1;J45_E_1_Bulk;80
186;J45    E S2.1;J45;E;L;2;Bulk;E_J45;L_J45;2_J45;E_L;E_2;L_2;J45_E_2_Bulk;81
187;J45    E S2.2;J45;E;L;2;Bulk;E_J45;L_J45;2_J45;E_L;E_2;L_2;J45_E_2_Bulk;82
188;J45    E S2.3;J45;E;L;2;Bulk;E_J45;L_J45;2_J45;E_L;E_2;L_2;J45_E_2_Bulk;83
189;J45    E S2.4;J45;E;L;2;Bulk;E_J45;L_J45;2_J45;E_L;E_2;L_2;J45_E_2_Bulk;84
190;J45    E S2.5;J45;E;L;2;Bulk;E_J45;L_J45;2_J45;E_L;E_2;L_2;J45_E_2_Bulk;85
191;J45    E S3.1;J45;E;L;3;Bulk;E_J45;L_J45;3_J45;E_L;E_3;L_3;J45_E_3_Bulk;86
192;J45    E S3.2;J45;E;L;3;Bulk;E_J45;L_J45;3_J45;E_L;E_3;L_3;J45_E_3_Bulk;87
193;J45    E S3.3;J45;E;L;3;Bulk;E_J45;L_J45;3_J45;E_L;E_3;L_3;J45_E_3_Bulk;88
194;J45    E S3.4;J45;E;L;3;Bulk;E_J45;L_J45;3_J45;E_L;E_3;L_3;J45_E_3_Bulk;89
195;J45    E S3.5;J45;E;L;3;Bulk;E_J45;L_J45;3_J45;E_L;E_3;L_3;J45_E_3_Bulk;90
196;J90    Ni S1.1;J90;Ni;Ni;1;Bulk;Ni_J90;Ni_J90;1_J90;Ni_Ni;Ni_1;Ni_1;J90_Ni_1_Bulk;1
197;J90    Ni S1.2;J90;Ni;Ni;1;Bulk;Ni_J90;Ni_J90;1_J90;Ni_Ni;Ni_1;Ni_1;J90_Ni_1_Bulk;2
198;J90    Ni S1.3;J90;Ni;Ni;1;Bulk;Ni_J90;Ni_J90;1_J90;Ni_Ni;Ni_1;Ni_1;J90_Ni_1_Bulk;3
199;J90    Ni S1.4;J90;Ni;Ni;1;Bulk;Ni_J90;Ni_J90;1_J90;Ni_Ni;Ni_1;Ni_1;J90_Ni_1_Bulk;4
200;J90    Ni S1.5;J90;Ni;Ni;1;Bulk;Ni_J90;Ni_J90;1_J90;Ni_Ni;Ni_1;Ni_1;J90_Ni_1_Bulk;5
201;J90    Ni S2.1;J90;Ni;Ni;2;Bulk;Ni_J90;Ni_J90;2_J90;Ni_Ni;Ni_2;Ni_2;J90_Ni_2_Bulk;6
