DSAMP,PLOT,CHAMBER,TIME_POINT,time,fertilization,irrigation,N2O_ppm,N2O_umol_per_L,flux_nmol_m2_per_s
4/5/22,1,1,1,0,CONMIN,control,0.367176429,0.015346608,5.819
4/5/22,1,1,2,1200,CONMIN,control,0.67029675,0.028015909,
4/5/22,1,1,3,2400,CONMIN,control,1.564432448,0.065387453,
4/5/22,1,1,4,3600,CONMIN,control,2.47005969,0.1032393,
4/5/22,2,2,1,0,CONMIN,drought,0.357776315,0.014937773,0.329
4/5/22,2,2,2,1200,CONMIN,drought,0.379836734,0.015858833,
4/5/22,2,2,3,2400,CONMIN,drought,0.422624848,0.01764531,
4/5/22,2,2,4,3600,CONMIN,drought,0.476651677,0.019901023,
4/5/22,3,3,1,0,BIODYN,control,0.344804992,0.014411565,0.051
4/5/22,3,3,2,1200,BIODYN,control,0.347070738,0.014506265,
4/5/22,3,3,3,2400,BIODYN,control,0.345397541,0.014436331,
4/5/22,3,3,4,3600,BIODYN,control,0.366492353,0.015318016,
4/5/22,4,4,1,0,BIODYN,drought,0.341738033,0.014268147,-0.053
4/5/22,4,4,2,1200,BIODYN,drought,0.433172269,0.018085683,
4/5/22,4,4,3,2400,BIODYN,drought,0.347509982,0.014509136,
4/5/22,4,4,4,3600,BIODYN,drought,0.348604656,0.014554841,
4/5/22,5,5,1,0,CONFYM,control,0.34539057,0.01443604,2.612
4/5/22,5,5,2,1200,CONFYM,control,0.673854069,0.028164592,
4/5/22,5,5,3,2400,CONFYM,control,1.036506206,0.043322101,
4/5/22,5,5,4,3600,CONFYM,control,1.39963443,0.058499509,
4/5/22,6,6,1,0,CONFYM,drought,0.348339696,0.014543778,-0.011
4/5/22,6,6,2,1200,CONFYM,drought,0.361341736,0.015086636,
4/5/22,6,6,3,2400,CONFYM,drought,0.345606681,0.01442967,
4/5/22,6,6,4,3600,CONFYM,drought,0.349002103,0.014571435,
4/5/22,7,7,1,0,CONFYM,control,0.391758184,0.016374034,4.226
4/5/22,7,7,2,1200,CONFYM,control,0.875315734,0.036584939,
4/5/22,7,7,3,2400,CONFYM,control,1.429711039,0.059756599,
4/5/22,7,7,4,3600,CONFYM,control,1.880052147,0.078579181,
4/5/22,8,8,1,0,CONFYM,drought,0.39868686,0.016645858,-0.092
4/5/22,8,8,2,1200,CONFYM,drought,0.344533124,0.014384847,
4/5/22,8,8,3,2400,CONFYM,drought,0.369117118,0.015411271,
4/5/22,8,8,4,3600,CONFYM,drought,0.348939348,0.014568815,
4/5/22,9,9,1,0,CONMIN,control,0.344330969,0.014391753,2.178
4/5/22,9,9,2,1200,CONMIN,control,0.619895593,0.025909328,
4/5/22,9,9,3,2400,CONMIN,control,0.930226348,0.038879999,
4/5/22,9,9,4,3600,CONMIN,control,1.139660107,0.04763355,
4/5/22,10,10,1,0,CONMIN,drought,0.369026362,0.015407482,-0.043
4/5/22,10,10,2,1200,CONMIN,drought,0.345230231,0.014413953,
4/5/22,10,10,3,2400,CONMIN,drought,0.348500066,0.014550474,
4/5/22,10,10,4,3600,CONMIN,drought,0.349559941,0.014594726,
4/5/22,11,11,1,0,BIODYN,control,0.34345964,0.014355334,0.017
4/5/22,11,11,2,1200,BIODYN,control,0.344658601,0.014405447,
4/5/22,11,11,3,2400,BIODYN,control,0.347893458,0.014540652,
4/5/22,11,11,4,3600,BIODYN,control,0.349308912,0.014599812,
4/5/22,12,12,1,0,BIODYN,drought,0.339953894,0.014193657,0.015
4/5/22,12,12,2,1200,BIODYN,drought,0.343257498,0.014331588,
4/5/22,12,12,3,2400,BIODYN,drought,0.343522374,0.014342647,
4/5/22,12,12,4,3600,BIODYN,drought,0.346150458,0.014452374,
4/5/22,13,13,1,0,BIODYN,control,0.344686485,0.014406612,-0.006
4/5/22,13,13,2,1200,BIODYN,control,0.371442047,0.015524895,
4/5/22,13,13,3,2400,BIODYN,control,0.350145692,0.014634787,
4/5/22,13,13,4,3600,BIODYN,control,0.349399561,0.014603601,
4/5/22,14,14,1,0,BIODYN,drought,0.342581388,0.014303359,0.018
4/5/22,14,14,2,1200,BIODYN,drought,0.343933637,0.014359818,
4/5/22,14,14,3,2400,BIODYN,drought,0.348465203,0.014549018,
4/5/22,14,14,4,3600,BIODYN,drought,0.34856282,0.014553094,
4/5/22,15,15,1,0,CONMIN,control,0.341494096,0.014273182,0.404
4/5/22,15,15,2,1200,CONMIN,control,0.394708319,0.016497338,
4/5/22,15,15,3,2400,CONMIN,control,0.446865554,0.018677317,
4/5/22,15,15,4,3600,CONMIN,control,0.505704873,0.021136581,
4/5/22,16,16,1,0,CONMIN,drought,0.34704285,0.014489633,0.013
4/5/22,16,16,2,1200,CONMIN,drought,0.349246155,0.014581624,
4/5/22,16,16,3,2400,CONMIN,drought,0.349964386,0.014611612,
4/5/22,16,16,4,3600,CONMIN,drought,0.352202959,0.014705076,
4/5/22,17,17,1,0,CONFYM,control,0.343159913,0.014342807,0.627
4/5/22,17,17,2,1200,CONFYM,control,0.344979269,0.014418849,
4/5/22,17,17,3,2400,CONFYM,control,0.497854901,0.020808482,
4/5/22,17,17,4,3600,CONFYM,control,0.574170835,0.023998204,
4/5/22,18,18,1,0,CONFYM,drought,0.342351378,0.014293756,0.025
4/5/22,18,18,2,1200,CONFYM,drought,0.347719149,0.014517869,
4/5/22,18,18,3,2400,CONFYM,drought,0.350417655,0.014630537,
4/5/22,18,18,4,3600,CONFYM,drought,0.352844601,0.014731866,
4/5/22,19,19,1,0,CONFYM,control,0.354992889,0.014837381,0.502
4/5/22,19,19,2,1200,CONFYM,control,0.417052268,0.017431232,
4/5/22,19,19,3,2400,CONFYM,control,0.490400956,0.020496934,
4/5/22,19,19,4,3600,CONFYM,control,0.542107106,0.022658059,
4/5/22,20,20,1,0,CONFYM,drought,0.34584371,0.014439567,0.013
4/5/22,20,20,2,1200,CONFYM,drought,0.343633902,0.014347303,
4/5/22,20,20,3,2400,CONFYM,drought,0.348283915,0.014541449,
4/5/22,20,20,4,3600,CONFYM,drought,0.349706377,0.014600839,
4/5/22,21,21,1,0,BIODYN,control,0.343633902,0.014362618,0.028
4/5/22,21,21,2,1200,BIODYN,control,0.344561008,0.014401368,
4/5/22,21,21,3,2400,BIODYN,control,0.351791485,0.014703575,
4/5/22,21,21,4,3600,BIODYN,control,0.353437444,0.01477237,
4/5/22,22,22,1,0,BIODYN,drought,0.345202346,0.014412788,-0.001
4/5/22,22,22,2,1200,BIODYN,drought,0.347600621,0.014512921,
4/5/22,22,22,3,2400,BIODYN,drought,0.343236587,0.014330715,
