"","GWC_g_g","TS","NH4","NO3","Nmin_tot","C_tot","N_tot","pH","K_mgkg","Mg_mgkg","P_mgkg","AOA_Richness","AOA_Shannon","AOA_InvSimpson"
"S1",0.338,74.7,3.5,7.1,10.7,1.47,0.152,6.54,9.9,159,1.1,100,4.01373268436466,40.0176157669835
"S2",0.095,91.3,11,13.6,24.7,1.44,0.151,6.08,10,152,1.6,107,3.76386903069208,22.8152650501698
"S3",0.344,74.4,0.9,9.5,10.3,1.67,0.171,6.92,11,134,1.2,106,4.0925149119137,42.8696413765721
"S4",0.13,88.5,0.5,9.9,10.4,1.69,0.174,6.77,11.6,131,1.1,92,3.93951365681987,36.3379146849063
"S5",0.345,74.4,5.8,4.8,10.6,1.46,0.151,6.16,9.6,115,1.8,60,3.17470972584487,14.657576525876
"S6",0.105,90.5,7,13,20,1.55,0.164,6.25,14.9,123,2.1,78,3.35675845058086,13.9609623827968
"S7",0.331,75.1,4.1,3.4,7.5,1.5,0.154,6.16,9,109,2.1,82,3.28989424675351,12.7046820763238
"S8",0.096,91.3,9.2,15.3,24.5,1.48,0.155,6.07,9.9,115,1.4,54,2.89480489642026,8.28123745200745
"S9",0.305,76.6,5.7,4.4,10.1,1.2,0.124,5.97,5.1,140,0.9,63,3.03317952590764,11.5359845895926
"S10",0.091,91.7,15.4,25.5,40.9,1.2,0.128,6.15,8.8,157,1.1,61,3.07520929921494,11.6347178996343
"S11",0.323,75.6,1.4,8.9,10.4,1.64,0.171,6.82,12.2,141,1.8,89,3.8225301473904,29.7861692373851
"S12",0.126,88.8,0.3,8.9,9.1,1.67,0.175,6.83,13.7,129,1.2,106,4.13945984848177,46.7724924351011
"S13",0.323,75.6,2,5.4,7.5,1.64,0.176,6.78,7.6,122,0.8,96,3.96329781195624,35.5746610719719
"S14",0.138,87.8,0.8,9.2,10,1.79,0.188,6.87,12.9,139,1.3,92,3.92771033777424,33.448343097683
"S15",0.324,75.5,5.4,1.9,7.2,1.33,0.136,5.86,9.3,140,1,61,2.96084364803558,9.23385106837876
"S16",0.121,89.2,11.7,15.4,27.1,1.21,0.129,5.72,8.5,144,0.8,65,2.87608868582692,8.82186520366759
"S17",0.314,76.1,6.9,7.5,14.4,1.43,0.148,5.67,10.3,123,1.5,58,2.89978271831298,9.86114028607884
"S18",0.098,91.1,7.7,11.3,19,1.39,0.145,5.99,8.2,106,1.1,48,2.84017854449042,9.81283721924848
"S19",0.307,76.5,5,5.4,10.5,1.54,0.155,5.9,7.7,106,1.4,102,3.91252922661438,30.8271906621321
"S20",0.087,92,14.1,21.5,35.6,1.38,0.145,6.3,16.1,118,2,88,3.55774423243311,15.4449495448837
"S21",0.351,74,0.6,13,13.6,1.89,0.203,6.75,7.6,156,0.7,78,3.82475413822776,32.0117197207846
"S22",0.166,85.8,0,13.4,13.4,2.13,0.232,6.74,8.2,164,0.8,72,3.82579343214752,33.2512646791089
"S23",0.314,76.1,1.7,7.1,8.8,1.72,0.191,6.05,6.7,183,1,78,3.5369581425719,20.3983252624765
"S24",0.148,87.1,10,40,50,1.7,0.192,6.23,7.5,179,0.7,94,4.00517269962931,38.7093155061606
"S25",0.184,84.4,1.3,10.1,11.4,1.47,0.162,6.58,8.2,152,0.9,104,4.03538059712621,39.4677790440149
"S26",0.079,92.7,20.9,39.8,60.8,1.45,0.168,6.16,12.6,171,1.5,80,3.60616053314042,20.4164764179669
"S27",0.213,82.4,0.2,12.2,12.5,1.68,0.184,6.9,10.2,136,0.9,88,3.97379592400649,41.229984781864
"S28",0.088,91.9,0.1,9.7,9.7,1.74,0.19,6.7,13,129,1.3,69,3.73221378790373,31.0903562929275
"S29",0.172,85.3,2.1,9.1,11.2,1.38,0.154,6.15,7.2,109,1.2,67,3.12443590325186,12.2376283831309
"S30",0.075,93,16.5,28.4,44.9,1.51,0.173,6.31,22.8,118,2.6,75,3.47287542349654,17.209957339084
"S31",0.218,82.1,1.6,10.9,12.5,1.57,0.17,6.19,6.1,108,1.3,72,3.20755462112128,11.872025975118
"S32",0.066,93.8,28.7,62.1,90.8,1.48,0.175,6.18,14.9,125,1.4,69,2.88590766095376,7.21600509496047
"S33",0.184,84.4,4.8,7.6,12.5,1.18,0.131,6.08,3.7,149,0.6,52,2.84342327120035,9.52063269357698
"S34",0.066,93.8,32.5,63,95.5,1.28,0.154,6.03,16.9,164,1.3,68,3.02906103949741,10.2857639185613
