"","GWC_g_g","TS","NH4","NO3","Nmin_tot","C_tot","N_tot","pH","K_mgkg","Mg_mgkg","P_mgkg","AOB_Richness","AOB_Shannon","AOB_InvSimpson"
"S1",0.338,74.7,3.5,7.1,10.7,1.47,0.152,6.54,9.9,159,1.1,49,3.16883921777397,15.8308193184226
"S2",0.095,91.3,11,13.6,24.7,1.44,0.151,6.08,10,152,1.6,27,2.54324187071472,7.94933010882709
"S3",0.344,74.4,0.9,9.5,10.3,1.67,0.171,6.92,11,134,1.2,21,2.53308828015407,8.13698250339139
"S4",0.13,88.5,0.5,9.9,10.4,1.69,0.174,6.77,11.6,131,1.1,41,3.02064794056476,12.7721790488032
"S5",0.345,74.4,5.8,4.8,10.6,1.46,0.151,6.16,9.6,115,1.8,63,3.51369554382066,23.6077451233876
"S6",0.105,90.5,7,13,20,1.55,0.164,6.25,14.9,123,2.1,33,2.85911789833221,10.7262830888112
"S7",0.331,75.1,4.1,3.4,7.5,1.5,0.154,6.16,9,109,2.1,29,2.43649081660846,6.25280202095524
"S8",0.096,91.3,9.2,15.3,24.5,1.48,0.155,6.07,9.9,115,1.4,63,3.33399426523276,14.2382742787837
"S9",0.305,76.6,5.7,4.4,10.1,1.2,0.124,5.97,5.1,140,0.9,44,3.32192887060339,19.5197510629706
"S10",0.091,91.7,15.4,25.5,40.9,1.2,0.128,6.15,8.8,157,1.1,64,3.57848824356231,22.4414768692993
"S12",0.126,88.8,0.3,8.9,9.1,1.67,0.175,6.83,13.7,129,1.2,31,3.05424799582621,16.7368378174708
"S13",0.323,75.6,2,5.4,7.5,1.64,0.176,6.78,7.6,122,0.8,44,3.09316484101254,13.910015742167
"S14",0.138,87.8,0.8,9.2,10,1.79,0.188,6.87,12.9,139,1.3,43,2.84779416208218,8.47999091903494
"S15",0.324,75.5,5.4,1.9,7.2,1.33,0.136,5.86,9.3,140,1,56,3.16964797813801,13.3208299562328
"S16",0.121,89.2,11.7,15.4,27.1,1.21,0.129,5.72,8.5,144,0.8,84,3.64925762309713,21.0346840044027
"S17",0.314,76.1,6.9,7.5,14.4,1.43,0.148,5.67,10.3,123,1.5,99,3.89861224587846,28.6988195851086
"S18",0.098,91.1,7.7,11.3,19,1.39,0.145,5.99,8.2,106,1.1,67,3.573304706975,22.7075078062395
"S19",0.307,76.5,5,5.4,10.5,1.54,0.155,5.9,7.7,106,1.4,60,3.41860462764993,17.0338080135978
"S20",0.087,92,14.1,21.5,35.6,1.38,0.145,6.3,16.1,118,2,114,3.56725459851111,13.2116077170418
"S21",0.351,74,0.6,13,13.6,1.89,0.203,6.75,7.6,156,0.7,46,3.01876928515827,11.7050109677236
"S22",0.166,85.8,0,13.4,13.4,2.13,0.232,6.74,8.2,164,0.8,40,2.9941047585084,13.309610961744
"S23",0.314,76.1,1.7,7.1,8.8,1.72,0.191,6.05,6.7,183,1,74,3.6099191291711,22.4133209687977
"S24",0.148,87.1,10,40,50,1.7,0.192,6.23,7.5,179,0.7,62,3.50568717479884,21.6966864686469
"S25",0.184,84.4,1.3,10.1,11.4,1.47,0.162,6.58,8.2,152,0.9,83,3.61227858868185,19.5601732838237
"S26",0.079,92.7,20.9,39.8,60.8,1.45,0.168,6.16,12.6,171,1.5,84,3.52038674951771,17.8461571872217
"S27",0.213,82.4,0.2,12.2,12.5,1.68,0.184,6.9,10.2,136,0.9,51,2.96131618592844,10.4711069203226
"S28",0.088,91.9,0.1,9.7,9.7,1.74,0.19,6.7,13,129,1.3,31,2.70496779334105,9.16418909123351
"S29",0.172,85.3,2.1,9.1,11.2,1.38,0.154,6.15,7.2,109,1.2,73,3.44433474714894,14.8501364367421
"S30",0.075,93,16.5,28.4,44.9,1.51,0.173,6.31,22.8,118,2.6,95,3.85748137855458,24.6007065022153
"S31",0.218,82.1,1.6,10.9,12.5,1.57,0.17,6.19,6.1,108,1.3,79,3.31916321154319,10.7514031897217
"S32",0.066,93.8,28.7,62.1,90.8,1.48,0.175,6.18,14.9,125,1.4,102,3.77621407705973,19.8541193525006
"S33",0.184,84.4,4.8,7.6,12.5,1.18,0.131,6.08,3.7,149,0.6,95,4.01322789714423,38.9165561659405
"S34",0.066,93.8,32.5,63,95.5,1.28,0.154,6.03,16.9,164,1.3,89,3.44760890069971,11.7243829362249
"S35",0.179,84.8,0.1,12.1,12.2,1.57,0.175,6.69,10.7,128,1.3,23,2.57066856444592,9.12257992895204
"S36",0.089,91.8,0.1,7.2,7.3,1.64,0.181,6.76,12.6,137,1.1,72,3.49745501223411,18.8421342260335
"S37",0.191,84,0.2,11.3,11.6,1.59,0.175,6.76,13.5,137,1.4,60,3.20089005134045,13.5360819647828
"S38",0.095,91.4,0.2,9.6,9.8,1.75,0.194,6.74,9.5,146,1.1,41,2.833581869954,9.37036192387512
"S39",0.208,82.7,2.6,3.1,5.8,1.27,0.142,5.82,5.9,146,0.7,71,3.65268290921433,26.2904949291359
"S40",0.082,92.4,7.5,15.2,22.8,1.15,0.133,5.68,9.2,143,0.9,53,3.16265045320507,14.2671967776659
"S41",0.185,84.4,3.4,7.1,10.5,1.42,0.39,6.16,8.8,126,1.2,114,3.87493742405348,26.988144109823
"S42",0.078,92.8,15.1,27,42.1,1.47,0.167,6.17,10.5,123,1.3,61,2.72552170597152,6.27543547487953
"S43",0.191,83.9,3.3,5.4,8.7,1.42,0.158,6.18,6.4,112,1.5,109,3.85162203982812,20.2739002787852
"S44",0.073,93.2,19.7,39.2,58.9,1.36,0.157,6.31,14.1,115,1.6,97,3.7386242109948,23.507795291358
"S45",0.211,82.6,0.2,13.3,13.5,1.86,0.209,6.8,6.9,170,0.6,64,3.19634509674851,13.3437581189919
"S46",0.121,89.2,0.7,11.5,12.2,2.2,0.246,6.61,9.5,173,1.1,46,3.05971454865163,13.0157437911809
"S47",0.098,91.1,2.8,7.8,10.6,1.75,0.201,6.11,5.3,187,1,76,3.63393897656244,22.5839448154561
"S48",0.108,90.2,21,61.5,82.5,1.76,0.215,6.28,14.4,195,1.1,60,3.30922347611457,16.7655207589513
"S49",0.263,79.2,0.4,8.1,8.5,1.42,0.158,6.53,9.6,149,0.8,96,3.71035895304456,21.180524769318
"S50",0.054,94.9,7.1,14.2,21.3,1.47,0.163,6.11,10.4,161,1.6,94,3.68247565418491,22.4304509225898
"S51",0.272,78.6,0.2,15.7,15.8,1.74,0.19,7.07,18,152,1.2,63,3.23825699494664,15.5914317155542
"S52",0.063,94.1,1.8,7.8,9.6,1.76,0.191,6.8,16.2,127,1.5,17,2.32882759407988,7.12734936728623
"S53",0.277,78.3,1.5,8.7,10.2,1.41,0.157,6.04,8.5,107,1.4,80,3.3337816219724,12.5247595677554
"S54",0.062,94.2,13.5,30.5,44,1.45,0.167,6.24,12.9,120,1.1,90,3.65485479505728,20.5800651139494
"S55",0.276,78.4,1,8.1,9.1,1.48,0.165,6.19,7.6,109,1,55,3.11617260641629,11.9208239646043
"S56",0.047,95.5,11.8,23.5,35.3,1.51,0.168,6.26,16.8,136,1.6,91,3.68072118312964,22.3481004052106
"S57",0.253,79.8,1.6,5.1,6.7,1.23,0.134,6.08,5.2,155,0.8,77,3.08573060848658,9.55170690316507
"S58",0.056,94.7,5.1,13.3,18.4,1.17,0.133,6.12,6.4,146,0.9,105,3.66441248186803,18.2638129528382
"S59",0.262,79.2,0.1,13.1,13.1,1.63,0.179,6.76,13,130,1.1,62,3.20817343347032,14.6614926225267
"S60",0.063,94.1,0.7,3.5,4.2,1.63,0.182,6.88,12.9,126,1.1,54,3.19198260655315,15.7573584399149
"S61",0.287,77.7,0.1,12.9,12.9,1.65,0.186,6.75,9,123,0.7,69,3.24302889598419,13.1047889390339
"S62",0.087,92,0.3,8.7,9,1.72,0.193,6.74,8.7,133,1.1,50,3.0074934229887,11.5165300259267
"S63",0.294,77.3,1.8,4.2,6,1.26,0.14,5.88,8.5,147,0.7,75,3.51151394472125,17.7682112045666
"S64",0.076,93,4.2,9.1,13.3,1.21,0.139,5.74,6.6,153,0.6,81,3.48052593784936,16.3352681588677
"S65",0.278,78.2,1.5,12.2,13.7,1.37,0.155,6.04,12.3,118,1.2,82,3.69197556214261,21.5374656008387
"S66",0.084,92.3,6.4,17.6,24,1.45,0.165,6.03,12.3,114,1.9,70,3.2501619579426,11.9954748489183
"S67",0.259,79.4,0.6,10,10.5,1.46,0.163,6.24,8,110,1.2,97,3.67095856649651,20.4892412795771
"S68",0.055,94.8,8.8,12.4,21.2,1.35,0.153,6.2,10,110,1.3,90,3.5808363596506,19.3251181713426
"S69",0.294,77.3,0.1,18,18,1.89,0.215,6.77,8.1,179,0.8,56,3.2019361330109,14.3054453032519
"S70",0.105,90.5,0,11.5,11.5,2.11,0.242,6.74,8.5,183,1.1,55,3.18039604477445,14.3151641843045
"S71",0.296,77.1,0.5,8.6,9,1.69,0.199,6.05,4.9,198,0.9,88,3.86042241935109,29.6986628117094
"S72",0.091,91.7,10.3,31.8,42,1.79,0.212,6.2,8.1,193,1.2,91,3.65141438107915,22.6780549729551
"S73",0.237,80.8,0.1,14,14.1,1.46,0.163,6.71,9.2,156,1,91,3.59885303712428,20.2494209255335
"S74",0.174,85.2,18.2,58.7,76.9,1.42,0.17,6.19,21.2,170,1.6,69,3.26497758985991,12.0307737354513
"S75",0.255,79.7,0.1,16.4,16.4,1.65,0.185,6.96,12.6,136,0.9,48,2.97598202827971,12.9570496042383
"S76",0.192,83.9,0,25.8,25.8,1.71,0.187,6.88,17.2,132,1.3,68,3.30034024253467,14.2175816190592
"S77",0.262,79.2,0.5,15.5,15.9,1.45,0.164,6.19,10.6,116,1.5,86,3.66938132983979,20.4713766130238
"S78",0.161,86.2,13.4,57.9,71.2,1.49,0.177,6.17,13.9,118,1,85,3.42376707105463,12.4296583122835
"S79",0.243,80.4,0.6,12.9,13.6,1.41,0.161,6.17,7.6,110,1.1,83,3.52151070791971,16.1866136148755
"S80",0.167,85.7,16.9,55.7,72.6,1.53,0.173,6.08,14.9,124,1.4,88,3.48694255524237,15.7368390815604
"S81",0.286,77.8,0.9,8,8.9,1.11,0.128,5.9,4.7,147,0.5,97,3.92862955623845,34.8706611219554
"S82",0.162,86.1,10.9,42,52.9,1.24,0.145,5.92,10.5,157,1.3,94,3.64095600897837,18.2443497180409
"S83",0.266,79,0,17.7,17.7,1.58,0.179,6.88,20.2,131,1.6,54,3.14235022520297,11.7429800368682
"S84",0.184,84.5,0,26,26,1.64,0.185,6.95,22.4,132,1.5,57,3.14599727258488,15.0503104338748
"S85",0.281,78.1,0.6,26,26.5,1.77,0.201,6.76,17.8,142,1.5,60,3.37932555366578,17.0539575810401
"S86",0.175,85.1,0.4,25.2,25.6,1.83,0.205,6.88,16.1,149,1.4,38,2.90900948337843,10.1694407662702
"S87",0.212,82.5,3.7,9.1,12.8,1.21,0.14,5.82,7.5,142,0.7,26,2.32581779381655,6.60002088202459
"S88",0.155,86.6,21,46.1,67.2,1.2,0.145,5.58,14.5,142,0.8,53,3.35014123709528,19.0544670392098
"S89",0.248,80.1,3,14.4,17.5,1.42,0.161,6.01,10.8,124,1,58,3.20423810551436,11.3970569879201
"S90",0.156,86.5,16.2,40.5,56.6,1.37,0.164,5.87,10.8,118,1.3,52,3.08545112436256,12.1039592293643
"S91",0.239,80.7,1.3,12.4,13.8,1.44,0.163,6.28,8.1,109,1,62,3.3080582731133,15.9098952585623
"S92",0.159,86.3,12.7,38.7,51.4,1.34,0.158,6.19,10.7,110,1,82,3.44016112462554,12.3832070041139
"S93",0.29,77.5,0.3,19.3,19.6,1.91,0.216,6.75,8.2,164,1.3,59,3.18962996881764,14.2244724861955
"S94",0.195,83.7,0,25.9,25.9,2.17,0.249,6.69,8.5,173,0.7,30,2.92078963854885,13.1813034342268
"S95",0.254,79.7,0.8,9,9.8,1.72,0.202,5.99,4.9,195,1.2,65,3.40236928482971,18.8076350902891
"S96",0.184,84.4,12.7,58.1,70.8,1.78,0.215,6.13,8.7,193,0.7,76,3.52524699075505,20.0332033154559
"S97",0.283,77.9,0.7,9.9,10.5,1.45,0.163,6.57,12.5,162,1.1,73,3.60249713691915,22.9484766399509
"S98",0.304,76.7,1.8,6.6,8.4,1.41,0.159,6.3,8.3,152,1.1,68,3.36615942942118,14.9240324718958
"S99",0.286,77.7,0.2,14.8,15,1.75,0.194,6.91,14.9,141,1.8,41,2.92658580498287,11.2911966363924
"S100",0.281,78.1,1.3,21.4,22.7,1.75,0.193,6.94,19.3,137,1.3,48,3.11737044145669,13.7271482025925
"S101",0.317,75.9,1.7,12,13.7,1.41,0.16,6.21,12.3,117,1.7,107,3.91071206693953,26.8945180821469
"S102",0.276,78.4,1.4,14.8,16.2,1.5,0.168,6.27,12.8,126,1.7,68,3.52775875543497,17.3734038054968
"S103",0.314,76.1,3.4,9,12.4,1.55,0.167,6.39,13.7,117,1.7,64,3.25486647178426,12.8296071941547
"S104",0.267,78.9,1.1,7.6,8.7,1.41,0.161,6.28,9.5,124,1.2,61,3.38359155132536,16.8411107695461
"S105",0.263,79.2,1.9,8.4,10.3,1.25,0.137,6.38,9.2,157,0.8,79,3.7039603881407,25.3442511719714
"S106",0.244,80.4,1.4,9.5,10.9,1.22,0.138,6.13,7.7,153,1.3,81,3.66643762093404,23.41535831315
"S107",0.299,77,0,13.7,13.7,1.6,0.178,6.84,16.9,133,1.8,58,3.0608066294941,9.56671866632518
"S108",0.314,76.1,0,16.8,16.8,1.66,0.187,6.94,16.9,129,1.8,40,3.0466777851666,14.3099293003169
"S109",0.301,76.9,0.1,14.1,14.2,1.71,0.194,6.86,12,131,1.1,55,3.08227519636355,12.2455481544399
"S110",0.299,77,0.1,17.8,17.9,1.9,0.211,6.94,16.8,145,2.2,56,3.05686349754334,10.4743101140781
"S111",0.256,79.6,2.2,13.5,15.7,1.23,0.141,5.93,12.3,144,0.6,81,3.43442187713379,13.8787704779598
"S112",0.246,80.3,2.3,9.7,12,1.28,0.141,5.79,11.5,146,0.9,75,3.13659293391622,10.0824744797801
"S113",0.286,77.8,3.9,10.2,14,1.51,0.166,6.14,18.3,126,1.7,78,3.27320209998674,11.0437038032523
"S114",0.299,77,3.1,10.6,13.7,1.4,0.16,5.99,12,118,1.5,80,3.44795268259568,15.8012921585971
"S115",0.261,79.3,0.8,9.4,10.1,1.39,0.159,6.2,8.1,111,1.3,98,3.64462713683738,17.7566931005424
"S116",0.247,80.2,1.4,11.6,13,1.32,0.15,6.31,12.6,112,1,118,3.81880325725028,20.5455909193189
"S117",0.352,74,0.1,17,17.1,2.01,0.222,6.78,10.7,169,1.1,94,3.79320552882673,27.3966327721287
"S118",0.315,76,0.1,15.4,15.4,2.18,0.247,6.78,8.5,184,1.2,57,3.15473390199744,15.2285311886142
"S119",0.285,77.8,0.4,8.8,9.2,1.74,0.204,6.12,6.4,203,0.9,100,3.86691357194257,29.6697115211034
"S120",0.275,78.4,0.8,10.2,10.9,1.82,0.209,6.23,6.2,190,0.8,69,3.56879323844927,23.2536857296471
