"","GWC_g_g","TS","NH4","NO3","Nmin_tot","C_tot","N_tot","pH","K_mgkg","Mg_mgkg","P_mgkg","COM_Richness","COM_Shannon","COM_InvSimpson"
"S1",0.338,74.7,3.5,7.1,10.7,1.47,0.152,6.54,9.9,159,1.1,64,3.20687165426118,15.4946386199803
"S2",0.095,91.3,11,13.6,24.7,1.44,0.151,6.08,10,152,1.6,55,2.678759554978,8.15869914798302
"S3",0.344,74.4,0.9,9.5,10.3,1.67,0.171,6.92,11,134,1.2,73,3.34801804929842,17.2232749499822
"S4",0.13,88.5,0.5,9.9,10.4,1.69,0.174,6.77,11.6,131,1.1,75,3.39180362492842,18.4252210739756
"S5",0.345,74.4,5.8,4.8,10.6,1.46,0.151,6.16,9.6,115,1.8,46,2.33302505181354,5.64155836690113
"S6",0.105,90.5,7,13,20,1.55,0.164,6.25,14.9,123,2.1,53,2.61226719132775,6.48547088914599
"S7",0.331,75.1,4.1,3.4,7.5,1.5,0.154,6.16,9,109,2.1,33,2.32799917948156,5.67560214510968
"S8",0.096,91.3,9.2,15.3,24.5,1.48,0.155,6.07,9.9,115,1.4,37,2.22132202089282,4.66744008446674
"S9",0.305,76.6,5.7,4.4,10.1,1.2,0.124,5.97,5.1,140,0.9,44,2.30505185224971,6.0823318063256
"S10",0.091,91.7,15.4,25.5,40.9,1.2,0.128,6.15,8.8,157,1.1,56,2.59671373794919,6.4540395755707
"S11",0.323,75.6,1.4,8.9,10.4,1.64,0.171,6.82,12.2,141,1.8,84,3.37652774066471,13.5189368483094
"S12",0.126,88.8,0.3,8.9,9.1,1.67,0.175,6.83,13.7,129,1.2,76,3.49488058528599,20.4440215224003
"S13",0.323,75.6,2,5.4,7.5,1.64,0.176,6.78,7.6,122,0.8,92,3.75692407832749,27.0790398461105
"S14",0.138,87.8,0.8,9.2,10,1.79,0.188,6.87,12.9,139,1.3,76,3.47061791070979,20.4370271645192
"S15",0.324,75.5,5.4,1.9,7.2,1.33,0.136,5.86,9.3,140,1,34,2.26615283007474,6.44878672926165
"S16",0.121,89.2,11.7,15.4,27.1,1.21,0.129,5.72,8.5,144,0.8,34,2.43138911075158,8.37692141195694
"S17",0.314,76.1,6.9,7.5,14.4,1.43,0.148,5.67,10.3,123,1.5,45,2.23551671136254,5.90057230812045
"S18",0.098,91.1,7.7,11.3,19,1.39,0.145,5.99,8.2,106,1.1,44,2.18611391146436,4.8608507004024
"S19",0.307,76.5,5,5.4,10.5,1.54,0.155,5.9,7.7,106,1.4,60,2.92390598393318,10.4523041155626
"S20",0.087,92,14.1,21.5,35.6,1.38,0.145,6.3,16.1,118,2,70,3.0927037318277,11.5779653232772
"S21",0.351,74,0.6,13,13.6,1.89,0.203,6.75,7.6,156,0.7,71,3.23415730012816,15.2468611353402
"S22",0.166,85.8,0,13.4,13.4,2.13,0.232,6.74,8.2,164,0.8,56,3.01110948110629,11.2888275027956
"S23",0.314,76.1,1.7,7.1,8.8,1.72,0.191,6.05,6.7,183,1,33,2.38488417604426,6.19712860390431
"S24",0.148,87.1,10,40,50,1.7,0.192,6.23,7.5,179,0.7,67,3.18571472415957,12.6003721614436
"S25",0.184,84.4,1.3,10.1,11.4,1.47,0.162,6.58,8.2,152,0.9,81,3.48687721083728,20.7985013397115
"S27",0.213,82.4,0.2,12.2,12.5,1.68,0.184,6.9,10.2,136,0.9,72,3.34488968598823,17.1512270509208
"S28",0.088,91.9,0.1,9.7,9.7,1.74,0.19,6.7,13,129,1.3,68,3.38433599514812,17.5904463777022
"S29",0.172,85.3,2.1,9.1,11.2,1.38,0.154,6.15,7.2,109,1.2,43,2.46216241457311,6.37137701741833
"S30",0.075,93,16.5,28.4,44.9,1.51,0.173,6.31,22.8,118,2.6,45,2.6781667651832,6.57811852148342
"S31",0.218,82.1,1.6,10.9,12.5,1.57,0.17,6.19,6.1,108,1.3,57,2.77837350065015,8.56373113964037
"S32",0.066,93.8,28.7,62.1,90.8,1.48,0.175,6.18,14.9,125,1.4,50,2.56283199904859,6.3776440290249
"S33",0.184,84.4,4.8,7.6,12.5,1.18,0.131,6.08,3.7,149,0.6,41,2.37575893519225,7.48000165505046
"S34",0.066,93.8,32.5,63,95.5,1.28,0.154,6.03,16.9,164,1.3,54,2.52112966910232,6.78326627883841
"S35",0.179,84.8,0.1,12.1,12.2,1.57,0.175,6.69,10.7,128,1.3,71,3.47294279841833,19.7818725802295
"S36",0.089,91.8,0.1,7.2,7.3,1.64,0.181,6.76,12.6,137,1.1,64,3.18809048044313,13.6644690320495
"S37",0.191,84,0.2,11.3,11.6,1.59,0.175,6.76,13.5,137,1.4,81,3.58058900226544,23.4861528731015
"S38",0.095,91.4,0.2,9.6,9.8,1.75,0.194,6.74,9.5,146,1.1,70,3.37103617455653,18.1186981813099
"S39",0.208,82.7,2.6,3.1,5.8,1.27,0.142,5.82,5.9,146,0.7,26,2.23000195853398,6.46544710856119
"S40",0.082,92.4,7.5,15.2,22.8,1.15,0.133,5.68,9.2,143,0.9,22,2.19994683964452,6.29582387268391
"S41",0.185,84.4,3.4,7.1,10.5,1.42,0.39,6.16,8.8,126,1.2,49,2.40792369046115,5.96514592360394
"S42",0.078,92.8,15.1,27,42.1,1.47,0.167,6.17,10.5,123,1.3,35,2.04064892572262,4.27078370178798
"S43",0.191,83.9,3.3,5.4,8.7,1.42,0.158,6.18,6.4,112,1.5,66,3.04537863333817,9.57315835974102
"S44",0.073,93.2,19.7,39.2,58.9,1.36,0.157,6.31,14.1,115,1.6,61,3.04896849306141,12.0589409344324
"S45",0.211,82.6,0.2,13.3,13.5,1.86,0.209,6.8,6.9,170,0.6,67,3.27517363530832,15.5340030413866
"S46",0.121,89.2,0.7,11.5,12.2,2.2,0.246,6.61,9.5,173,1.1,64,3.09222620609861,12.5191072152643
"S47",0.098,91.1,2.8,7.8,10.6,1.75,0.201,6.11,5.3,187,1,43,2.34192287466813,4.66212961872713
"S48",0.108,90.2,21,61.5,82.5,1.76,0.215,6.28,14.4,195,1.1,62,3.17026501417893,13.5075332519955
"S49",0.263,79.2,0.4,8.1,8.5,1.42,0.158,6.53,9.6,149,0.8,84,3.44492364904753,19.4003948059577
"S50",0.054,94.9,7.1,14.2,21.3,1.47,0.163,6.11,10.4,161,1.6,66,3.25441821154456,14.5498543879529
"S51",0.272,78.6,0.2,15.7,15.8,1.74,0.19,7.07,18,152,1.2,68,3.43562099645672,19.8482583471055
"S53",0.277,78.3,1.5,8.7,10.2,1.41,0.157,6.04,8.5,107,1.4,42,2.47960952467986,6.37087181636834
"S54",0.062,94.2,13.5,30.5,44,1.45,0.167,6.24,12.9,120,1.1,48,2.65591997476927,6.30561045078751
"S55",0.276,78.4,1,8.1,9.1,1.48,0.165,6.19,7.6,109,1,54,2.66542606455946,6.79559618397936
"S56",0.047,95.5,11.8,23.5,35.3,1.51,0.168,6.26,16.8,136,1.6,47,2.75313287360843,9.34331047933552
"S57",0.253,79.8,1.6,5.1,6.7,1.23,0.134,6.08,5.2,155,0.8,36,2.35855504467437,7.04776624405218
