"","GWC","TS","NH4","NO3","Total_C","Total_N","pH","K","Mg","P","AOA_abundance","AOB_abundance","Coma_A_abundance","Coma_B_abundance","AOA_AOB_rat","ComA_ComB_rat","AOA_richness","AOA_Shannon","AOB_richness","AOB_Shannon","Coma_richness","Coma_Shannon"
"S1",0.338,74.7,3.5,7.1,1.47,0.152,6.54,9.9,159,1.1,8.093421685,7.71432976,6.807535028,6.181843588,0.155218776,0.207147925,100,4.01373268436466,49,3.16883921777397,64,3.20687165426118
"S3",0.344,74.4,0.9,9.5,1.67,0.171,6.92,11,134,1.2,8.311753861,7.673941999,7.133538908,6.480006943,0.209863776,0.213514813,106,4.0925149119137,21,2.53308828015407,73,3.34801804929842
"S5",0.345,74.4,5.8,4.8,1.46,0.151,6.16,9.6,115,1.8,8.311753861,8.1430148,7.320146286,6.301029996,0.121542586,0.328850253,60,3.17470972584487,63,3.51369554382066,46,2.33302505181354
"S7",0.331,75.1,4.1,3.4,1.5,0.154,6.16,9,109,2.1,8.198657087,7.853698212,7.127104798,6.376576957,0.149213773,0.239561025,82,3.28989424675351,29,2.43649081660846,33,2.32799917948156
"S9",0.305,76.6,5.7,4.4,1.2,0.124,5.97,5.1,140,0.9,7.997386384,7.64246452,7.227886705,6.243038049,0.150905055,0.315701621,63,3.03317952590764,44,3.32192887060339,44,2.30505185224971
"S11",0.323,75.6,1.4,8.9,1.64,0.171,6.82,12.2,141,1.8,8.46686762,7.980911938,7.547774705,6.654176542,0.175833206,0.283794109,89,3.8225301473904,44,3.01876928515827,84,3.37652774066471
"S13",0.323,75.6,2,5.4,1.64,0.176,6.78,7.6,122,0.8,8.57054294,8.318063335,7.496929648,7.11058971,0.134193274,0.156847305,96,3.96329781195624,44,3.09316484101254,92,3.75692407832749
"S15",0.324,75.5,5.4,1.9,1.33,0.136,5.86,9.3,140,1,7.962842681,8.193124598,7.545307116,6.587710965,0.07688719,0.30573937,61,2.96084364803558,56,3.16964797813801,34,2.26615283007474
"S17",0.314,76.1,6.9,7.5,1.43,0.148,5.67,10.3,123,1.5,8.307496038,8.57054294,7.698100546,6.788875116,0.074230135,0.288777561,58,2.89978271831298,99,3.89861224587846,45,2.23551671136254
"S19",0.307,76.5,5,5.4,1.54,0.155,5.9,7.7,106,1.4,8.392696953,8.322219295,7.57054294,6.92992956,0.108842582,0.210354021,102,3.91252922661438,60,3.41860462764993,60,2.92390598393318
"S21",0.351,74,0.6,13,1.89,0.203,6.75,7.6,156,0.7,8.517195898,8.315970345,7.996511672,7.08278537,0.126431768,0.290604024,78,3.82475413822776,46,3.01876928515827,71,3.23415730012816
"S23",0.314,76.1,1.7,7.1,1.72,0.191,6.05,6.7,183,1,8.482873584,8.472756449,7.840106094,6.746634199,0.101167534,0.360004344,78,3.5369581425719,74,3.6099191291711,33,2.38488417604426
"S25",0.184,84.4,1.3,10.1,1.47,0.162,6.58,8.2,152,0.9,8.190331698,7.98721923,7.11058971,6.491361694,0.126431768,0.205151503,104,4.03538059712621,83,3.61227858868185,81,3.48687721083728
"S27",0.213,82.4,0.2,12.2,1.68,0.184,6.9,10.2,136,0.9,8.326335861,7.895422546,7.31386722,6.551449998,0.164756562,0.242794713,88,3.97379592400649,51,2.96131618592844,72,3.34488968598823
"S29",0.172,85.3,2.1,9.1,1.38,0.154,6.15,7.2,109,1.2,8.269512944,7.954242509,7.431363764,6.492760389,0.144375996,0.298878527,67,3.12443590325186,73,3.44433474714894,43,2.46216241457311
"S31",0.218,82.1,1.6,10.9,1.57,0.17,6.19,6.1,108,1.3,8.428134794,8.029383778,7.394451681,6.605305046,0.15910016,0.250606888,72,3.20755462112128,79,3.31916321154319,57,2.77837350065015
"S33",0.184,84.4,4.8,7.6,1.18,0.131,6.08,3.7,149,0.6,8.307496038,7.946452265,7.439332694,6.51054501,0.152244963,0.295485555,52,2.84342327120035,95,4.01322789714423,41,2.37575893519225
"S35",0.179,84.8,0.1,12.1,1.57,0.175,6.69,10.7,128,1.3,8.385606274,7.942008053,7.542825427,6.59439255,0.167211275,0.302413923,81,3.74785201887153,23,2.57066856444592,71,3.47294279841833
"S37",0.191,84,0.2,11.3,1.59,0.175,6.76,13.5,137,1.4,8.641474111,8.10720997,7.555094449,6.846955325,0.186278017,0.228023976,91,3.84407376166987,60,3.20089005134045,81,3.58058900226544
"S39",0.208,82.7,2.6,3.1,1.27,0.142,5.82,5.9,146,0.7,8.136720567,8.064457989,7.416640507,6.463892989,0.108378581,0.303993096,55,2.57886901772514,71,3.65268290921433,26,2.23000195853398
"S41",0.185,84.4,3.4,7.1,1.42,0.39,6.16,8.8,126,1.2,8.324282455,8.220108088,7.58546073,6.806179974,0.112934187,0.247887811,57,2.90326636757206,114,3.87493742405348,49,2.40792369046115
"S43",0.191,83.9,3.3,5.4,1.42,0.158,6.18,6.4,112,1.5,8.311753861,8.149219113,7.607455023,6.781036939,0.121126429,0.26182479,90,3.90881874560336,109,3.85162203982812,66,3.04537863333817
"S45",0.211,82.6,0.2,13.3,1.86,0.209,6.8,6.9,170,0.6,8.403120521,8.100370545,7.737192643,6.819543936,0.141897055,0.291695042,84,3.87291439997607,64,3.19634509674851,67,3.27517363530832
"S47",0.098,91.1,2.8,7.8,1.75,0.201,6.11,5.3,187,1,8.127104798,8.008600172,7.629409599,6.521138084,0.115145527,0.36617889,78,3.52790522191041,76,3.63393897656244,43,2.34192287466813
"S49",0.263,79.2,0.4,8.1,1.42,0.158,6.53,9.6,149,0.8,8.621176282,8.625312451,7.776701184,7.230448921,0.099663652,0.188463619,99,4.0779471251418,96,3.71035895304456,84,3.44492364904753
"S51",0.272,78.6,0.2,15.7,1.74,0.19,7.07,18,152,1.2,8.625312451,8.51851394,7.848804701,7.214843848,0.113379845,0.209372451,90,3.99076372317393,63,3.23825699494664,68,3.43562099645672
"S53",0.277,78.3,1.5,8.7,1.41,0.157,6.04,8.5,107,1.4,8.456366033,8.550228353,7.710117365,6.95616843,0.090121945,0.240427259,64,3.13451655052311,80,3.3337816219724,42,2.47960952467986
