,GWC_g_g,TS,NH4,NO3,Nmin_tot,C_tot,N_tot,pH,K_mgkg,Mg_mgkg,P_mgkg,AOB_Richness,AOB_Shannon,AOB_InvSimpson,AOA_Richness,AOA_Shannon,AOA_InvSimpson,COM_Richness,COM_Shannon,COM_InvSimpson
S1,0.338,74.7,3.5,7.1,10.7,1.47,0.152,6.54,9.9,159,1.1,49,3.168839218,15.83081932,100,4.013732684,40.01761577,64,3.206871654,15.49463862
S2,0.095,91.3,11,13.6,24.7,1.44,0.151,6.08,10,152,1.6,27,2.543241871,7.949330109,107,3.763869031,22.81526505,55,2.678759555,8.158699148
S3,0.344,74.4,0.9,9.5,10.3,1.67,0.171,6.92,11,134,1.2,21,2.53308828,8.136982503,106,4.092514912,42.86964138,73,3.348018049,17.22327495
S4,0.13,88.5,0.5,9.9,10.4,1.69,0.174,6.77,11.6,131,1.1,41,3.020647941,12.77217905,92,3.939513657,36.33791468,75,3.391803625,18.42522107
S5,0.345,74.4,5.8,4.8,10.6,1.46,0.151,6.16,9.6,115,1.8,63,3.513695544,23.60774512,60,3.174709726,14.65757653,46,2.333025052,5.641558367
S6,0.105,90.5,7,13,20,1.55,0.164,6.25,14.9,123,2.1,33,2.859117898,10.72628309,78,3.356758451,13.96096238,53,2.612267191,6.485470889
S7,0.331,75.1,4.1,3.4,7.5,1.5,0.154,6.16,9,109,2.1,29,2.436490817,6.252802021,82,3.289894247,12.70468208,33,2.327999179,5.675602145
S8,0.096,91.3,9.2,15.3,24.5,1.48,0.155,6.07,9.9,115,1.4,63,3.333994265,14.23827428,54,2.894804896,8.281237452,37,2.221322021,4.667440084
S9,0.305,76.6,5.7,4.4,10.1,1.2,0.124,5.97,5.1,140,0.9,44,3.321928871,19.51975106,63,3.033179526,11.53598459,44,2.305051852,6.082331806
S10,0.091,91.7,15.4,25.5,40.9,1.2,0.128,6.15,8.8,157,1.1,64,3.578488244,22.44147687,61,3.075209299,11.6347179,56,2.596713738,6.454039576
S11,0.323,75.6,1.4,8.9,10.4,1.64,0.171,6.82,12.2,141,1.8,0,0,0,89,3.822530147,29.78616924,84,3.376527741,13.51893685
S12,0.126,88.8,0.3,8.9,9.1,1.67,0.175,6.83,13.7,129,1.2,31,3.054247996,16.73683782,106,4.139459848,46.77249244,76,3.494880585,20.44402152
S13,0.323,75.6,2,5.4,7.5,1.64,0.176,6.78,7.6,122,0.8,44,3.093164841,13.91001574,96,3.963297812,35.57466107,92,3.756924078,27.07903985
S14,0.138,87.8,0.8,9.2,10,1.79,0.188,6.87,12.9,139,1.3,43,2.847794162,8.479990919,92,3.927710338,33.4483431,76,3.470617911,20.43702716
S15,0.324,75.5,5.4,1.9,7.2,1.33,0.136,5.86,9.3,140,1,56,3.169647978,13.32082996,61,2.960843648,9.233851068,34,2.26615283,6.448786729
S16,0.121,89.2,11.7,15.4,27.1,1.21,0.129,5.72,8.5,144,0.8,84,3.649257623,21.034684,65,2.876088686,8.821865204,34,2.431389111,8.376921412
S17,0.314,76.1,6.9,7.5,14.4,1.43,0.148,5.67,10.3,123,1.5,99,3.898612246,28.69881959,58,2.899782718,9.861140286,45,2.235516711,5.900572308
S18,0.098,91.1,7.7,11.3,19,1.39,0.145,5.99,8.2,106,1.1,67,3.573304707,22.70750781,48,2.840178544,9.812837219,44,2.186113911,4.8608507
S19,0.307,76.5,5,5.4,10.5,1.54,0.155,5.9,7.7,106,1.4,60,3.418604628,17.03380801,102,3.912529227,30.82719066,60,2.923905984,10.45230412
