,nr,plot,block,irrigation,fertilization,type,rep,sampling.date,x,var3,AOA_nbc_per_ngDNA,AOA_nbc_per_g_DW_soil,AOA_16S_ratio_percent,AOB_nbc_per_ngDNA,AOB_nbc_per_g_DW_soil,AOB_16S_ratio_percent,AOA_AOB_ratio,AOA_AOB_ratio_percent,ComA_nbc_per_ngDNA,ComA_nbc_per_g_DW_soil,ComA_16S_ratio_percent,ComB_nbc_per_ngDNA,ComB_nbc_per_g_DW_soil,ComB_16S_ratio_percent,ComA_ComB_ratio,ComA_ComB_ratio_percent,Tot_nbc_per_ngDNA,Tot_nbc_per_g_DW_soil,AOA_logDWS,AOB_logDWS,ComA_logDWS,ComB_logDWS,Tot_logDWS,AOA_16.arc.ratio,AOB_16.arc.ratio,ComA_16.arc.ratio,ComB_16.arc.ratio,AOA_AOB.arc.ratio,ComA_ComB.arc.ratio
S1,1,1,1,control,M,BS,1,Apr 28th,cont.M,CMBS1,16600,1.24E+08,4.04,6930,51800000,1.69,2.39,239.2375396,859,6420000,0.209,203,1520000,0.049,4.23,423.3703875,411000,3.07E+09,8.093421685,7.71432976,6.807535028,6.181843588,9.487138375,0.202376109,0.13036898,0.045732457,0.022137752,0.155218776,0.207147925
S2,2,2,1,rainout,M,BS,1,Apr 28th,rain.M,RMBS1,22300,1.65E+08,4.73,5510,40700000,1.17,4.05,404.7571975,1400,10300000,0.297,226,1670000,0.048,6.18,617.8377364,471000,3.48E+09,8.217483944,7.609594409,7.012837225,6.222716471,9.541579244,0.219237699,0.108378581,0.054524719,0.021910655,0.2026299,0.251230541
S3,3,3,2,control,D,BS,1,Apr 28th,cont.D,CDBS1,22600,2.05E+08,5.01,5200,47200000,1.15,4.34,433.8944329,1490,13600000,0.331,333,3020000,0.074,4.49,448.7398905,450000,4.09E+09,8.311753861,7.673941999,7.133538908,6.480006943,9.611723308,0.225742713,0.107444664,0.057564386,0.027206297,0.209863776,0.213514813
S4,4,4,2,rainout,D,BS,1,Apr 28th,rain.D,RDBS1,22200,2.23E+08,3.93,5890,59200000,1.04,3.76,376.1353741,1830,18400000,0.324,247,2480000,0.044,7.4,739.5637516,565000,5.67E+09,8.348304863,7.772321707,7.264817823,6.394451681,9.753583059,0.199564279,0.102157989,0.05695178,0.020977716,0.195143379,0.275501345
S5,5,5,3,control,K,BS,1,Apr 28th,cont.K,CKBS1,22800,2.05E+08,3.83,15500,1.39E+08,2.6,1.47,147.2919746,2330,20900000,0.39,223,2.00E+06,0.037,10.43,1043.255827,596000,5.35E+09,8.311753861,8.1430148,7.320146286,6.301029996,9.728353782,0.196975136,0.161952188,0.062490644,0.01923657,0.121542586,0.328850253
S6,6,6,3,rainout,K,BS,1,Apr 28th,rain.K,RKBS1,22600,1.77E+08,5.84,5910,46200000,1.53,3.82,382.3540631,1380,10800000,0.357,178,1390000,0.046,7.76,776.0631467,387000,3.02E+09,8.247973266,7.664641976,7.033423755,6.1430148,9.480006943,0.244077139,0.124010778,0.059785085,0.021449255,0.196714446,0.282302522
S7,7,7,4,control,K,BS,2,Apr 28th,cont.K,CKBS1,15800,1.58E+08,2.27,7180,71400000,1.03,2.21,220.511846,1350,13400000,0.193,240,2380000,0.034,5.63,562.9636071,699000,6.95E+09,8.198657087,7.853698212,7.127104798,6.376576957,9.841984805,0.151241111,0.101663951,0.043945909,0.018440134,0.149213773,0.239561025
S8,8,8,4,rainout,K,BS,2,Apr 28th,rain.K,RKBS1,20300,1.78E+08,4.39,7740,68100000,1.68,2.62,261.5953998,2290,20200000,0.497,225,1980000,0.049,10.21,1021.057926,462000,4.06E+09,8.250420002,7.833147112,7.305351369,6.29666519,9.608526034,0.211087381,0.129980507,0.070556754,0.022137752,0.162579413,0.3252344
S9,9,9,5,control,M,BS,2,Apr 28th,cont.M,CMBS1,9780,99400000,2.32,4320,43900000,1.03,2.26,226.1524265,1660,16900000,0.394,172,1750000,0.041,9.64,963.716891,421000,4.28E+09,7.997386384,7.64246452,7.227886705,6.243038049,9.631443769,0.15291065,0.101663951,0.062810711,0.020249841,0.150905055,0.315701621
S10,10,10,5,rainout,M,BS,2,Apr 28th,rain.M,RMBS1,20300,1.89E+08,2.99,8280,7.70E+07,1.22,2.46,245.501272,2980,27700000,0.439,404,3760000,0.06,7.38,737.891877,679000,6.31E+09,8.276461804,7.886490725,7.442479769,6.575187845,9.800029359,0.173789668,0.110679441,0.066305649,0.024497348,0.157494156,0.275119094
S11,11,11,6,control,D,BS,2,Apr 28th,cont.D,CDBS1,22600,2.93E+08,8.83,7380,95700000,2.89,3.06,305.914174,2730,35300000,1.066,348,4510000,0.136,7.84,784.0587173,256000,3.32E+09,8.46686762,7.980911938,7.547774705,6.654176542,9.521138084,0.301709749,0.170829669,0.103431598,0.036886542,0.175833206,0.283794109
S12,12,12,6,rainout,D,BS,2,Apr 28th,rain.D,RDBS1,24700,2.88E+08,3.18,7720,90100000,0.99,3.2,319.9673707,3000,3.50E+07,0.386,332,3870000,0.043,9.05,904.6671993,778000,9.07E+09,8.459392488,7.954724791,7.544068044,6.587710965,9.957607287,0.179284457,0.099663652,0.062168937,0.020737928,0.1798535,0.305565135
S13,13,13,7,control,D,BS,3,Apr 28th,cont.D,CDBS1,19200,3.72E+08,6.06,10700,2.08E+08,3.38,1.79,179.3291727,1620,31400000,0.511,665,12900000,0.21,2.44,243.642783,317000,6.15E+09,8.57054294,8.318063335,7.496929648,7.11058971,9.788875116,0.24872735,0.184899516,0.071545285,0.045841811,0.134193274,0.156847305
S14,14,14,7,rainout,D,BS,3,Apr 28th,rain.D,RDBS1,12400,3.29E+08,2.7,6580,1.75E+08,1.43,1.89,188.5034605,1820,48200000,0.395,277,7350000,0.06,6.56,655.6693286,460000,1.22E+10,8.517195898,8.243038049,7.683047038,6.866287339,10.08635983,0.165065324,0.119869462,0.062890475,0.024497348,0.137914049,0.259011313
S15,15,15,8,control,M,BS,3,Apr 28th,cont.M,CMBS1,5350,91800000,1.59,9080,1.56E+08,2.7,0.59,58.91972772,2040,35100000,0.609,226,3870000,0.067,9.06,906.1071486,336000,5.76E+09,7.962842681,8.193124598,7.545307116,6.587710965,9.760422483,0.126431768,0.165065324,0.078117879,0.02588725,0.07688719,0.30573937
S16,16,16,8,rainout,M,BS,3,Apr 28th,rain.M,RMBS1,7780,1.31E+08,2.21,9500,1.60E+08,2.7,0.82,81.88318716,1810,30500000,0.516,216,3640000,0.061,8.39,839.1306711,352000,5.93E+09,8.117271296,8.204119983,7.484299839,6.561101384,9.773054693,0.149213773,0.165065324,0.07189506,0.02470069,0.090678067,0.293866332
S17,17,17,9,control,K,BS,3,Apr 28th,cont.K,CKBS1,7640,2.03E+08,1.92,14000,3.72E+08,3.52,0.55,54.57796556,1880,49900000,0.472,231,6150000,0.058,8.11,811.4143528,398000,1.06E+10,8.307496038,8.57054294,7.698100546,6.788875116,10.02530587,0.139011345,0.188735124,0.068756417,0.024085518,0.074230135,0.288777561
S18,18,18,9,rainout,K,BS,3,Apr 28th,rain.K,RKBS1,9720,2.18E+08,3.12,6850,1.54E+08,2.2,1.42,141.900173,1450,32600000,0.467,154,3460000,0.049,9.43,943.3827315,312000,6.99E+09,8.338456494,8.187520721,7.5132176,6.539076099,9.844477176,0.177566861,0.14887328,0.0683907,0.022137752,0.119447591,0.312126467
S19,19,19,10,control,K,BS,4,Apr 28th,cont.K,CKBS1,9110,2.47E+08,2.28,7710,2.10E+08,1.94,1.18,118.0344912,1370,37200000,0.343,313,8510000,0.079,4.36,436.4730832,399000,1.08E+10,8.392696953,8.322219295,7.57054294,6.92992956,10.03342376,0.151576444,0.139738212,0.058599734,0.028110641,0.108842582,0.210354021
S20,20,20,10,rainout,K,BS,4,Apr 28th,rain.K,RKBS1,10200,2.21E+08,2.64,10000,2.17E+08,2.6,1.02,101.6641908,2550,55200000,0.66,327,7080000,0.085,7.8,779.6809175,386000,8.36E+09,8.344392274,8.336459734,7.741939078,6.850033258,9.922206277,0.163204313,0.161952188,0.081330015,0.029158891,0.101167534,0.283049191
S21,21,21,11,control,D,BS,4,Apr 28th,cont.D,CDBS1,9260,3.29E+08,2.69,5830,2.07E+08,1.69,1.59,158.8766784,2790,99200000,0.812,340,12100000,0.099,8.21,821.2271066,344000,1.22E+10,8.517195898,8.315970345,7.996511672,7.08278537,10.08635983,0.164756562,0.13036898,0.090233441,0.031469459,0.126431768,0.290604024
S22,22,22,11,rainout,D,BS,4,Apr 28th,rain.D,RDBS1,18300,5.92E+08,3.32,8270,2.68E+08,1.51,2.21,220.8456783,3480,1.13E+08,0.634,389,12600000,0.071,8.95,894.7803609,549000,1.78E+10,8.772321707,8.428134794,8.053078443,7.100370545,10.25042,0.18323226,0.123193431,0.079708494,0.026648979,0.149213773,0.303817987
S23,23,23,12,control,M,BS,4,Apr 28th,cont.M,CMBS1,13300,3.04E+08,2.79,12900,2.97E+08,2.72,1.02,102.4772518,3020,69200000,0.634,243,5580000,0.051,12.41,1241.150268,476000,1.09E+10,8.482873584,8.472756449,7.840106094,6.746634199,10.0374265,0.167819551,0.165681184,0.079708494,0.0225851,0.101167534,0.360004344
S24,24,24,12,rainout,M,BS,4,Apr 28th,rain.M,RMBS1,9120,2.78E+08,2.25,10200,3.10E+08,2.51,0.9,89.78859859,2420,73900000,0.599,293,8940000,0.072,8.26,826.3904063,405000,1.23E+10,8.444044796,8.491361694,7.868644438,6.951337519,10.08990511,0.150568273,0.15910016,0.077472565,0.026836037,0.095011212,0.291513456
S25,25,1,1,control,M,BS,1,Jun 1st,cont.M,CMBS2,13100,1.55E+08,4.47,8240,97100000,2.81,1.59,159.0996722,1090,12900000,0.372,263,3100000,0.09,4.15,415.3290367,293000,3.46E+09,8.190331698,7.98721923,7.11058971,6.491361694,9.539076099,0.213031405,0.168425712,0.061029681,0.030004502,0.126431768,0.205151503
S26,26,2,1,rainout,M,BS,1,Jun 1st,rain.M,RMBS2,19100,1.91E+08,4.65,8950,89600000,2.18,2.13,213.4490198,1590,1.60E+07,0.388,221,2210000,0.054,7.21,721.0606602,411000,4.11E+09,8.281033367,7.95230801,7.204119983,6.344392274,9.613841822,0.217345755,0.148190018,0.062329997,0.023239992,0.146468331,0.271850494
S27,27,3,2,control,D,BS,1,Jun 1st,cont.D,CDBS2,15700,2.12E+08,4.53,5810,78600000,1.68,2.69,269.4245444,1520,20600000,0.44,263,3560000,0.076,5.78,578.3931015,346000,4.68E+09,8.326335861,7.895422546,7.31386722,6.551449998,9.670245853,0.214478562,0.129980507,0.066381236,0.027571591,0.164756562,0.242794713
S28,28,4,2,rainout,D,BS,1,Jun 1st,rain.D,RDBS2,21500,2.40E+08,5.67,6300,70500000,1.66,3.41,340.6071323,1930,21600000,0.509,231,2580000,0.061,8.36,836.2767341,379000,4.23E+09,8.380211242,7.848189117,7.334453751,6.411619706,9.626340367,0.240427259,0.129200137,0.071404899,0.02470069,0.185727787,0.29332484
