nr,plot,block,irrigation,fertilization ,type,sampling date,AOA_nbc_per_g_DW_soil,AOB_nbc_per_g_DW_soil,AOA_nbc_per_ngDNA,AOB_nbc_per_ngDNA
1,1,1,control,M,BS,28/04/2022,1.23E+08,5.16E+07,1.66E+04,6.93E+03
2,2,1,rainout,M,BS,28/04/2022,1.64E+08,4.05E+07,2.23E+04,5.51E+03
3,3,2,control,D,BS,28/04/2022,2.07E+08,4.78E+07,2.26E+04,5.20E+03
4,4,2,rainout,D,BS,28/04/2022,2.23E+08,5.94E+07,2.22E+04,5.89E+03
5,5,3,control,K,BS,28/04/2022,2.05E+08,1.39E+08,2.28E+04,1.55E+04
6,6,3,rainout,K,BS,28/04/2022,1.79E+08,4.67E+07,2.26E+04,5.91E+03
7,7,4,control,K,BS,28/04/2022,1.57E+08,7.12E+07,1.58E+04,7.18E+03
8,8,4,rainout,K,BS,28/04/2022,1.81E+08,6.92E+07,2.03E+04,7.74E+03
9,9,5,control,M,BS,28/04/2022,1.01E+08,4.45E+07,9.78E+03,4.32E+03
10,10,5,rainout,M,BS,28/04/2022,1.89E+08,7.70E+07,2.03E+04,8.28E+03
11,11,6,control,D,BS,28/04/2022,2.93E+08,9.57E+07,2.26E+04,7.38E+03
12,12,6,rainout,D,BS,28/04/2022,2.90E+08,9.08E+07,2.47E+04,7.72E+03
13,13,7,control,D,BS,28/04/2022,3.71E+08,2.07E+08,1.92E+04,1.07E+04
14,14,7,rainout,D,BS,28/04/2022,3.30E+08,1.75E+08,1.24E+04,6.58E+03
15,15,8,control,M,BS,28/04/2022,9.21E+07,1.56E+08,5.35E+03,9.08E+03
16,16,8,rainout,M,BS,28/04/2022,1.32E+08,1.62E+08,7.78E+03,9.50E+03
17,17,9,control,K,BS,28/04/2022,2.06E+08,3.78E+08,7.64E+03,1.40E+04
18,18,9,rainout,K,BS,28/04/2022,2.17E+08,1.53E+08,9.72E+03,6.85E+03
19,19,10,control,K,BS,28/04/2022,2.49E+08,2.11E+08,9.11E+03,7.71E+03
20,20,10,rainout,K,BS,28/04/2022,2.21E+08,2.17E+08,1.02E+04,1.00E+04
21,21,11,control,D,BS,28/04/2022,3.34E+08,2.10E+08,9.26E+03,5.83E+03
22,22,11,rainout,D,BS,28/04/2022,5.92E+08,2.68E+08,1.83E+04,8.27E+03
23,23,12,control,M,BS,28/04/2022,3.04E+08,2.97E+08,1.33E+04,1.29E+04
24,24,12,rainout,M,BS,28/04/2022,2.80E+08,3.12E+08,9.12E+03,1.02E+04
25,1,1,control,M,BS,01/06/2022,1.55E+08,9.75E+07,1.31E+04,8.24E+03
26,2,1,rainout,M,BS,01/06/2022,1.91E+08,8.96E+07,1.91E+04,8.95E+03
27,3,2,control,D,BS,01/06/2022,2.15E+08,7.98E+07,1.57E+04,5.81E+03
28,4,2,rainout,D,BS,01/06/2022,2.44E+08,7.16E+07,2.15E+04,6.30E+03
29,5,3,control,K,BS,01/06/2022,1.85E+08,8.96E+07,1.42E+04,6.85E+03
30,6,3,rainout,K,BS,01/06/2022,1.56E+08,7.13E+07,1.39E+04,6.36E+03
31,7,4,control,K,BS,01/06/2022,2.70E+08,1.08E+08,2.06E+04,8.23E+03
