nr,plot,block,irrigation,fertilization ,type,sampling date,x,var3,AOA_nbc_per_ngDNA,AOA_nbc_per_g_DW_soil,AOA_16S_ratio_percent,AOB_nbc_per_ngDNA,AOB_nbc_per_g_DW_soil,AOB_16S_ratio_percent,AOA_AOB_ratio,AOA_AOB_ratio_percent,ComA_nbc_per_ngDNA,ComA_nbc_per_g_DW_soil,ComA_16S_ratio_percent,ComB_nbc_per_ngDNA,ComB_nbc_per_g_DW_soil,ComB_16S_ratio_percent,ComA_ComB_ratio,ComA_ComB_ratio_percent,Tot_nbc_per_ngDNA,Tot_nbc_per_g_DW_soil
1,1,1,control,M,BS,28/04/2022,cont.M,CMBS1,1.66E+04,1.24E+08,4.04,6.93E+03,5.18E+07,1.69,2.39,239.2375396,8.59E+02,6.42E+06,0.209,2.03E+02,1.52E+06,0.049,4.23,423.3703875,4.11E+05,3.07E+09
2,2,1,rainout,M,BS,28/04/2022,rain.M,RMBS1,2.23E+04,1.65E+08,4.73,5.51E+03,4.07E+07,1.17,4.05,404.7571975,1.40E+03,1.03E+07,0.297,2.26E+02,1.67E+06,0.048,6.18,617.8377364,4.71E+05,3.48E+09
3,3,2,control,D,BS,28/04/2022,cont.D,CDBS1,2.26E+04,2.05E+08,5.01,5.20E+03,4.72E+07,1.15,4.34,433.8944329,1.49E+03,1.36E+07,0.331,3.33E+02,3.02E+06,0.074,4.49,448.7398905,4.50E+05,4.09E+09
4,4,2,rainout,D,BS,28/04/2022,rain.D,RDBS1,2.22E+04,2.23E+08,3.93,5.89E+03,5.92E+07,1.04,3.76,376.1353741,1.83E+03,1.84E+07,0.324,2.47E+02,2.48E+06,0.044,7.4,739.5637516,5.65E+05,5.67E+09
5,5,3,control,K,BS,28/04/2022,cont.K,CKBS1,2.28E+04,2.05E+08,3.83,1.55E+04,1.39E+08,2.6,1.47,147.2919746,2.33E+03,2.09E+07,0.39,2.23E+02,2.00E+06,0.037,10.43,1043.255827,5.96E+05,5.35E+09
6,6,3,rainout,K,BS,28/04/2022,rain.K,RKBS1,2.26E+04,1.77E+08,5.84,5.91E+03,4.62E+07,1.53,3.82,382.3540631,1.38E+03,1.08E+07,0.357,1.78E+02,1.39E+06,0.046,7.76,776.0631467,3.87E+05,3.02E+09
7,7,4,control,K,BS,28/04/2022,cont.K,CKBS1,1.58E+04,1.58E+08,2.27,7.18E+03,7.14E+07,1.03,2.21,220.511846,1.35E+03,1.34E+07,0.193,2.40E+02,2.38E+06,0.034,5.63,562.9636071,6.99E+05,6.95E+09
8,8,4,rainout,K,BS,28/04/2022,rain.K,RKBS1,2.03E+04,1.78E+08,4.39,7.74E+03,6.81E+07,1.68,2.62,261.5953998,2.29E+03,2.02E+07,0.497,2.25E+02,1.98E+06,0.049,10.21,1021.057926,4.62E+05,4.06E+09
9,9,5,control,M,BS,28/04/2022,cont.M,CMBS1,9.78E+03,9.94E+07,2.32,4.32E+03,4.39E+07,1.03,2.26,226.1524265,1.66E+03,1.69E+07,0.394,1.72E+02,1.75E+06,0.041,9.64,963.716891,4.21E+05,4.28E+09
10,10,5,rainout,M,BS,28/04/2022,rain.M,RMBS1,2.03E+04,1.89E+08,2.99,8.28E+03,7.70E+07,1.22,2.46,245.501272,2.98E+03,2.77E+07,0.439,4.04E+02,3.76E+06,0.06,7.38,737.891877,6.79E+05,6.31E+09
