,irrigation,fertilization,sampling.date,variable,n,mean,sd,,decrease from control,
1,control,D,Apr 28th,AOB_nbc_per_g_DW_soil,4,1.39E+08,8.10E+07,-8.60E+06,,
2,control,D,Jun 1st,AOB_nbc_per_g_DW_soil,4,1.05E+08,2.56E+07,1.01E+07,,
3,control,D,Jul 5th,AOB_nbc_per_g_DW_soil,4,3.21E+08,6.26E+07,-8.40E+07,,
4,control,D,Jul 20th,AOB_nbc_per_g_DW_soil,4,3.62E+08,7.48E+07,7.25E+06,,
5,control,D,Sept 13th,AOB_nbc_per_g_DW_soil,4,3.65E+08,2.42E+07,1.15E+07,,
6,control,K,Apr 28th,AOB_nbc_per_g_DW_soil,4,1.98E+08,1.29E+08,7.68E+07,38.76,
7,control,K,Jun 1st,AOB_nbc_per_g_DW_soil,4,1.26E+08,3.41E+07,2.70E+07,21.43,
8,control,K,Jul 5th,AOB_nbc_per_g_DW_soil,4,3.96E+08,8.49E+07,9.50E+07,24.01,
9,control,K,Jul 20th,AOB_nbc_per_g_DW_soil,4,4.21E+08,8.26E+07,8.35E+07,19.86,
10,control,K,Sept 13th,AOB_nbc_per_g_DW_soil,4,3.37E+08,4.27E+07,6.85E+07,20.33,
11,control,M,Apr 28th,AOB_nbc_per_g_DW_soil,4,1.37E+08,1.18E+08,-9.75E+06,,
12,control,M,Jun 1st,AOB_nbc_per_g_DW_soil,4,1.01E+08,1.15E+07,1.24E+07,12.27,
13,control,M,Jul 5th,AOB_nbc_per_g_DW_soil,4,3.31E+08,1.02E+08,3.85E+07,11.65,
14,control,M,Jul 20th,AOB_nbc_per_g_DW_soil,4,3.46E+08,1.76E+08,7.25E+07,20.98,
15,control,M,Sept 13th,AOB_nbc_per_g_DW_soil,4,3.61E+08,1.45E+08,6.35E+07,17.61,
16,rainout,D,Apr 28th,AOB_nbc_per_g_DW_soil,4,1.48E+08,9.37E+07,,,
17,rainout,D,Jun 1st,AOB_nbc_per_g_DW_soil,4,9.49E+07,2.22E+07,,,
18,rainout,D,Jul 5th,AOB_nbc_per_g_DW_soil,4,4.05E+08,4.96E+07,,,
19,rainout,D,Jul 20th,AOB_nbc_per_g_DW_soil,4,3.55E+08,2.50E+07,,,
20,rainout,D,Sept 13th,AOB_nbc_per_g_DW_soil,4,3.54E+08,4.84E+07,,,
21,rainout,K,Apr 28th,AOB_nbc_per_g_DW_soil,4,1.21E+08,7.89E+07,,,
22,rainout,K,Jun 1st,AOB_nbc_per_g_DW_soil,4,9.90E+07,2.74E+07,,,
23,rainout,K,Jul 5th,AOB_nbc_per_g_DW_soil,4,3.01E+08,8.50E+07,,,
24,rainout,K,Jul 20th,AOB_nbc_per_g_DW_soil,4,3.37E+08,7.76E+07,,,
25,rainout,K,Sept 13th,AOB_nbc_per_g_DW_soil,4,2.69E+08,2.74E+07,,,
26,rainout,M,Apr 28th,AOB_nbc_per_g_DW_soil,4,1.47E+08,1.20E+08,,,
27,rainout,M,Jun 1st,AOB_nbc_per_g_DW_soil,4,8.85E+07,1.61E+07,,,
28,rainout,M,Jul 5th,AOB_nbc_per_g_DW_soil,4,2.92E+08,1.52E+08,,,
29,rainout,M,Jul 20th,AOB_nbc_per_g_DW_soil,4,2.73E+08,1.10E+08,,,
30,rainout,M,Sept 13th,AOB_nbc_per_g_DW_soil,4,2.97E+08,9.22E+07,,,
