"","contrast","fertilization","sampling.date","estimate","SE","df","t.ratio","p.value"
"1","control - rainout","D","Apr 28th",-0.259968460193505,0.081210429472857,79.0463100233181,-3.20117085799176,0.00197194479992519
"2","control - rainout","K","Apr 28th",0.19346294441099,0.0812104294728569,79.0463100373226,2.38224259700106,0.0196102883562001
"3","control - rainout","M","Apr 28th",-0.0720343205350307,0.0812104294728569,79.0463100545932,-0.887008245155346,0.37776530018885
"4","control - rainout","D","Jun 1st",0.0363328562434297,0.0812104294728568,79.0463100403003,0.447391504752149,0.655816007337668
"5","control - rainout","K","Jun 1st",0.0816456339120855,0.0812104294728569,79.0463100343233,1.00535897226567,0.317791726740703
"6","control - rainout","M","Jun 1st",-0.0416002546939179,0.0812104294728568,79.0463100423898,-0.512252612921128,0.609902564944809
"7","control - rainout","D","Jul 5th",-0.0592661095557021,0.088308866705415,79.4027366218385,-0.671122977417487,0.504089873810097
"8","control - rainout","K","Jul 5th",0.0414802338645434,0.0812104294728568,79.0463100466056,0.510774713713433,0.610932409862396
"9","control - rainout","M","Jul 5th",0.0884890050998805,0.0812104294728569,79.0463100251659,1.08962611913605,0.279188564058256
"10","control - rainout","D","Jul 20th",-0.0274960594576668,0.0812104294728569,79.0463100378482,-0.338577934338556,0.735825414961538
"11","control - rainout","K","Jul 20th",0.00447950638624992,0.0812104294728568,79.0463100294548,0.0551592500535551,0.956150772949981
"12","control - rainout","M","Jul 20th",0.013815825651462,0.088308866705415,79.4027366402497,0.15644890673945,0.876076287543914
"13","control - rainout","D","Sept 13th",-0.046929265350126,0.0812104294728569,79.046310033314,-0.577872394651123,0.564992855607383
"14","control - rainout","K","Sept 13th",0.150384506771114,0.0812104294728568,79.0463100329231,1.8517880984902,0.0677902148601071
"15","control - rainout","M","Sept 13th",0.00177450486193462,0.0812104294728568,79.0463100409752,0.0218507016088089,0.982622113962844
