"","contrast","fertilization","sampling.date","estimate","SE","df","t.ratio","p.value"
"1","control - rainout","D","X04.28.22",0.0489497614217603,0.0269891694986706,16,1.813681648269,0.0885258072879789
"2","control - rainout","K","X04.28.22",-0.0392829142733187,0.0249871155980375,16,-1.57212680748169,0.135484702704845
"3","control - rainout","M","X04.28.22",-0.0241483634285786,0.0269891694986706,16,-0.894742738555479,0.384187245713481
"4","control - rainout","D","X06.01.22",-0.00341704699663906,0.0155194406611558,16,-0.220178489112158,0.82851690251146
"5","control - rainout","K","X06.01.22",-0.000165743831604257,0.0143682101013254,16,-0.0115354543422892,0.990938855032861
"6","control - rainout","M","X06.01.22",0.0116803543849705,0.0155194406611558,16,0.752627278263044,0.462604231492563
"7","control - rainout","D","X07.05.22",-0.000922135399518336,0.0155014602950657,16,-0.0594870019963128,0.953300887472576
"8","control - rainout","K","X07.05.22",0.000470673319218574,0.014351563516998,16,0.0327959611272395,0.974242941755623
"9","control - rainout","M","X07.05.22",-0.00810531021276486,0.0155014602950657,16,-0.52287397822416,0.608227287060721
"10","control - rainout","D","X07.20.22",0.00649591665668715,0.00926998719667053,16,0.700747101249532,0.493526478778773
"11","control - rainout","K","X07.20.22",-0.00356605096053325,0.00858234047131178,16,-0.415510311255246,0.683287397722518
"12","control - rainout","M","X07.20.22",0.00936704387961009,0.00926998719667053,16,1.01046999104534,0.327308118810251
"13","control - rainout","D","X09.13.22",0.00609376734020829,0.009963941117292,16,0.61158203049121,0.549406321366986
"14","control - rainout","K","X09.13.22",-0.0161851213583633,0.00922481695933911,16,-1.75451951292949,0.0984695472531735
"15","control - rainout","M","X09.13.22",0.00979754122716641,0.00996394111729201,16,0.983299791902944,0.340096275496695
