"","contrast","fertilization","sampling.date","estimate","SE","df","t.ratio","p.value"
"1","control - rainout","D","X04.28.22",-0.00395066911915716,0.0279542525915068,18,-0.141326229568286,0.889181902852042
"2","control - rainout","K","X04.28.22",-0.0315199771267656,0.0279542525915068,18,-1.12755570994383,0.274314187218893
"3","control - rainout","M","X04.28.22",-0.01540869505484,0.0279542525915068,18,-0.551211126264255,0.588266559747878
"4","control - rainout","D","X06.01.22",-0.000820582655669324,0.0126052995574718,18,-0.0650982272914666,0.948813340845114
"5","control - rainout","K","X06.01.22",-0.00335676444947912,0.0126052995574718,18,-0.266297872111209,0.793036326451173
"6","control - rainout","M","X06.01.22",-0.00344749647183037,0.0126052995574718,18,-0.273495798819541,0.787585595023358
"7","control - rainout","D","X07.05.22",0.00203114042805744,0.00726076652807592,18,0.279741873010712,0.782864788955657
"8","control - rainout","K","X07.05.22",-0.00774467640343049,0.00726076652807592,18,-1.066647216032,0.300229529867646
"9","control - rainout","M","X07.05.22",-0.00123858302646132,0.00726076652807592,18,-0.170585711807696,0.866452350243509
"10","control - rainout","D","X07.20.22",-0.00337778194767946,0.00833911552865129,18,-0.405052782405301,0.690212084257492
"11","control - rainout","K","X07.20.22",-0.011080147889167,0.00833911552865129,18,-1.32869581325479,0.200547801075663
"12","control - rainout","M","X07.20.22",0.00445547377333076,0.00833911552865129,18,0.534286131187746,0.599681213518274
"13","control - rainout","D","X09.13.22",-0.00884411852010302,0.00866292475723131,18,-1.02091600330713,0.320820477385008
"14","control - rainout","K","X09.13.22",-0.00401694308543786,0.00866292475723131,18,-0.463693636734492,0.648425364390856
"15","control - rainout","M","X09.13.22",-0.00319704710964078,0.00866292475723131,18,-0.369049391427771,0.716396249569281
