"","contrast","fertilization","sampling.date","estimate","SE","df","t.ratio","p.value"
"1","control - rainout","D","X04.28.22",-0.0577136590596377,0.103980721913096,18,-0.555041915441528,0.585698164774319
"2","control - rainout","K","X04.28.22",0.00734047580565948,0.103980721913096,18,0.0705945839825426,0.944498838930091
"3","control - rainout","M","X04.28.22",-0.12968437639786,0.103980721913096,18,-1.24719634574423,0.2283098722456
"4","control - rainout","D","X06.01.22",0.0387512995789035,0.0626984724158977,18,0.618058113471322,0.544278691934704
"5","control - rainout","K","X06.01.22",0.0812663468491235,0.0626984724158977,18,1.29614556332504,0.211298631562152
"6","control - rainout","M","X06.01.22",0.0332116192402888,0.0626984724158977,18,0.529703802350816,0.602790287085508
"7","control - rainout","D","X07.05.22",-0.090728923552561,0.126846685721668,18,-0.71526443940082,0.483620954648251
"8","control - rainout","K","X07.05.22",0.0574260886604035,0.126846685721668,18,0.452720450153582,0.656159239072801
"9","control - rainout","M","X07.05.22",0.0724551305113948,0.126846685721668,18,0.571202393654799,0.574925804041721
"10","control - rainout","D","X07.20.22",-0.0233953391309692,0.118985837942826,18,-0.196622888366016,0.846325623209121
"11","control - rainout","K","X07.20.22",-0.0147168560570128,0.118985837942826,18,-0.123685779009132,0.902934751181583
"12","control - rainout","M","X07.20.22",0.131932476112743,0.118985837942826,18,1.10880822788455,0.28210858237801
"13","control - rainout","D","X09.13.22",-0.052876072759446,0.118419836909633,18,-0.446513642809658,0.660551630160201
"14","control - rainout","K","X09.13.22",0.0620798901843336,0.118419836909633,18,0.524235565631686,0.606510715892187
"15","control - rainout","M","X09.13.22",0.0569299512428936,0.118419836909633,18,0.480746745887997,0.636487886055793
