"","contrast","fertilization","sampling.date","estimate","SE","df","t.ratio","p.value"
"1","control - rainout","D","X04.28.22",0.6675,0.595545858680645,16,1.12082048807922,0.278905913514221
"2","control - rainout","K","X04.28.22",0.27,0.551368326302845,16,0.489690805800295,0.630998822233851
"3","control - rainout","M","X04.28.22",0.250000000000001,0.595545858680645,16,0.419782954336789,0.680226641622899
"4","control - rainout","D","X06.01.22",0.1025,0.199411133960023,16,0.514013425251113,0.614268442438754
"5","control - rainout","K","X06.01.22",0.1175,0.184618835938626,16,0.636446435178808,0.533485495241748
"6","control - rainout","M","X06.01.22",0.450833333333333,0.199411133960023,16,2.2608232769175,0.0380598989780994
"7","control - rainout","D","X07.05.22",-0.0741666666666664,0.280506269735831,16,-0.264402883887456,0.794845118554837
"8","control - rainout","K","X07.05.22",0.3375,0.259698342633654,16,1.29958472810163,0.212156796576263
"9","control - rainout","M","X07.05.22",0.0483333333333344,0.280506269735831,16,0.172307497364863,0.865356465709401
"10","control - rainout","D","X07.20.22",0.0908333333333334,0.421151127945117,16,0.215678713189082,0.831963637187289
"11","control - rainout","K","X07.20.22",0.6725,0.389910179293471,16,1.72475620210427,0.103832068578833
"12","control - rainout","M","X07.20.22",0.130833333333334,0.421151127945117,16,0.310656495143908,0.760072120308189
"13","control - rainout","D","X09.13.22",0.381666666666667,0.333251161746746,16,1.14528232899819,0.268934945334984
"14","control - rainout","K","X09.13.22",-0.2425,0.308530623817691,16,-0.785983566231961,0.44336233465186
"15","control - rainout","M","X09.13.22",0.5125,0.333251161746746,16,1.53787910989932,0.143618086679506
