,contrast,fertilization,sampling.date,estimate,SE,df,t.ratio,p.value
1,control - rainout,D,X04.28.22,-8600000,74443266.52,18,-0.115524216,0.909308658
2,control - rainout,K,X04.28.22,76775000,74443266.52,18,1.031322289,0.316048907
3,control - rainout,M,X04.28.22,-9750000,74443266.52,18,-0.130972222,0.897250001
4,control - rainout,D,X06.01.22,10125000,16957278.84,18,0.597088725,0.557884866
5,control - rainout,K,X06.01.22,2.70E+07,16957278.84,18,1.5922366,0.128740285
6,control - rainout,M,X06.01.22,12375000,16957278.84,18,0.729775108,0.474918469
7,control - rainout,D,X07.05.22,-8.40E+07,67373750.25,18,-1.246776373,0.228460282
8,control - rainout,K,X07.05.22,9.50E+07,67373750.25,18,1.410044708,0.175572548
9,control - rainout,M,X07.05.22,38500000,67373750.25,18,0.571439171,0.574768729
10,control - rainout,D,X07.20.22,7250000,71993971.58,18,0.100702876,0.920899537
11,control - rainout,K,X07.20.22,83500000,71993971.58,18,1.159819332,0.261276149
12,control - rainout,M,X07.20.22,72500000,71993971.58,18,1.007028761,0.327267384
13,control - rainout,D,X09.13.22,11500000,54127678.28,18,0.212460618,0.834135131
14,control - rainout,K,X09.13.22,68500000,54127678.28,18,1.265526292,0.221819453
15,control - rainout,M,X09.13.22,63500000,54127678.28,18,1.17315211,0.256025964
