"","contrast","fertilization","sampling.date","estimate","SE","df","t.ratio","p.value"
"1","control - rainout","D","X04.28.22",0.018313219684819,0.00943012296064,16,1.9419916114833,0.0699561142380407
"2","control - rainout","K","X04.28.22",-0.0115674624514738,0.00873059738028715,16,-1.32493367264788,0.203804911439694
"3","control - rainout","M","X04.28.22",0.00599619625691151,0.00943012296064,16,0.635855574942001,0.533860844369381
"4","control - rainout","D","X06.01.22",0.00460260247107694,0.0080089676152232,16,0.574681118990725,0.573499380647937
"5","control - rainout","K","X06.01.22",0.00135513183412204,0.00741486319660108,16,0.182758845064495,0.857282921398711
"6","control - rainout","M","X06.01.22",0.0105268852470576,0.0080089676152232,16,1.31438729094727,0.207247340296045
"7","control - rainout","D","X07.05.22",0.00460553804381532,0.0086099931378271,16,0.534906122466158,0.600070489744481
"8","control - rainout","K","X07.05.22",0.00105957131021517,0.00797130470590407,16,0.132923197557657,0.895911509502462
"9","control - rainout","M","X07.05.22",0.00719524376581307,0.0086099931378271,16,0.835685191687496,0.415637771890485
"10","control - rainout","D","X07.20.22",0.0152721709148561,0.00815963938602564,16,1.87167228750471,0.0796499564873294
"11","control - rainout","K","X07.20.22",0.00640061282910691,0.0075543581504783,16,0.847274209351812,0.409337675772481
"12","control - rainout","M","X07.20.22",0.00898559824721051,0.00815963938602564,16,1.10122492209636,0.287090136022527
"13","control - rainout","D","X09.13.22",0.0125966890965777,0.0073360213639565,16,1.7171009286407,0.105251794959333
"14","control - rainout","K","X09.13.22",-0.0114115603336361,0.00679183603111178,16,-1.68018784336996,0.112336631882137
"15","control - rainout","M","X09.13.22",0.0110191285114119,0.0073360213639565,16,1.50205785462285,0.152560137378413
