"","contrast","fertilization","sampling.date","estimate","SE","df","t.ratio","p.value"
"1","control - rainout","D","X04.28.22",-2.245,1.5937564814683,18,-1.40862172239244,0.175986794827096
"2","control - rainout","K","X04.28.22",-1.6675,1.5937564814683,18,-1.04627025482824,0.309283661581785
"3","control - rainout","M","X04.28.22",1.2825,1.5937564814683,18,0.804702609785438,0.431492376915813
"4","control - rainout","D","X06.01.22",-1.68,1.45855831597887,18,-1.15182230398002,0.264463741502572
"5","control - rainout","K","X06.01.22",-1.83,1.45855831597887,18,-1.2546635811211,0.225648297085017
"6","control - rainout","M","X06.01.22",-0.602499999999998,1.45855831597887,18,-0.413079129849977,0.68442778927358
"7","control - rainout","D","X07.05.22",-0.2875,1.50788322013197,18,-0.190664632487149,0.850922298186238
"8","control - rainout","K","X07.05.22",-0.6025,1.50788322013197,18,-0.399566751560024,0.694177021774255
"9","control - rainout","M","X07.05.22",0.137500000000001,1.50788322013197,18,0.0911874329286371,0.928350786626834
"10","control - rainout","D","X07.20.22",-0.6375,1.00243903943221,18,-0.63594889556684,0.532813092449324
"11","control - rainout","K","X07.20.22",-0.899999999999999,1.00243903943221,18,-0.897810205506127,0.381139083722845
"12","control - rainout","M","X07.20.22",-1.775,1.00243903943221,18,-1.77068123863708,0.0935469668360062
"13","control - rainout","D","X09.13.22",-2.6325,2.07372852610943,18,-1.26945256664762,0.220448021437943
"14","control - rainout","K","X09.13.22",-4.8875,2.07372852610943,18,-2.35686587634956,0.0299580466146563
"15","control - rainout","M","X09.13.22",-3.15,2.07372852610943,18,-1.51900307120228,0.146131278918008
