"","contrast","fertilization","sampling.date","estimate","SE","df","t.ratio","p.value"
"1","control - rainout","D","X04.28.22",-0.092564103774162,0.242749742945167,18,-0.381314940444944,0.707433169540652
"2","control - rainout","K","X04.28.22",0.0304906918126095,0.242749742945167,18,0.12560545458331,0.90143651787355
"3","control - rainout","M","X04.28.22",-0.096856581976526,0.242749742945167,18,-0.398997670610939,0.694588838471638
"4","control - rainout","D","X06.01.22",0.0372658939902586,0.119990864451692,18,0.310572760355951,0.759692930342653
"5","control - rainout","K","X06.01.22",0.0969958848332686,0.119990864451692,18,0.808360580420013,0.429437990283778
"6","control - rainout","M","X06.01.22",-0.00407641928959112,0.119990864451692,18,-0.0339727470771934,0.973272780599912
"7","control - rainout","D","X07.05.22",-0.0382951186511457,0.127293358692231,18,-0.300841450367693,0.766982721292962
"8","control - rainout","K","X07.05.22",0.0505828987768173,0.127293358692231,18,0.397372646118297,0.695765329317227
"9","control - rainout","M","X07.05.22",0.109118354399446,0.127293358692231,18,0.857219540127557,0.402592890871247
"10","control - rainout","D","X07.20.22",0.119631694085025,0.124793187175479,18,0.958639624427606,0.350440762107584
"11","control - rainout","K","X07.20.22",0.0821906058812834,0.124793187175479,18,0.658614526494228,0.518479952442329
"12","control - rainout","M","X07.20.22",0.123785070212844,0.124793187175479,18,0.991921698728494,0.33438360052992
"13","control - rainout","D","X09.13.22",-0.00589906942160654,0.133247284701588,18,-0.0442715919864161,0.965175354774084
"14","control - rainout","K","X09.13.22",0.00444635604694855,0.133247284701588,18,0.0333692056607856,0.973747414222162
"15","control - rainout","M","X09.13.22",0.073325939276899,0.133247284701588,18,0.55029968859114,0.588878474132682
