SampleID,PlotID,Block,Irrigation,Fertilization,x,rep,rep2,var3,Date,Depth,GWC,TS,NH4,NO3,Nmin_tot,C_tot,N_tot,C_gkg,N_gkg,pH,K_test,Mg_test,P_test,K_mgkg,Mg_mgkg,P_mgkg,log10NH4,logNH4,logNO3,mean.N2Oflux,N2Oflux.cbrt
S1,1,1,Control,CONMIN,cont.M,1,1,CMBS1,Apr,0-15cm,0.338,74.7,3.5,7.1,10.7,1.47,0.152,14.7,1.5,6.54,1.19,15.9,7,9.9,159,1.1,0.653212514,1.504077397,1.960094784,1.74825,1.204669308
S2,2,1,Rainout,CONMIN,rain.M,1,1,RMBS1,Apr,0-15cm,0.095,91.3,11,13.6,24.7,1.44,0.151,14.4,1.5,6.08,1.21,15.2,10.5,10,152,1.6,1.079181246,2.48490665,2.610069793,0.367,0.715959882
S3,3,2,Control,BIODYN,cont.D,1,1,CDBS1,Apr,0-15cm,0.344,74.4,0.9,9.5,10.3,1.67,0.171,16.7,1.7,6.92,1.32,13.4,7.6,11,134,1.2,0.278753601,0.641853886,2.251291799,0.025,0.292401774
S4,4,2,Rainout,BIODYN,rain.D,1,1,RDBS1,Apr,0-15cm,0.13,88.5,0.5,9.9,10.4,1.69,0.174,16.9,1.7,6.77,1.4,13.1,7,11.6,131,1.1,0.176091259,0.405465108,2.292534757,-0.00225,-0.13103707
S5,5,3,Control,CONFYM,cont.K,1,1,CKBS1,Apr,0-15cm,0.345,74.4,5.8,4.8,10.6,1.46,0.151,14.6,1.5,6.16,1.16,11.5,11.4,9.6,115,1.8,0.832508913,1.916922612,1.568615918,2.87825,1.422469089
S6,6,3,Rainout,CONFYM,rain.K,1,1,RKBS1,Apr,0-15cm,0.105,90.5,7,13,20,1.55,0.164,15.5,1.6,6.25,1.8,12.3,13.4,14.9,123,2.1,0.903089987,2.079441542,2.564949357,0.01475,0.245243407
S7,7,4,Control,CONFYM,cont.K,2,2,CKBS1,Apr,0-15cm,0.331,75.1,4.1,3.4,7.5,1.5,0.154,15,1.5,6.16,1.08,10.9,13.3,9,109,2.1,0.707570176,1.62924054,1.223775432,1.82875,1.22288264
S8,8,4,Rainout,CONFYM,rain.K,2,2,RKBS1,Apr,0-15cm,0.096,91.3,9.2,15.3,24.5,1.48,0.155,14.8,1.6,6.07,1.19,11.5,9,9.9,115,1.4,1.008600172,2.32238772,2.727852828,0.0045,0.165096362
S9,9,5,Control,CONMIN,cont.M,2,2,CMBS1,Apr,0-15cm,0.305,76.6,5.7,4.4,10.1,1.2,0.124,12,1.2,5.97,0.62,14,5.8,5.1,140,0.9,0.826074803,1.902107526,1.481604541,3.114,1.460291429
S10,10,5,Rainout,CONMIN,rain.M,2,2,RMBS1,Apr,0-15cm,0.091,91.7,15.4,25.5,40.9,1.2,0.128,12,1.3,6.15,1.06,15.7,6.9,8.8,157,1.1,1.214843848,2.797281335,3.238678452,-0.013,-0.235133469
