ASVid;Order;Clade;Sub_Clade;Sub_Clade2;Taxonomy
ASV_1;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU2_1-EU885632
ASV_2;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_3;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU2_1-EU885632
ASV_4;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_5;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU2_1-EU885632
ASV_6;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_7;Nitrososphaerales;NS-Gamma;NS-Gamma-2.3.1;Nitrososphaerales (NS-Gamma-2.3.1);NS-Gamma-2.3.1_OTU2_1-KC469632
ASV_8;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_9;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_10;Nitrososphaerales;NS-Alpha;NS-Alpha-2;Nitrososphaerales (NS-Alpha-2);NS-Alpha-2_OTU1_1-JF520968
ASV_11;Nitrososphaerales;NS-Beta;NS-Beta-1.3;Nitrososphaerales (NS-Beta-1.3);NS-Beta-1.3_OTU1_1-EU885554
