ASVid,Genus,Species
ASV_1,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_2,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_3,Nitrosospira,Nitrosospira-sp_2636913388
ASV_4,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_5,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_6,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_7,Nitrosospira,Nitrosospira-sp_2636913388
ASV_8,Nitrosospira,Nitrosospira-sp_2636913388
ASV_9,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_10,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_11,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_12,Nitrosospira,Nitrosospira-sp_2636913388
ASV_13,Nitrosospira,Nitrosospira-sp_2636913388
ASV_14,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_15,Nitrosospira,Nitrosospira-sp_2630434854
ASV_16,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_17,Nitrosospira,Nitrosospira-sp_2636913388
ASV_18,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_19,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_20,Nitrosospira,Nitrosospira-sp_2636913388
ASV_21,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_22,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_23,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_24,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_26,Nitrosospira,Nitrosospira-sp_2636913388
ASV_27,Nitrosospira,Nitrosospira-sp_2636913388
ASV_28,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_29,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_30,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_31,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_32,Nitrosospira,Nitrosospira-sp_2636913388
ASV_33,Nitrosospira,Nitrosospira-sp_2636913388
ASV_34,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_35,Nitrosospira,Nitrosospira-sp_2636913388
ASV_36,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_37,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_38,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_39,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_40,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_41,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_42,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_43,Nitrosospira,Nitrosospira-sp_2636913388
ASV_44,Nitrosomonas,Nitrosomonas-communis-Nm44_2676397764
ASV_45,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_46,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_47,Nitrosospira,Nitrosospira-sp_2636913388
ASV_48,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_49,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_50,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_51,Nitrosospira,Nitrosospira-sp_2636913388
ASV_52,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_53,Nitrosospira,Nitrosospira-sp_2636913388
ASV_54,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_55,Nitrosospira,Nitrosospira-sp_2636913388
ASV_56,Nitrosospira,Nitrosospira-sp_2636913388
ASV_57,Nitrosospira,Nitrosospira-sp_2636913388
ASV_58,Nitrosospira,Nitrosospira-sp_2636913388
ASV_59,Nitrosospira,Nitrosospira-sp_2630434854
ASV_60,Nitrosospira,Nitrosospira-sp_2636913388
ASV_61,Nitrosospira,Nitrosospira-sp_2636913388
ASV_62,Nitrosospira,Nitrosospira-sp_2636913388
ASV_63,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_64,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_65,Nitrosospira,Nitrosospira-sp_2636913388
ASV_66,Nitrosospira,Nitrosospira-sp_2636913388
ASV_67,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_68,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_69,Nitrosospira,Nitrosospira-sp_2636913388
ASV_70,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_71,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_72,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_73,Nitrosomonas,Nitrosomonas-communis-Nm44_2676397764
ASV_74,Nitrosospira,Nitrosospira-sp_2636913388
ASV_75,Nitrosospira,Nitrosospira-sp_2636913388
ASV_76,Nitrosospira,Nitrosospira-sp_2636913388
ASV_77,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_78,Nitrosospira,Nitrosospira-sp_2636913388
ASV_79,Nitrosospira,Nitrosospira-sp_2636913388
ASV_80,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_81,Nitrosospira,Nitrosospira-sp_2636913388
ASV_82,Nitrosospira,Nitrosospira-sp_2636913388
ASV_83,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_84,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_85,Nitrosospira,Nitrosospira-sp_2636913388
ASV_86,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_87,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_88,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_89,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
ASV_90,Nitrosospira,Nitrosospira-sp_2636913388
ASV_91,Nitrosospira,Nitrosospira-sp_2636913388
ASV_92,Nitrosospira,Nitrosospira-sp_2636913388
ASV_93,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_94,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_95,Nitrosospira,Nitrosospira-sp-17Nsp14_2671457573
ASV_96,Nitrosolobus,Nitrosolobus-multiformis-Nl1_2667636517
