ASVid,taxonomy
ASV_1,Nitrosospira-sp-17Nsp14_2671457573
ASV_2,Nitrosospira-sp-17Nsp14_2671457573
ASV_3,Nitrosospira-sp_2636913388
ASV_4,Nitrosospira-sp-17Nsp14_2671457573
ASV_5,Nitrosospira-sp-17Nsp14_2671457573
ASV_6,Nitrosolobus-multiformis-Nl1_2667636517
ASV_7,Nitrosospira-sp_2636913388
ASV_8,Nitrosospira-sp_2636913388
ASV_9,Nitrosospira-sp-17Nsp14_2671457573
ASV_10,Nitrosolobus-multiformis-Nl1_2667636517
ASV_11,Nitrosospira-sp-17Nsp14_2671457573
ASV_12,Nitrosospira-sp_2636913388
ASV_13,Nitrosospira-sp_2636913388
ASV_14,Nitrosospira-sp-17Nsp14_2671457573
ASV_15,Nitrosospira-sp_2630434854
ASV_16,Nitrosospira-sp-17Nsp14_2671457573
ASV_17,Nitrosospira-sp_2636913388
ASV_18,Nitrosospira-sp-17Nsp14_2671457573
ASV_19,Nitrosospira-sp-17Nsp14_2671457573
ASV_20,Nitrosospira-sp_2636913388
ASV_21,Nitrosolobus-multiformis-Nl1_2667636517
ASV_22,Nitrosospira-sp-17Nsp14_2671457573
ASV_23,Nitrosolobus-multiformis-Nl1_2667636517
ASV_24,Nitrosospira-sp-17Nsp14_2671457573
ASV_26,Nitrosospira-sp_2636913388
ASV_27,Nitrosospira-sp_2636913388
ASV_28,Nitrosospira-sp-17Nsp14_2671457573
ASV_29,Nitrosospira-sp-17Nsp14_2671457573
ASV_30,Nitrosospira-sp-17Nsp14_2671457573
ASV_31,Nitrosospira-sp-17Nsp14_2671457573
ASV_32,Nitrosospira-sp_2636913388
ASV_33,Nitrosospira-sp_2636913388
ASV_34,Nitrosospira-sp-17Nsp14_2671457573
ASV_35,Nitrosospira-sp_2636913388
ASV_36,Nitrosospira-sp-17Nsp14_2671457573
ASV_37,Nitrosospira-sp-17Nsp14_2671457573
ASV_38,Nitrosospira-sp-17Nsp14_2671457573
ASV_39,Nitrosospira-sp-17Nsp14_2671457573
ASV_40,Nitrosolobus-multiformis-Nl1_2667636517
ASV_41,Nitrosospira-sp-17Nsp14_2671457573
ASV_42,Nitrosolobus-multiformis-Nl1_2667636517
ASV_43,Nitrosospira-sp_2636913388
ASV_44,Nitrosomonas-communis-Nm44_2676397764
ASV_45,Nitrosospira-sp-17Nsp14_2671457573
ASV_46,Nitrosolobus-multiformis-Nl1_2667636517
ASV_47,Nitrosospira-sp_2636913388
ASV_48,Nitrosospira-sp-17Nsp14_2671457573
ASV_49,Nitrosospira-sp-17Nsp14_2671457573
ASV_50,Nitrosospira-sp-17Nsp14_2671457573
ASV_51,Nitrosospira-sp_2636913388
ASV_52,Nitrosolobus-multiformis-Nl1_2667636517
ASV_53,Nitrosospira-sp_2636913388
ASV_54,Nitrosospira-sp-17Nsp14_2671457573
ASV_55,Nitrosospira-sp_2636913388
ASV_56,Nitrosospira-sp_2636913388
ASV_57,Nitrosospira-sp_2636913388
ASV_58,Nitrosospira-sp_2636913388
ASV_59,Nitrosospira-sp_2630434854
ASV_60,Nitrosospira-sp_2636913388
ASV_61,Nitrosospira-sp_2636913388
ASV_62,Nitrosospira-sp_2636913388
ASV_63,Nitrosospira-sp-17Nsp14_2671457573
ASV_64,Nitrosolobus-multiformis-Nl1_2667636517
ASV_65,Nitrosospira-sp_2636913388
ASV_66,Nitrosospira-sp_2636913388
ASV_67,Nitrosolobus-multiformis-Nl1_2667636517
ASV_68,Nitrosospira-sp-17Nsp14_2671457573
ASV_69,Nitrosospira-sp_2636913388
ASV_70,Nitrosospira-sp-17Nsp14_2671457573
ASV_71,Nitrosospira-sp-17Nsp14_2671457573
ASV_72,Nitrosolobus-multiformis-Nl1_2667636517
ASV_73,Nitrosomonas-communis-Nm44_2676397764
ASV_74,Nitrosospira-sp_2636913388
ASV_75,Nitrosospira-sp_2636913388
ASV_76,Nitrosospira-sp_2636913388
ASV_77,Nitrosolobus-multiformis-Nl1_2667636517
ASV_78,Nitrosospira-sp_2636913388
ASV_79,Nitrosospira-sp_2636913388
ASV_80,Nitrosospira-sp-17Nsp14_2671457573
ASV_81,Nitrosospira-sp_2636913388
ASV_82,Nitrosospira-sp_2636913388
ASV_83,Nitrosospira-sp-17Nsp14_2671457573
ASV_84,Nitrosolobus-multiformis-Nl1_2667636517
ASV_85,Nitrosospira-sp_2636913388
ASV_86,Nitrosospira-sp-17Nsp14_2671457573
ASV_87,Nitrosolobus-multiformis-Nl1_2667636517
ASV_88,Nitrosolobus-multiformis-Nl1_2667636517
ASV_89,Nitrosolobus-multiformis-Nl1_2667636517
ASV_90,Nitrosospira-sp_2636913388
ASV_91,Nitrosospira-sp_2636913388
ASV_92,Nitrosospira-sp_2636913388
ASV_93,Nitrosospira-sp-17Nsp14_2671457573
ASV_94,Nitrosospira-sp-17Nsp14_2671457573
ASV_95,Nitrosospira-sp-17Nsp14_2671457573
ASV_96,Nitrosolobus-multiformis-Nl1_2667636517
ASV_97,Nitrosospira-sp-17Nsp14_2671457573
ASV_98,Nitrosospira-sp-17Nsp14_2671457573
ASV_99,Nitrosospira-sp_2636913388
ASV_100,Nitrosolobus-multiformis-Nl1_2667636517
ASV_101,Nitrosospira-sp_2636913388
ASV_102,Nitrosolobus-multiformis-Nl1_2667636517
ASV_103,Nitrosospira-sp_2636913388
ASV_104,Nitrosolobus-multiformis-Nl1_2667636517
ASV_105,Nitrosolobus-multiformis-Nl1_2667636517
ASV_106,Nitrosolobus-multiformis-Nl1_2667636517
ASV_107,Nitrosolobus-multiformis-Nl1_2667636517
ASV_108,Nitrosospira-sp-17Nsp14_2671457573
ASV_109,Nitrosospira-sp-17Nsp14_2671457573
ASV_110,Nitrosospira-sp_2636913388
ASV_111,Nitrosospira-sp-17Nsp14_2671457573
ASV_112,Nitrosomonas-europaea-ATCC-19718_637427314
ASV_113,Nitrosospira-sp_2630434854
ASV_114,Nitrosospira-sp_2636913388
ASV_115,Nitrosospira-sp_2636913388
ASV_116,Nitrosolobus-multiformis-Nl1_2667636517
ASV_117,Nitrosospira-sp-17Nsp14_2671457573
ASV_118,Nitrosospira-sp_2630434854
ASV_119,Nitrosospira-sp-17Nsp14_2671457573
ASV_120,Nitrosospira-sp-17Nsp14_2671457573
ASV_121,Nitrosolobus-multiformis-Nl1_2667636517
ASV_122,Nitrosospira-sp_2636913388
ASV_123,Nitrosolobus-multiformis-Nl1_2667636517
ASV_124,Nitrosolobus-multiformis-Nl1_2667636517
ASV_125,Nitrosospira-sp-17Nsp14_2671457573
ASV_126,Nitrosospira-sp-17Nsp14_2671457573
ASV_127,Nitrosospira-sp-17Nsp14_2671457573
ASV_128,Nitrosospira-sp_2636913388
ASV_129,Nitrosospira-sp_2636913388
ASV_130,Nitrosospira-sp_2636913388
ASV_131,Nitrosolobus-multiformis-Nl1_2667636517
ASV_132,Nitrosospira-sp-17Nsp14_2671457573
ASV_133,Nitrosospira-sp_2636913388
ASV_134,Nitrosospira-sp_2636913388
ASV_135,Nitrosospira-sp-17Nsp14_2671457573
ASV_136,Nitrosospira-sp-17Nsp14_2671457573
ASV_137,Nitrosospira-sp_2636913388
ASV_138,Nitrosospira-sp-17Nsp14_2671457573
ASV_139,Nitrosolobus-multiformis-Nl1_2667636517
ASV_140,Nitrosolobus-multiformis-Nl1_2667636517
ASV_141,Nitrosospira-sp-17Nsp14_2671457573
ASV_142,Nitrosospira-sp-17Nsp14_2671457573
ASV_143,Nitrosospira-sp-17Nsp14_2671457573
ASV_144,Nitrosospira-sp_2636913388
ASV_145,Nitrosospira-sp-17Nsp14_2671457573
ASV_146,Nitrosospira-sp_2636913388
ASV_147,Nitrosospira-sp-17Nsp14_2671457573
ASV_148,Nitrosospira-sp-17Nsp14_2671457573
ASV_149,Nitrosospira-sp-17Nsp14_2671457573
ASV_150,Nitrosolobus-multiformis-Nl1_2667636517
ASV_151,Nitrosospira-sp_2636913388
ASV_152,Nitrosospira-sp_2630434854
ASV_153,Nitrosospira-sp_2636913388
ASV_154,Nitrosospira-sp-17Nsp14_2671457573
ASV_155,Nitrosospira-sp-17Nsp14_2671457573
ASV_156,Nitrosolobus-multiformis-Nl1_2667636517
ASV_157,Nitrosospira-sp-17Nsp14_2671457573
ASV_158,Nitrosolobus-multiformis-Nl1_2667636517
ASV_159,Nitrosospira-sp-17Nsp14_2671457573
ASV_160,Nitrosolobus-multiformis-Nl1_2667636517
ASV_161,Nitrosolobus-multiformis-Nl1_2667636517
ASV_162,Nitrosospira-sp-17Nsp14_2671457573
ASV_163,Nitrosospira-sp-17Nsp14_2671457573
ASV_164,Nitrosolobus-multiformis-Nl1_2667636517
ASV_165,Nitrosospira-sp-17Nsp14_2671457573
ASV_166,Nitrosospira-sp-17Nsp14_2671457573
ASV_167,Nitrosospira-sp_2636913388
ASV_168,Nitrosolobus-multiformis-Nl1_2667636517
ASV_169,Nitrosospira-sp-17Nsp14_2671457573
ASV_170,Nitrosolobus-multiformis-Nl1_2667636517
ASV_171,Nitrosospira-sp_2636913388
ASV_172,Nitrosolobus-multiformis-Nl1_2667636517
ASV_173,Nitrosospira-sp-17Nsp14_2671457573
ASV_174,Nitrosospira-sp_2636913388
ASV_175,Nitrosovibrio-tenuis-Nv1_2671436084
ASV_176,Nitrosospira-sp-17Nsp14_2671457573
ASV_177,Nitrosolobus-multiformis-Nl1_2667636517
ASV_178,Nitrosospira-sp-17Nsp14_2671457573
ASV_179,Nitrosospira-sp-17Nsp14_2671457573
ASV_180,Nitrosospira-sp-17Nsp14_2671457573
ASV_181,Nitrosolobus-multiformis-Nl1_2667636517
ASV_182,Nitrosospira-sp-17Nsp14_2671457573
ASV_183,Nitrosolobus-multiformis-Nl1_2667636517
ASV_184,Nitrosospira-sp_2636913388
